ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
A07B,INTESTINAL ADSORBENTS,서울,강남구,"191,833","16,776,050","141,388","12,299,191","132,025","12,373,840","458,677","16,958,568","721,219","23,435,201","615,268","18,667,731","856,356","16,658,548","879,554","16,369,954","879,563","13,549,771","1,015,849","15,558,494","992,342","15,283,436","1,048,181","14,166,219"
A07B,INTESTINAL ADSORBENTS,서울,강동구,"152,223","9,229,787","151,242","7,767,124","142,327","7,753,389","351,917","10,290,346","488,278","12,466,552","453,386","10,582,045","524,173","9,666,054","559,197","8,897,020","511,519","7,818,573","726,445","8,465,718","717,748","8,385,855","645,906","7,901,758"
A07B,INTESTINAL ADSORBENTS,서울,강북구,"79,426","5,950,823","66,387","4,663,938","63,785","5,267,319","248,922","7,014,342","351,862","8,796,644","304,932","7,238,352","414,084","7,119,651","463,524","6,596,908","402,137","6,170,401","425,991","6,130,983","413,168","5,698,703","380,534","5,281,446"
A07B,INTESTINAL ADSORBENTS,서울,강서구,"180,826","11,683,009","141,358","8,429,212","149,965","8,874,732","488,134","12,842,451","679,651","17,062,927","563,230","13,345,254","739,512","11,912,090","722,720","10,543,413","611,665","9,220,144","700,464","9,986,563","679,354","9,559,312","626,407","8,715,591"
A07B,INTESTINAL ADSORBENTS,서울,관악구,"97,281","7,853,399","82,234","5,872,383","84,842","6,332,712","285,881","8,515,340","420,486","10,588,305","385,051","8,905,540","446,503","7,717,251","461,235","7,434,233","427,876","6,637,843","484,443","7,323,611","480,858","6,770,489","474,861","6,615,062"
A07B,INTESTINAL ADSORBENTS,서울,광진구,"131,013","7,245,373","108,999","6,113,705","117,876","6,178,965","319,731","8,640,405","427,754","10,946,190","364,483","8,863,072","454,610","8,236,490","428,827","7,257,411","351,369","5,906,430","399,570","6,554,961","437,457","6,727,123","434,236","6,377,558"
A07B,INTESTINAL ADSORBENTS,서울,구로구,"145,032","10,627,879","118,818","8,625,500","117,239","8,685,531","373,991","12,571,235","553,823","16,236,021","449,365","12,510,673","642,999","11,171,835","682,547","10,550,744","636,458","8,947,354","716,852","9,904,880","694,099","9,604,829","662,183","9,124,297"
A07B,INTESTINAL ADSORBENTS,서울,금천구,"61,088","4,162,982","45,632","3,044,366","47,847","3,288,416","166,900","4,582,498","262,696","6,026,185","205,403","4,658,894","297,961","4,436,463","288,272","4,035,333","255,429","3,555,881","261,391","3,651,845","243,022","3,372,652","231,471","3,175,085"
A07B,INTESTINAL ADSORBENTS,서울,노원구,"179,825","13,250,251","129,950","10,665,130","137,907","10,606,327","345,777","13,685,932","513,600","18,592,334","425,526","14,427,279","611,133","12,883,046","692,306","12,787,583","586,275","10,534,630","678,122","11,084,715","773,107","11,511,806","755,235","10,723,791"
A07B,INTESTINAL ADSORBENTS,서울,도봉구,"77,272","5,350,854","66,042","4,488,343","66,333","4,425,065","206,566","6,291,355","244,361","7,875,735","205,273","6,010,400","289,892","5,483,168","328,953","5,362,784","272,005","4,412,912","347,940","5,133,233","329,227","4,580,233","348,565","4,803,905"
A07B,INTESTINAL ADSORBENTS,서울,동대문구,"91,469","8,782,094","76,927","7,727,270","73,781","8,330,060","318,416","10,518,529","439,788","12,895,115","368,859","11,465,068","582,244","9,734,546","673,743","9,830,410","567,088","8,341,953","628,409","9,067,217","608,691","8,894,763","593,640","8,169,425"
