ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
A07D,ANTIPROPULSIVES,서울,강남구,"77,021","5,958,036","76,532","5,684,589","73,000","5,274,148","89,354","6,180,246","105,035","6,424,643","80,511","5,485,571","84,024","6,132,626","79,142","6,432,923","70,714","5,831,760","84,699","6,780,463","63,124","5,443,860","70,201","5,477,708"
A07D,ANTIPROPULSIVES,서울,강동구,"43,342","1,468,537","40,926","1,426,808","44,271","1,404,049","53,612","1,698,829","55,154","1,866,584","43,560","1,391,010","43,140","1,455,163","41,787","1,600,698","39,858","1,877,879","45,174","2,150,898","37,151","1,567,111","37,664","1,750,362"
A07D,ANTIPROPULSIVES,서울,강북구,"16,995","598,815","12,970","404,957","18,448","495,363","21,099","690,219","24,990","694,863","20,175","577,352","23,410","580,476","19,586","690,986","15,495","611,801","17,310","654,587","17,008","720,069","14,425","549,559"
A07D,ANTIPROPULSIVES,서울,강서구,"21,875","1,099,678","17,392","835,854","18,766","921,142","21,757","1,231,478","26,339","1,494,601","22,898","1,168,298","20,437","1,031,004","22,870","1,334,018","18,524","1,152,761","20,374","1,200,434","20,990","1,339,509","17,091","986,518"
A07D,ANTIPROPULSIVES,서울,관악구,"28,995","932,975","23,762","741,950","22,867","693,743","32,240","1,006,231","37,522","1,129,003","35,846","1,044,613","30,225","1,050,363","30,559","1,152,322","26,118","1,030,878","28,562","1,120,235","26,702","1,063,232","27,765","1,014,654"
A07D,ANTIPROPULSIVES,서울,광진구,"23,868","993,690","20,059","872,337","22,091","934,962","27,369","1,180,717","33,099","1,361,493","30,137","1,346,741","25,681","1,218,618","22,781","1,466,069","22,095","1,288,186","21,956","1,465,971","20,992","1,396,996","21,226","1,287,909"
A07D,ANTIPROPULSIVES,서울,구로구,"30,815","2,555,027","24,931","1,886,060","24,067","1,665,198","31,516","2,148,173","37,595","2,617,670","30,974","2,281,428","29,076","2,098,943","27,319","2,626,626","24,868","2,219,145","24,507","2,251,646","23,966","2,311,780","19,762","1,876,781"
A07D,ANTIPROPULSIVES,서울,금천구,"12,584","457,297","9,625","329,051","10,366","353,370","14,825","568,845","17,457","602,977","15,297","497,218","14,055","532,087","12,207","628,553","11,032","537,223","11,746","663,333","12,044","576,531","9,788","508,365"
A07D,ANTIPROPULSIVES,서울,노원구,"45,328","1,334,702","40,361","1,123,748","43,040","1,277,837","47,690","1,439,226","60,305","1,753,261","54,819","1,413,735","44,477","1,192,579","47,311","1,626,071","37,822","1,434,317","40,027","1,459,279","43,000","1,598,933","37,881","1,341,109"
A07D,ANTIPROPULSIVES,서울,도봉구,"17,157","509,702","13,549","378,261","14,645","404,030","17,691","465,003","20,642","565,853","20,118","418,180","15,624","396,568","15,843","560,652","13,857","538,606","14,718","565,552","12,884","511,476","13,310","482,721"
A07D,ANTIPROPULSIVES,서울,동대문구,"33,653","2,271,601","25,428","1,755,915","33,498","2,372,047","34,987","2,158,153","36,178","1,776,673","34,805","2,041,646","30,550","1,732,721","32,054","2,312,585","28,053","2,224,894","32,777","2,330,132","29,577","2,328,490","30,193","2,631,216"
A07D,ANTIPROPULSIVES,서울,동작구,"28,360","1,459,984","20,154","1,079,049","26,408","1,384,526","28,039","1,330,015","37,901","1,809,817","29,487","1,456,890","29,312","1,391,155","28,864","1,608,448","26,024","1,464,666","29,122","1,581,708","25,452","1,453,933","23,791","1,550,727"
A07D,ANTIPROPULSIVES,서울,마포구,"18,013","584,457","14,765","440,870","15,162","463,198","19,821","628,524","24,064","771,923","19,288","635,729","19,142","624,711","19,569","797,054","13,138","628,769","15,768","728,898","14,837","730,987","13,974","653,766"
A07D,ANTIPROPULSIVES,서울,서대문구,"89,181","1,728,503","78,037","1,659,316","89,763","1,779,308","94,462","1,944,995","99,889","2,112,868","81,409","1,774,577","90,042","1,735,000","77,200","1,865,556","75,093","1,633,208","63,389","1,860,940","60,550","1,667,986","52,375","1,511,886"
A07D,ANTIPROPULSIVES,서울,서초구,"51,510","1,784,359","39,464","1,037,474","43,806","1,206,733","51,120","1,304,283","57,916","1,478,997","54,968","1,374,034","60,451","1,477,843","45,441","1,734,185","39,996","1,674,339","49,272","1,751,064","37,620","1,573,151","50,092","1,701,162"
A07D,ANTIPROPULSIVES,서울,성동구,"14,774","865,872","11,817","721,476","11,744","651,524","15,881","940,856","19,800","1,132,425","15,086","903,475","14,573","912,930","13,840","918,558","14,894","1,176,444","14,199","1,039,551","11,263","827,932","11,240","844,276"
A07D,ANTIPROPULSIVES,서울,성북구,"34,964","2,227,690","30,962","2,283,921","33,374","2,378,000","40,260","2,945,450","44,889","2,758,654","42,260","2,780,665","40,097","2,728,643","40,115","2,887,544","35,517","2,827,831","33,526","2,538,684","36,910","2,783,842","35,147","3,054,567"
A07D,ANTIPROPULSIVES,서울,송파구,"69,657","6,632,269","57,498","5,679,329","68,884","7,157,845","77,651","7,599,413","87,077","7,686,240","71,935","6,551,042","72,402","7,044,475","71,118","7,478,603","65,463","7,048,219","63,622","6,773,386","58,908","6,200,102","67,283","6,961,777"
A07D,ANTIPROPULSIVES,서울,양천구,"22,747","818,084","19,655","802,328","22,537","931,607","27,640","1,131,441","33,583","1,195,761","29,103","979,737","26,594","1,086,156","24,715","1,304,999","21,830","1,393,505","22,233","1,332,216","22,397","1,309,116","21,992","1,195,685"
A07D,ANTIPROPULSIVES,서울,영등포구,"25,301","1,211,567","20,118","999,459","26,128","1,344,954","29,475","1,623,303","32,114","1,654,603","31,318","1,664,956","27,993","1,507,606","25,748","1,790,300","28,411","1,575,058","24,013","1,434,154","24,224","1,656,458","21,265","1,361,214"
A07D,ANTIPROPULSIVES,서울,용산구,"10,741","736,024","8,146","610,742","9,801","647,545","9,348","656,734","12,380","805,226","10,669","770,520","9,613","530,640","9,388","754,071","9,801","707,496","9,424","662,308","9,338","602,258","8,331","707,217"
A07D,ANTIPROPULSIVES,서울,은평구,"25,208","1,304,804","22,822","978,005","25,344","995,484","31,410","1,210,400","35,778","1,421,531","30,401","1,072,834","29,138","1,171,015","27,733","1,488,305","25,321","1,408,846","26,692","1,528,126","22,675","1,331,621","22,200","1,217,942"
A07D,ANTIPROPULSIVES,서울,종로구,"44,123","1,121,470","45,974","1,062,994","49,259","1,156,863","49,130","1,098,950","57,956","1,240,970","43,929","1,083,309","51,854","1,247,164","39,804","1,202,122","32,060","955,862","48,346","1,295,090","39,545","1,082,990","41,150","1,189,273"
A07D,ANTIPROPULSIVES,서울,중구,"31,839","1,371,138","28,679","1,025,357","25,708","1,163,932","32,894","1,258,002","34,550","1,309,997","29,814","1,217,462","28,329","1,121,237","27,166","1,418,382","23,308","1,341,997","25,132","1,317,324","24,491","1,254,233","23,184","1,328,418"
A07D,ANTIPROPULSIVES,서울,중랑구,"22,239","815,957","18,915","607,168","21,739","723,176","25,673","850,325","32,043","1,000,429","29,841","835,309","26,817","870,447","27,606","1,151,095","21,522","933,930","23,007","960,630","21,205","920,159","20,375","864,625"
