ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,서울,강남구,"309,212","128,374,956","283,625","117,162,848","280,714","115,529,954","301,184","128,738,539","289,600","117,471,584","255,145","109,169,581","282,048","116,011,622","288,050","120,955,627","288,012","117,732,204","301,684","120,436,627","280,915","122,204,618","250,582","100,692,718"
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,서울,강동구,"126,112","37,319,842","114,410","32,250,437","109,460","29,369,117","116,425","34,113,890","119,413","35,019,575","117,677","32,322,315","105,733","30,626,934","108,666","29,757,769","98,607","27,304,316","113,781","32,007,344","94,457","28,325,020","104,634","29,559,675"
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,서울,강북구,"4,559","1,413,324","6,924","2,873,957","7,661","3,244,201","5,327","1,783,079","7,399","2,762,499","5,177","1,591,681","6,878","2,805,774","5,417","2,380,094","6,372","1,962,688","6,287","2,751,641","6,370","2,427,033","6,751","2,357,108"
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,서울,강서구,"36,882","15,054,900","36,054","15,149,394","36,881","15,096,895","37,962","15,191,465","35,753","15,284,553","46,595","19,005,938","38,076","16,005,919","34,009","14,541,030","38,641","16,356,513","36,199","14,769,215","35,311","14,967,156","35,094","15,432,830"
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,서울,관악구,"19,240","6,869,509","17,632","7,389,656","17,214","6,830,439","20,617","7,697,253","16,506","6,261,524","18,501","6,038,329","15,737","5,682,290","17,740","7,195,050","15,175","5,272,645","19,930","7,135,067","15,229","5,654,442","16,088","5,807,849"
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,서울,광진구,"43,861","20,235,057","39,345","16,148,378","42,250","17,828,678","49,239","24,229,944","47,534","20,807,520","34,823","14,935,941","46,618","20,126,213","45,304","21,584,015","36,657","15,535,836","44,113","19,042,459","49,189","21,594,999","57,796","23,202,916"
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,서울,구로구,"82,957","37,475,992","81,093","32,294,490","92,387","37,597,190","79,721","36,173,579","89,981","34,241,333","83,598","35,497,397","79,654","34,594,866","76,585","30,967,557","78,930","33,035,015","86,131","33,938,928","80,603","33,657,250","80,440","30,447,276"
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,서울,금천구,"4,957","1,453,105","4,917","1,131,589","4,098","1,135,004","4,023","858,615","5,113","1,284,899","4,700","1,127,448","4,475","1,479,741","5,051","2,012,301","4,362","1,067,290","4,601","1,080,455","7,881","1,892,723","6,912","1,700,352"
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,서울,노원구,"71,156","30,755,146","71,086","30,994,917","70,469","30,189,387","74,169","32,965,665","79,876","34,996,744","73,872","33,099,143","72,811","31,841,905","69,564","30,430,205","76,398","31,393,952","73,105","32,972,272","66,175","27,488,583","74,501","33,264,059"
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,서울,도봉구,"8,718","4,850,683","7,310","4,095,876","8,668","4,236,535","9,180","4,017,820","8,644","5,459,527","6,374","3,012,524","12,848","6,137,021","7,906","3,872,478","8,052","4,519,079","12,559","5,665,496","6,706","3,254,362","8,281","3,755,767"
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,서울,동대문구,"110,261","56,583,801","122,672","63,349,350","116,161","62,044,685","121,379","61,417,563","127,315","66,405,393","122,587","68,705,942","109,997","58,250,129","114,537","63,362,283","110,169","62,193,911","119,549","67,174,721","103,674","56,276,104","144,504","79,551,730"
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,서울,동작구,"64,318","31,944,028","61,035","30,664,946","55,816","27,596,921","58,772","29,220,897","65,599","32,327,718","53,661","26,828,449","53,889","28,105,720","58,880","30,067,556","56,895","26,646,524","56,454","30,600,999","51,819","25,647,473","57,071","26,184,428"
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,서울,마포구,"11,310","4,994,338","10,669","4,273,895","10,387","4,569,012","16,171","6,353,112","12,723","4,609,844","12,207","4,153,044","13,071","5,535,832","12,588","5,197,097","11,550","3,837,540","13,373","5,556,548","9,945","5,042,801","10,666","3,228,657"
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,서울,서대문구,"299,627","163,240,339","316,513","165,954,166","307,908","160,824,310","285,478","146,163,873","300,189","164,832,859","314,668","161,882,702","296,479","162,433,149","286,388","155,775,619","283,672","149,658,745","279,784","151,297,773","266,323","143,506,719","278,200","149,839,291"
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,서울,서초구,"141,499","69,959,030","123,401","61,172,175","124,622","59,196,000","127,137","62,816,709","154,770","72,464,796","140,703","67,451,344","147,142","65,848,437","127,773","58,129,250","146,882","73,399,284","156,435","71,406,944","136,195","64,777,312","155,257","70,681,172"
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,서울,성동구,"145,017","31,772,671","137,653","30,420,641","134,718","30,483,205","149,801","37,065,119","151,180","35,063,162","143,937","31,340,899","145,560","31,465,775","153,343","33,712,894","143,531","31,575,806","158,669","36,028,036","140,382","30,661,115","151,446","33,741,573"
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,서울,성북구,"39,856","21,157,530","34,053","19,440,324","34,181","19,299,295","29,530","16,169,667","36,627","20,952,768","33,804","19,050,546","33,830","20,779,916","29,041","18,297,390","32,243","18,369,521","30,874","17,931,297","31,051","19,000,580","29,436","18,974,445"
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,서울,송파구,"507,872","240,970,022","517,577","247,297,483","428,681","197,708,341","516,783","246,977,590","533,335","260,924,303","480,823","226,522,598","558,995","271,659,228","482,382","234,630,569","485,132","235,043,190","542,206","258,508,693","448,790","226,613,226","490,218","243,360,269"
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,서울,양천구,"60,002","26,601,812","56,434","23,239,865","59,122","25,451,965","55,882","23,847,129","56,098","24,204,040","61,777","26,298,734","53,219","23,318,456","60,153","26,296,988","54,527","23,801,434","60,188","27,074,977","54,511","24,751,458","54,785","25,126,772"
