ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
A07F,ANTIDIARRHEAL MICROORGANISMS,서울,강남구,"335,586","43,849,157","300,035","39,706,643","288,744","37,421,285","289,978","38,022,579","293,239","38,929,713","273,737","36,018,471","272,386","36,428,310","278,133","37,456,869","275,489","37,255,574","284,128","37,270,153","253,877","33,938,693","251,986","33,290,902"
A07F,ANTIDIARRHEAL MICROORGANISMS,서울,강동구,"515,559","56,055,411","469,505","50,540,317","412,953","43,446,823","441,924","43,948,443","439,222","45,302,677","407,227","40,983,659","420,645","41,402,531","437,958","44,610,007","423,724","43,098,659","447,812","45,522,702","400,969","39,997,090","388,036","40,012,410"
A07F,ANTIDIARRHEAL MICROORGANISMS,서울,강북구,"88,161","11,607,042","73,574","9,412,746","68,621","8,556,362","70,181","8,826,531","75,314","9,180,812","75,148","9,237,788","73,940","9,483,755","77,267","10,100,254","76,275","10,154,687","83,301","11,244,339","72,314","9,646,031","70,946","9,513,043"
A07F,ANTIDIARRHEAL MICROORGANISMS,서울,강서구,"280,348","35,708,751","235,004","29,886,272","227,069","28,890,866","218,029","27,467,295","210,360","26,133,166","210,286","25,437,639","205,710","25,401,803","220,862","27,044,314","225,114","27,635,663","225,617","26,899,902","205,478","24,148,537","183,794","22,167,132"
A07F,ANTIDIARRHEAL MICROORGANISMS,서울,관악구,"147,938","21,408,219","125,275","17,981,481","111,914","15,875,600","111,096","15,900,653","121,861","17,122,584","113,867","15,753,905","113,504","15,888,922","127,281","18,374,633","129,160","19,242,962","123,959","18,308,941","103,968","14,993,384","99,183","14,288,074"
A07F,ANTIDIARRHEAL MICROORGANISMS,서울,광진구,"144,856","21,012,859","124,784","18,141,931","111,146","15,779,824","118,577","17,064,538","119,307","17,016,651","116,090","17,050,073","113,696","16,264,361","127,562","17,973,021","124,259","17,682,169","127,493","18,383,400","124,696","17,824,886","115,345","16,413,563"
A07F,ANTIDIARRHEAL MICROORGANISMS,서울,구로구,"274,527","32,872,532","226,819","26,215,605","209,286","24,392,045","212,367","24,832,250","211,401","24,353,168","199,993","23,706,417","215,823","25,341,294","233,379","26,780,649","246,377","28,337,675","241,181","27,628,892","219,229","25,203,573","196,158","23,273,851"
A07F,ANTIDIARRHEAL MICROORGANISMS,서울,금천구,"69,464","9,083,265","62,607","7,975,993","61,280","7,713,685","66,220","8,487,396","65,642","8,293,800","61,512","7,588,986","57,084","7,539,688","63,563","8,695,900","57,555","8,098,624","58,796","8,049,991","57,807","8,035,029","49,133","6,908,448"
A07F,ANTIDIARRHEAL MICROORGANISMS,서울,노원구,"218,790","31,716,528","176,088","25,718,745","157,353","22,295,764","170,852","24,090,553","167,566","22,908,325","168,257","23,559,688","165,106","23,066,581","181,765","25,923,156","186,719","27,434,203","179,415","25,391,749","164,012","23,390,329","166,706","24,048,884"
A07F,ANTIDIARRHEAL MICROORGANISMS,서울,도봉구,"140,088","19,685,867","106,737","13,548,334","102,786","12,868,529","110,637","13,977,312","114,214","14,372,303","110,449","14,449,436","100,305","13,049,467","105,733","13,687,999","106,978","13,819,604","107,368","13,793,224","84,895","11,691,994","77,809","11,116,929"
