ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,강남구,"2,427,162","808,034,926","2,534,281","839,531,756","2,335,449","769,897,567","2,382,806","792,201,477","2,623,828","860,441,607","2,313,909","739,820,963","2,435,674","764,453,348","2,423,236","752,674,408","2,291,858","699,471,064","2,515,006","760,736,120","2,250,710","692,026,515","2,204,444","670,760,953"
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,강동구,"2,761,244","770,217,945","2,626,006","732,408,769","2,557,606","709,959,226","2,629,856","714,347,899","2,744,653","752,467,012","2,500,181","676,519,554","2,578,855","649,074,825","2,569,324","652,792,320","2,484,892","620,492,868","2,639,881","655,713,102","2,422,211","613,797,881","2,396,588","595,862,579"
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,강북구,"1,099,687","356,535,287","1,047,105","339,147,680","1,035,583","331,071,020","1,052,788","335,982,162","1,081,996","342,809,893","1,038,226","326,807,645","1,023,610","305,168,067","1,016,953","303,887,472","1,012,082","299,534,599","1,063,033","310,767,490","990,760","288,844,115","976,307","284,017,782"
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,강서구,"1,525,330","517,965,275","1,458,131","492,937,181","1,447,631","487,153,618","1,450,755","482,467,810","1,473,688","494,196,292","1,464,084","484,765,806","1,394,543","444,374,061","1,439,447","455,928,197","1,420,344","451,530,458","1,453,806","458,569,115","1,357,853","427,024,250","1,365,453","429,616,435"
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,관악구,"1,185,683","382,735,153","1,123,304","365,253,663","1,110,668","354,884,686","1,121,928","358,970,502","1,167,571","371,909,459","1,127,337","356,490,106","1,068,127","320,855,494","1,109,689","334,568,627","1,080,366","321,153,174","1,113,563","331,166,010","1,057,846","316,686,923","1,062,940","317,647,639"
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,광진구,"1,412,167","540,704,209","1,339,167","513,695,143","1,329,767","508,366,092","1,322,890","501,689,826","1,419,803","533,711,851","1,327,209","500,807,677","1,297,304","464,481,081","1,322,155","474,681,487","1,279,074","457,951,598","1,345,380","477,903,921","1,258,236","448,387,961","1,255,838","441,605,205"
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,구로구,"1,745,729","603,785,796","1,697,023","591,188,261","1,612,475","556,452,827","1,639,732","560,689,279","1,699,811","577,939,074","1,667,590","557,310,912","1,573,925","495,000,690","1,603,479","505,544,910","1,528,617","477,806,726","1,664,710","518,828,530","1,476,427","454,245,062","1,518,659","467,634,948"
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,금천구,"711,203","227,736,548","665,692","211,452,424","651,056","207,036,718","671,908","212,121,001","664,267","208,539,442","661,179","207,356,238","631,409","187,559,924","646,656","192,770,066","622,802","184,685,524","645,210","189,185,245","613,314","179,568,445","602,330","175,040,806"
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,노원구,"2,108,893","750,054,578","2,116,390","745,391,071","2,055,564","721,143,324","2,069,873","713,993,095","2,113,606","744,074,094","2,090,530","722,594,144","1,894,440","617,953,893","1,925,582","623,604,125","1,906,474","611,755,211","2,008,743","639,545,303","1,837,601","578,297,504","1,945,342","618,259,894"
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,도봉구,"1,145,101","370,469,872","1,101,276","356,850,348","1,073,418","346,527,952","1,103,194","354,388,853","1,145,633","365,779,641","1,071,130","342,690,520","1,065,974","323,898,309","1,059,233","319,997,210","1,029,058","309,806,294","1,097,693","329,409,558","1,037,076","312,359,034","1,010,163","298,656,729"
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,동대문구,"2,044,572","666,025,051","2,082,248","681,209,028","2,004,927","659,706,522","2,075,874","673,345,005","2,041,266","652,431,477","1,980,360","624,629,156","2,025,267","619,853,414","2,018,469","606,661,979","1,961,318","596,547,410","2,085,290","617,142,893","1,879,863","553,548,208","1,913,779","562,701,777"
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,동작구,"1,786,755","582,604,296","1,806,624","590,899,854","1,722,862","552,291,301","1,765,492","569,768,162","1,830,282","586,882,361","1,721,053","545,994,815","1,622,102","481,432,621","1,679,824","500,879,998","1,655,100","483,743,882","1,751,615","511,822,689","1,580,506","461,802,512","1,583,935","459,276,269"
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,마포구,"1,150,242","394,749,968","1,117,564","384,108,321","1,106,946","382,687,030","1,124,658","383,411,076","1,161,594","398,565,410","1,081,567","369,961,658","1,060,330","349,204,086","1,110,628","366,083,082","1,100,549","360,268,586","1,162,918","374,551,386","1,060,500","345,253,461","1,062,858","339,186,510"
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,서대문구,"1,872,120","619,164,315","1,923,212","637,985,252","1,909,957","628,731,273","1,887,168","623,634,692","1,928,937","635,237,252","1,888,759","612,521,410","1,742,400","553,804,204","1,818,975","580,795,069","1,830,916","571,582,934","1,931,336","613,512,293","1,644,482","512,025,682","1,768,640","549,993,277"
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,서초구,"1,549,975","548,299,985","1,432,313","499,312,874","1,450,907","507,660,054","1,441,829","494,808,814","1,466,559","505,661,312","1,443,912","497,776,895","1,418,078","462,008,253","1,405,996","456,987,254","1,383,610","447,105,573","1,536,738","488,667,475","1,331,367","423,710,493","1,289,323","413,026,738"
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,성동구,"1,109,954","347,148,924","1,059,052","332,102,855","1,065,582","332,202,521","1,044,562","325,750,690","1,112,283","345,133,107","1,045,834","317,642,085","1,019,814","290,985,710","1,044,294","297,701,312","992,931","279,235,850","1,061,106","300,477,756","979,143","273,337,223","994,708","277,124,370"
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,성북구,"1,587,398","542,495,993","1,542,143","524,019,788","1,495,097","497,402,458","1,527,319","511,249,219","1,618,537","546,555,592","1,461,392","479,999,363","1,529,995","488,857,340","1,539,612","491,862,532","1,453,913","451,570,659","1,588,905","499,816,371","1,437,196","446,865,058","1,445,892","442,067,291"
