ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",서울,강남구,"156,700","38,156,732","192,302","46,814,165","225,694","54,780,213","186,809","45,914,575","218,701","53,566,560","163,734","40,429,760","153,087","37,961,778","167,832","41,392,303","199,928","48,935,664","229,139","55,909,124","175,726","43,731,579","170,150","42,196,881"
A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",서울,강동구,"75,604","17,554,506","68,002","15,569,403","72,908","16,554,322","74,578","16,801,226","80,682","18,751,289","78,955","18,480,726","65,685","14,833,115","72,004","16,422,816","67,866","15,700,971","78,855","18,119,231","72,978","16,917,619","82,537","19,305,471"
A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",서울,강북구,"15,752","4,413,602","14,839","4,072,158","14,542","4,147,021","13,615","3,941,988","12,066","3,503,230","12,976","3,879,425","16,685","4,900,896","15,446","4,578,795","15,225","4,433,135","16,825","4,757,179","15,087","4,405,893","20,717","5,811,725"
A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",서울,강서구,"17,936","6,508,545","16,935","6,139,998","14,600","5,342,709","14,296","5,502,757","17,396","6,155,472","15,153","5,616,922","18,236","6,410,199","15,702","5,753,636","17,781","5,990,550","16,840","6,132,985","15,666","5,773,100","12,872","5,321,309"
A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",서울,관악구,"29,317","8,298,136","30,369","8,555,309","25,052","7,308,279","27,686","8,325,538","29,646","8,981,277","26,461","7,874,044","23,002","7,051,365","25,639","8,126,401","20,896","6,379,195","23,112","7,044,055","21,456","6,726,368","22,899","6,816,491"
A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",서울,광진구,"39,448","9,365,165","42,266","10,406,562","40,761","10,063,241","40,514","10,200,049","47,854","11,703,121","43,960","10,905,853","38,346","9,701,904","37,226","9,105,295","40,495","9,733,946","37,925","9,144,353","40,763","9,983,265","40,847","10,019,007"
A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",서울,구로구,"40,923","9,681,659","48,460","11,431,456","41,138","9,734,424","38,782","9,136,879","45,193","10,645,466","43,885","10,344,139","39,358","9,341,696","42,392","9,953,161","47,006","11,279,767","39,480","9,496,667","37,544","9,063,179","38,656","9,392,361"
A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",서울,금천구,"4,774","1,845,314","3,465","1,486,624","3,618","1,453,888","5,087","1,772,627","2,812","1,249,756","2,057","1,215,264","4,371","1,736,068","3,088","1,343,261","2,847","1,555,874","4,332","1,869,852","3,894","1,738,850","2,712","1,532,242"
A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",서울,노원구,"90,502","25,658,594","93,117","25,549,834","83,134","23,496,239","87,543","24,787,443","89,402","25,693,202","94,352","26,331,599","85,820","24,856,378","100,206","28,320,774","90,828","26,008,146","88,673","25,674,680","82,778","24,385,606","93,829","27,446,074"
A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",서울,도봉구,"9,191","3,166,809","9,506","3,390,860","8,899","3,035,249","9,753","3,259,380","9,001","3,187,776","6,889","2,589,835","8,887","2,677,697","10,458","3,193,259","8,461","2,855,501","11,258","4,398,841","8,668","3,902,461","9,100","4,105,298"
