ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,강남구,"1,038","243,645","1,082","206,419","1,137","218,117","1,146","213,455","1,155","230,658","1,375","264,823",921,"191,345",933,"190,100","1,149","222,789","1,180","239,278","1,118","219,973","1,247","241,342"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,강동구,"1,791","99,121","1,762","107,202","1,828","111,784","1,293","80,611","1,277","105,422","1,098","102,413","1,349","132,912","1,102","124,740","1,109","121,911","1,182","124,955",768,"77,328","1,043","105,756"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,강북구,43,"11,587",106,"29,376",128,"37,141",122,"35,994",188,"55,491",161,"48,904",204,"58,675",175,"51,692",172,"49,580",163,"47,284",146,"41,174",181,"53,216"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,강서구,766,"162,184",515,"111,274",638,"138,422",760,"159,630",666,"143,900",697,"146,929",597,"125,218",621,"129,613",580,"119,888",567,"116,990",733,"149,223",573,"116,946"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,관악구,166,"38,791",149,"35,069",156,"35,553",33,"8,991",96,"23,896",211,"46,291",86,"19,212",99,"21,659",147,"31,388",84,"21,346",94,"23,251",71,"18,068"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,광진구,"1,633","327,986","1,851","372,032","1,658","335,831","1,684","335,615","1,906","384,375","2,054","418,840","1,871","374,582","1,798","359,309","1,852","370,432","1,563","314,358","1,500","299,368","1,304","267,400"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,구로구,200,"37,621",194,"34,777",287,"52,200",180,"34,741",242,"43,752",182,"37,392",289,"47,152",186,"34,409",317,"57,439",139,"27,508",185,"35,303",209,"37,744"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,금천구,495,"129,585",351,"92,213",384,"100,992",606,"162,264",558,"147,346",428,"114,562",349,"93,452",391,"104,054",666,"178,027",693,"187,550",621,"164,655",608,"160,777"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,노원구,"1,151","227,501","1,675","332,677","1,513","300,767","1,498","296,950","1,212","241,702","1,294","256,174","1,104","219,021","1,421","280,613","1,179","232,184","1,181","230,757","1,124","217,470","1,859","369,183"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,도봉구,314,"79,622",306,"75,036",356,"86,869",534,"131,074",812,"201,468",573,"132,762",391,"90,601",314,"71,036",266,"62,515",190,"42,464",174,"38,083",209,"48,995"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,동대문구,754,"134,528","1,421","240,800","1,320","227,232",743,"127,974",634,"109,729",569,"94,168",472,"80,393",588,"100,831",536,"93,259",691,"120,203",561,"92,275",779,"133,706"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,동작구,826,"33,470",544,"24,207",629,"34,409",440,"18,535",694,"47,237",688,"68,278",810,"76,626",790,"82,541",658,"55,001",764,"83,694",778,"89,571",770,"77,210"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,마포구,130,"3,556",5,"1,500",122,"1,423",35,"5,705",138,"3,894",12,"1,956",138,"4,074",10,"1,630",144,"4,908",3,489,131,"2,753",13,"2,551"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,서대문구,603,"99,175",624,"102,916",798,"130,182","1,222","200,008","1,145","187,067",807,"132,081",874,"142,736",878,"143,755",794,"129,926",459,"74,961",521,"85,809",607,"100,014"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,서초구,748,"154,699",580,"141,510",568,"147,208",551,"116,758",845,"160,330",764,"162,878",796,"173,673",799,"160,170",759,"161,107",835,"175,606",645,"142,626",847,"164,269"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,성동구,136,"28,066",170,"30,457",135,"24,745",167,"30,509",191,"33,325",376,"64,165",76,"15,813",42,"9,312",67,"13,113",98,"19,399",60,"15,397",28,"7,304"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,성북구,106,"63,933",87,"82,301",136,"72,024",60,"42,342",69,"16,052",25,"14,259",5,"7,958",22,"6,699",7,"1,393",-,-,1,199,11,"20,959"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,송파구,367,"79,070",633,"159,604",726,"183,477","1,222","298,919","1,174","302,043","1,275","303,445",994,"257,929",800,"67,060",221,"52,685",186,"43,168",115,"26,469",799,"107,828"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,양천구,255,"82,287",213,"48,972",190,"54,754",160,"30,667",350,"52,901",176,"39,111",233,"55,303",300,"68,791",292,"59,888",332,"56,418",264,"63,749",298,"82,369"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,영등포구,"3,772","769,888","3,536","688,010","4,101","828,876","4,498","883,187","5,619","1,105,610","4,978","1,009,351","4,402","882,294","6,039","1,184,880","5,695","1,137,877","5,933","1,147,809","4,944","962,390","4,932","983,220"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,용산구,207,"51,014",157,"38,014",181,"42,102",162,"36,665",371,"75,346",329,"70,503",123,"26,677",160,"35,557",147,"32,435",138,"32,124",200,"45,794",112,"25,692"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,은평구,738,"171,604",592,"127,476",455,"111,055",430,"124,615",462,"157,766",384,"95,986",266,"74,345",297,"79,955",313,"80,061",397,"120,935",392,"106,434",392,"104,280"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,종로구,"1,008","159,248","2,092","294,596","2,118","307,501","2,478","342,872","2,624","370,063","2,917","408,286","1,776","262,899","2,116","310,286","1,876","280,561","1,950","303,647","2,087","347,034","2,620","396,263"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,중구,576,"116,837",576,"121,335",702,"141,659",732,"150,058",748,"148,744",652,"129,712",677,"136,836",552,"118,928","1,038","197,814",766,"143,404",784,"141,334","1,037","191,733"
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",서울,중랑구,254,"49,014",292,"58,161",191,"37,971",264,"52,211",217,"41,702",210,"38,832",250,"45,478",352,"67,348",222,"43,972",251,"50,186",303,"63,429",305,"62,127"
