ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,서울,강남구,"522,603","1,785,012,662","561,658","1,879,782,242","516,735","1,815,988,654","521,381","1,923,704,844","587,383","1,956,780,913","524,043","1,819,425,975","551,626","1,821,242,087","549,322","1,560,077,264","541,369","1,563,477,483","604,600","1,601,784,412","523,316","1,517,422,968","568,707","1,458,198,573"
A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,서울,강동구,"431,226","102,050,084","410,264","97,288,309","401,522","93,883,396","430,910","98,605,001","455,234","105,357,720","401,409","94,579,922","438,810","99,358,097","429,856","97,077,820","401,302","94,321,136","472,980","102,307,303","419,523","94,305,609","408,462","96,703,648"
A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,서울,강북구,"88,477","39,888,610","78,883","36,093,751","79,861","36,938,218","79,211","36,216,987","85,249","38,319,122","77,617","35,142,814","79,315","35,772,131","78,002","34,882,770","84,468","37,044,854","84,638","35,846,667","78,854","34,424,378","79,920","35,010,274"
A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,서울,강서구,"133,717","46,343,545","123,032","44,692,916","115,406","41,377,754","119,928","43,623,127","119,368","43,926,458","118,928","42,463,082","125,022","43,062,841","137,299","45,149,729","135,164","43,244,030","131,828","44,416,222","119,195","40,219,824","121,082","39,530,540"
A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,서울,관악구,"118,750","38,350,118","108,220","35,206,746","119,178","37,440,315","122,812","38,383,246","128,706","39,841,216","122,142","37,499,410","115,683","35,735,725","123,640","37,308,401","113,762","35,593,003","124,916","36,996,250","122,461","35,608,620","121,225","35,979,481"
A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,서울,광진구,"142,040","56,483,157","137,594","55,378,354","132,513","52,340,741","136,492","55,132,055","175,762","76,959,481","146,600","59,590,644","139,495","57,795,305","142,492","59,780,342","144,841","61,122,246","156,862","64,268,804","143,372","56,811,736","142,575","60,191,635"
A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,서울,구로구,"179,447","106,472,006","173,419","104,409,915","159,887","99,291,175","159,704","98,739,035","169,590","103,414,557","160,602","98,508,149","167,828","101,342,696","164,886","101,077,090","163,040","97,027,667","179,658","102,950,201","152,679","93,423,564","154,200","94,891,417"
A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,서울,금천구,"64,036","29,676,331","56,876","26,224,457","59,272","27,012,337","60,916","27,842,781","59,914","26,978,074","65,981","30,088,824","65,349","29,176,782","65,055","29,436,352","60,795","26,818,480","68,038","29,775,047","62,926","27,153,724","67,656","29,408,681"
A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,서울,노원구,"209,311","80,365,597","220,541","83,885,314","219,154","82,025,477","207,278","79,300,298","230,119","85,447,925","218,254","83,204,544","224,873","82,767,665","218,254","79,823,966","220,615","103,233,992","237,096","115,996,472","223,176","119,992,065","234,732","123,535,377"
A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,서울,도봉구,"136,332","46,150,555","124,897","41,991,322","129,834","43,416,001","134,325","44,660,179","132,751","43,083,876","134,956","43,218,221","136,722","44,659,226","137,250","42,602,954","142,878","43,401,656","159,662","48,135,776","144,918","43,677,914","145,559","44,052,672"
A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,서울,동대문구,"214,417","78,917,899","207,870","170,136,903","211,551","152,014,790","206,107","150,541,266","216,300","184,666,442","200,389","165,737,673","209,914","150,902,047","201,723","127,316,773","201,784","136,646,313","203,713","127,509,483","193,058","124,707,116","204,332","120,200,787"
A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,서울,동작구,"255,992","129,456,518","258,391","129,855,835","245,166","125,089,915","240,141","119,661,849","268,816","179,620,605","250,916","140,839,973","252,659","124,762,159","266,488","147,781,598","255,991","140,312,639","286,161","129,919,249","247,507","137,889,208","244,542","120,351,832"
