ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
B03A,IRON PREPARATIONS,서울,강남구,"216,064","34,407,188","210,650","31,752,465","218,481","33,638,991","234,692","35,127,614","240,339","34,461,195","242,987","34,939,790","264,888","33,197,147","260,622","30,926,601","270,718","30,293,670","313,726","31,809,477","281,831","28,408,045","377,996","34,350,402"
B03A,IRON PREPARATIONS,서울,강동구,"168,864","20,403,113","164,366","20,712,213","165,834","21,513,497","166,697","19,171,194","181,129","20,428,317","168,461","20,208,352","175,554","18,373,905","205,364","19,439,290","190,476","19,118,521","210,772","19,226,443","185,736","16,919,757","219,976","21,636,263"
B03A,IRON PREPARATIONS,서울,강북구,"57,156","12,059,511","53,151","11,427,551","52,554","11,211,187","56,235","12,035,672","58,652","12,070,114","58,456","11,734,777","82,046","11,033,817","106,914","10,503,037","101,706","10,651,387","117,050","11,659,254","97,861","10,372,051","115,141","11,344,933"
B03A,IRON PREPARATIONS,서울,강서구,"80,756","13,187,282","83,858","13,209,139","82,132","12,815,372","81,408","13,714,759","82,297","13,500,219","91,822","14,631,345","100,929","12,992,674","107,798","13,458,752","117,965","13,908,999","107,796","12,940,288","112,318","13,148,058","126,751","14,522,783"
B03A,IRON PREPARATIONS,서울,관악구,"56,751","9,441,950","53,010","9,204,301","57,069","9,251,170","58,586","9,607,054","65,797","10,584,152","59,777","10,614,266","59,857","8,951,111","71,047","8,909,152","69,482","8,898,730","68,266","8,728,474","73,281","7,965,758","86,909","9,539,925"
B03A,IRON PREPARATIONS,서울,광진구,"69,442","12,346,894","66,775","11,582,329","67,646","10,839,210","70,358","11,106,630","79,319","11,732,204","73,660","11,136,274","81,346","12,026,440","112,095","13,171,730","101,516","12,240,795","108,086","13,661,901","99,782","12,655,027","100,662","12,708,579"
B03A,IRON PREPARATIONS,서울,구로구,"134,601","16,690,429","128,765","15,197,710","129,148","16,348,027","132,931","16,136,986","146,148","16,310,438","137,224","15,347,513","145,418","16,463,207","149,165","16,358,041","169,911","16,542,278","159,439","15,838,347","151,910","15,366,266","170,012","16,958,767"
B03A,IRON PREPARATIONS,서울,금천구,"27,171","3,844,858","27,997","3,911,584","25,856","3,630,655","29,181","3,769,786","29,233","3,876,198","24,880","3,035,329","25,922","3,125,975","28,397","3,291,371","27,443","3,300,490","27,692","3,166,741","24,539","2,938,015","26,964","3,333,187"
B03A,IRON PREPARATIONS,서울,노원구,"161,025","21,749,207","156,660","20,477,645","156,844","19,796,096","161,964","22,033,391","163,438","21,176,478","161,022","21,064,838","169,759","22,667,731","180,516","23,074,425","192,677","20,854,065","212,503","23,441,272","195,884","21,541,830","230,532","23,807,232"
B03A,IRON PREPARATIONS,서울,도봉구,"59,737","8,105,743","55,030","8,150,130","54,805","7,152,093","55,697","7,648,901","60,930","8,239,216","55,360","7,114,024","62,678","7,553,670","60,522","7,589,857","59,181","7,212,601","64,689","7,780,528","61,844","7,465,220","69,159","8,477,834"
