ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
B05B,I.V. SOLUTIONS,서울,강남구,"112,641","298,367,829","134,611","394,300,788","139,207","390,432,716","152,349","480,100,775","159,060","476,714,400","148,857","469,240,156","153,745","476,851,970","153,238","476,340,495","141,746","425,638,226","151,950","467,628,457","130,591","364,484,353","151,891","461,856,208"
B05B,I.V. SOLUTIONS,서울,강동구,"51,760","265,261,519","52,861","291,647,232","50,210","283,898,374","49,916","284,406,172","55,418","310,493,331","50,904","285,684,181","50,699","276,578,856","54,600","300,379,241","52,600","272,598,287","55,881","290,313,795","49,060","253,180,745","56,733","308,743,386"
B05B,I.V. SOLUTIONS,서울,강북구,"7,590","22,342,460","6,871","22,451,365","7,103","21,111,333","7,204","24,857,912","7,997","20,554,396","7,898","15,387,660","7,370","17,257,004","7,378","20,559,701","7,157","19,316,010","8,222","22,136,024","7,665","18,990,346","8,389","23,377,518"
B05B,I.V. SOLUTIONS,서울,강서구,"16,408","29,303,257","14,258","25,716,899","14,321","26,687,349","14,679","25,771,059","16,078","27,878,887","15,916","29,791,818","16,219","28,675,160","16,316","29,398,887","15,257","27,152,292","15,955","26,985,367","15,012","29,609,372","17,079","31,499,671"
B05B,I.V. SOLUTIONS,서울,관악구,"11,673","29,718,809","10,470","26,596,050","9,947","28,302,501","10,482","23,705,406","11,587","28,827,800","11,058","26,691,862","11,511","26,542,402","12,669","30,457,706","11,042","23,770,263","12,319","33,231,303","11,471","29,798,948","14,344","39,105,165"
B05B,I.V. SOLUTIONS,서울,광진구,"20,090","100,822,021","23,796","123,233,080","23,939","128,271,543","23,032","126,141,234","27,437","156,410,066","28,225","149,898,693","23,012","126,164,641","26,337","131,547,780","25,941","138,023,330","27,184","142,501,112","26,128","128,683,949","33,713","194,395,568"
B05B,I.V. SOLUTIONS,서울,구로구,"30,041","162,689,960","29,844","186,324,980","31,032","202,162,772","32,675","215,307,091","35,603","224,212,639","35,533","221,572,358","30,493","206,801,969","32,948","218,660,608","29,810","189,546,023","32,839","204,817,356","29,773","211,024,736","38,344","263,202,100"
B05B,I.V. SOLUTIONS,서울,금천구,"5,740","16,404,635","5,234","14,891,572","5,563","18,130,918","6,649","19,536,845","6,477","17,828,544","6,733","19,444,864","6,354","15,373,312","6,382","15,533,718","5,959","15,641,331","6,739","16,262,917","5,989","13,751,422","6,686","14,645,893"
B05B,I.V. SOLUTIONS,서울,노원구,"43,572","197,389,982","48,553","246,713,598","46,544","222,469,093","47,110","234,958,672","50,536","260,717,124","49,601","256,376,892","44,775","222,933,118","48,998","244,421,225","47,944","228,224,197","50,847","243,920,264","45,128","212,866,793","61,808","322,702,150"
B05B,I.V. SOLUTIONS,서울,도봉구,"13,087","51,975,940","11,752","52,531,251","10,752","48,251,874","11,244","53,705,695","12,834","58,584,415","12,977","56,038,541","11,146","51,012,733","12,645","59,301,932","11,686","53,279,727","12,426","55,196,245","12,238","55,471,340","13,890","71,583,262"
B05B,I.V. SOLUTIONS,서울,동대문구,"27,571","104,282,059","27,413","103,601,620","28,680","129,942,293","30,116","150,044,076","33,306","149,954,595","32,709","152,876,878","30,045","146,245,586","30,944","168,584,531","30,843","144,306,205","32,520","153,459,059","29,362","138,116,169","36,860","173,137,804"
B05B,I.V. SOLUTIONS,서울,동작구,"37,365","128,166,665","40,154","132,640,762","41,953","152,062,794","42,807","152,575,449","44,733","155,614,622","45,414","162,537,108","46,468","169,994,243","50,291","179,528,015","46,385","154,357,355","48,719","158,338,834","43,743","150,470,075","51,504","169,111,329"
