ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
B05X,I.V. SOLUTION ADDITIVES,서울,강남구,"179,502","170,163,297","219,976","216,041,550","226,668","223,043,360","255,681","240,761,821","270,916","272,821,518","251,001","252,889,389","257,590","249,366,448","272,897","260,653,559","245,107","234,966,793","260,937","249,830,506","213,743","208,419,221","258,683","248,078,934"
B05X,I.V. SOLUTION ADDITIVES,서울,강동구,"135,493","127,147,326","141,279","128,841,745","138,108","127,793,886","136,413","127,083,576","144,757","136,026,093","135,820","127,114,052","134,013","125,655,148","141,332","130,324,553","130,965","120,814,341","141,990","129,631,522","126,183","113,762,327","148,448","130,717,142"
B05X,I.V. SOLUTION ADDITIVES,서울,강북구,"17,311","16,376,316","18,005","16,311,597","16,460","14,493,742","16,901","14,464,869","18,649","16,647,141","16,932","15,174,514","17,113","15,571,642","18,104","15,826,568","17,590","15,840,641","18,667","17,026,906","16,110","14,592,594","16,905","15,738,533"
B05X,I.V. SOLUTION ADDITIVES,서울,강서구,"29,560","25,886,470","26,337","23,702,264","27,463","23,109,654","26,116","22,778,364","25,894","22,229,158","26,543","22,789,074","28,503","24,567,998","30,641","25,315,668","26,441","22,186,231","27,911","22,410,274","25,217","21,488,827","32,193","25,962,579"
B05X,I.V. SOLUTION ADDITIVES,서울,관악구,"24,769","26,748,990","22,614","23,093,837","21,515","21,608,938","20,145","19,493,213","24,513","24,361,338","22,122","22,252,667","22,429","21,870,124","23,103","22,887,146","21,209","19,596,726","25,473","25,839,294","24,091","22,951,440","26,847","26,297,675"
B05X,I.V. SOLUTION ADDITIVES,서울,광진구,"54,752","59,190,867","59,530","62,998,025","66,667","69,617,542","64,734","69,237,874","77,974","83,474,122","77,194","80,069,133","66,051","70,889,514","73,314","77,677,394","68,118","72,337,731","72,912","77,455,096","66,129","69,183,622","84,277","88,629,411"
B05X,I.V. SOLUTION ADDITIVES,서울,구로구,"82,777","73,077,896","84,328","76,256,268","90,052","78,344,197","97,906","85,130,065","107,349","95,356,444","99,054","86,397,944","93,505","83,762,504","96,446","85,751,369","88,941","77,427,755","94,511","81,503,581","87,626","76,162,584","107,762","93,992,161"
B05X,I.V. SOLUTION ADDITIVES,서울,금천구,"15,349","12,782,553","14,141","12,089,594","14,988","12,145,349","16,773","12,885,319","16,162","12,634,532","16,077","12,386,859","14,132","11,423,188","15,122","11,894,525","14,049","10,729,403","14,701","11,501,393","15,781","12,523,932","18,817","15,447,183"
B05X,I.V. SOLUTION ADDITIVES,서울,노원구,"114,905","101,634,314","122,957","104,935,474","120,887","101,136,281","121,076","102,081,245","129,119","104,951,066","132,408","108,167,344","116,688","97,058,115","123,111","101,307,295","120,017","98,763,983","121,348","98,214,694","108,983","89,945,976","147,012","118,947,119"
B05X,I.V. SOLUTION ADDITIVES,서울,도봉구,"39,294","34,055,515","35,753","31,923,804","37,043","32,995,575","37,199","32,342,534","39,754","34,549,261","39,301","33,621,798","37,388","32,541,542","39,301","34,961,295","34,522","29,864,992","38,155","33,625,301","35,821","32,653,597","46,082","40,091,861"
B05X,I.V. SOLUTION ADDITIVES,서울,동대문구,"84,592","76,699,564","88,081","81,054,684","86,877","80,897,745","94,010","84,273,034","102,798","97,306,658","102,447","91,744,343","97,511","86,971,724","98,193","89,944,242","94,268","84,473,175","103,670","95,769,425","97,276","84,547,072","124,537","108,244,580"
