ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
C01E,OTHER CARDIAC PREPARATIONS,서울,강남구,"233,894","48,634,268","322,239","99,658,840","279,463","123,190,050","249,896","83,275,323","331,886","138,837,968","280,211","101,901,182","280,183","123,136,175","256,031","104,575,437","312,759","116,887,163","316,047","97,178,401","281,535","78,515,723","299,360","77,609,504"
C01E,OTHER CARDIAC PREPARATIONS,서울,강동구,"237,314","43,392,998","245,520","49,502,075","236,610","37,132,442","235,238","39,345,313","244,956","39,141,657","235,090","37,029,738","235,472","35,396,261","241,460","28,271,996","222,108","28,404,525","251,642","35,784,036","225,035","43,079,178","211,314","39,890,570"
C01E,OTHER CARDIAC PREPARATIONS,서울,강북구,"19,733","2,212,948","18,688","2,354,426","22,285","2,840,509","20,186","2,185,724","19,109","1,994,939","17,360","1,775,563","23,258","2,504,626","19,321","2,262,973","19,747","1,996,915","19,904","2,012,319","19,818","2,012,077","19,258","2,441,986"
C01E,OTHER CARDIAC PREPARATIONS,서울,강서구,"29,719","10,373,063","30,867","10,089,484","35,116","11,115,247","30,898","11,901,680","28,138","10,302,028","26,091","12,636,524","27,136","11,122,618","37,533","13,822,327","33,350","12,946,193","37,621","11,508,111","26,620","8,121,470","28,680","9,838,526"
C01E,OTHER CARDIAC PREPARATIONS,서울,관악구,"21,828","3,867,657","19,106","3,693,712","19,112","3,811,951","21,880","3,650,904","22,329","3,806,700","20,242","3,569,121","21,800","4,551,999","22,720","4,528,129","21,884","4,358,980","22,923","3,884,677","19,955","4,138,596","21,831","3,152,447"
C01E,OTHER CARDIAC PREPARATIONS,서울,광진구,"54,745","16,251,604","52,603","18,196,475","41,394","17,203,209","48,031","20,539,723","51,281","26,862,549","49,395","19,845,296","44,705","17,724,898","50,320","17,303,492","49,616","19,742,214","54,236","22,711,642","42,392","20,608,008","45,761","25,301,872"
C01E,OTHER CARDIAC PREPARATIONS,서울,구로구,"259,551","50,530,817","267,003","57,411,352","240,844","50,481,216","223,088","40,114,064","253,748","49,685,438","246,308","47,367,880","254,958","55,944,206","271,086","52,771,688","225,970","51,365,440","255,930","51,480,612","215,672","38,077,805","204,454","42,267,109"
C01E,OTHER CARDIAC PREPARATIONS,서울,금천구,"12,038","2,307,227","13,579","3,889,426","12,138","3,367,980","12,264","2,937,063","11,782","2,046,804","11,169","2,097,299","12,328","2,559,034","11,905","2,234,284","11,801","2,037,599","11,657","1,573,742","11,833","3,142,359","9,884","3,909,875"
C01E,OTHER CARDIAC PREPARATIONS,서울,노원구,"70,375","15,928,092","70,505","22,216,989","66,124","20,569,513","66,564","23,436,504","64,912","18,573,527","67,860","22,679,230","64,072","18,774,871","67,620","19,875,652","68,033","17,067,774","73,237","20,208,170","65,845","17,851,956","67,070","21,163,290"
C01E,OTHER CARDIAC PREPARATIONS,서울,도봉구,"41,356","9,897,292","48,022","10,125,053","38,094","10,618,312","41,890","9,113,618","38,070","9,964,914","39,592","9,321,392","44,251","11,189,509","39,178","11,762,699","35,300","9,956,084","44,154","11,595,836","35,590","11,272,050","35,050","10,383,026"
C01E,OTHER CARDIAC PREPARATIONS,서울,동대문구,"134,820","25,386,987","121,098","33,953,351","123,214","25,381,713","128,930","26,012,947","122,460","29,359,877","125,380","31,707,143","122,059","25,619,658","123,979","27,904,516","118,013","23,626,984","129,808","28,258,384","108,666","22,463,402","121,924","30,951,064"
C01E,OTHER CARDIAC PREPARATIONS,서울,동작구,"66,023","17,879,667","74,452","33,650,418","67,494","31,151,900","71,678","42,268,606","73,792","51,309,513","74,807","30,769,837","69,736","21,343,248","78,244","47,640,624","68,298","15,244,882","74,546","18,177,036","60,711","17,757,090","68,758","18,068,450"
C01E,OTHER CARDIAC PREPARATIONS,서울,마포구,"26,152","3,345,196","27,828","3,229,565","26,424","3,080,899","29,926","3,477,249","26,894","3,328,606","27,846","3,211,727","24,150","3,336,841","26,891","3,876,931","28,140","3,710,526","31,190","3,894,098","25,161","3,563,088","30,018","5,096,704"
C01E,OTHER CARDIAC PREPARATIONS,서울,서대문구,"318,534","114,260,669","346,515","76,399,306","302,423","117,291,145","300,397","152,678,836","303,612","120,203,637","304,550","136,747,058","262,455","120,042,692","313,747","122,371,377","334,634","125,648,186","378,147","146,203,683","258,313","130,576,390","307,064","191,368,951"
C01E,OTHER CARDIAC PREPARATIONS,서울,서초구,"19,728","15,660,707","24,310","40,179,113","21,043","54,830,103","22,552","38,583,755","19,996","43,437,368","18,663","50,477,559","18,684","28,350,778","22,032","55,352,005","21,141","46,931,435","19,027","44,667,252","15,015","32,263,269","19,106","62,806,440"
C01E,OTHER CARDIAC PREPARATIONS,서울,성동구,"60,464","17,040,638","60,901","13,763,682","58,960","16,045,661","57,452","14,342,136","62,613","14,591,546","63,647","17,536,223","56,479","16,981,861","58,354","15,100,206","56,372","13,668,225","59,170","18,992,019","60,319","15,574,780","62,143","21,810,040"
C01E,OTHER CARDIAC PREPARATIONS,서울,성북구,"143,104","58,578,087","136,838","40,999,779","145,442","45,483,956","126,888","57,757,829","146,264","53,295,199","130,854","55,409,238","156,145","65,329,705","127,687","59,717,022","137,004","65,648,115","150,364","73,947,704","120,586","56,884,367","131,507","56,343,037"
C01E,OTHER CARDIAC PREPARATIONS,서울,송파구,"111,412","146,034,595","121,891","355,868,936","132,036","442,833,352","127,456","345,513,903","134,196","463,910,338","129,113","316,948,944","124,985","399,894,263","133,367","244,111,085","121,515","228,315,723","144,722","266,072,982","121,037","242,694,151","135,458","463,873,405"
C01E,OTHER CARDIAC PREPARATIONS,서울,양천구,"138,943","24,101,871","127,003","23,633,225","122,591","25,262,476","137,723","34,940,567","64,420","30,784,049","71,328","16,997,629","69,204","36,387,344","234,928","42,174,925","175,912","32,128,193","150,270","36,674,009","133,567","22,451,695","123,094","50,903,230"
C01E,OTHER CARDIAC PREPARATIONS,서울,영등포구,"148,356","38,376,998","152,372","36,289,057","150,066","36,514,876","142,719","34,862,345","150,927","40,564,071","158,136","43,657,080","142,460","35,375,186","142,740","36,593,946","158,073","38,497,459","162,001","34,324,080","135,508","34,754,171","150,052","39,287,287"
C01E,OTHER CARDIAC PREPARATIONS,서울,용산구,"38,148","9,732,260","38,225","11,230,882","36,775","18,119,712","28,757","8,897,121","36,755","11,872,641","35,117","10,880,816","32,716","10,570,636","32,111","13,140,590","35,751","9,797,080","31,498","9,038,145","29,184","7,769,677","31,574","12,251,202"
C01E,OTHER CARDIAC PREPARATIONS,서울,은평구,"31,598","3,483,964","28,400","3,085,249","29,649","3,365,232","33,110","3,556,312","29,548","3,280,214","31,261","3,549,101","29,788","3,142,323","23,109","2,559,572","31,156","3,433,906","36,329","3,810,723","27,124","2,805,078","30,018","3,393,024"
C01E,OTHER CARDIAC PREPARATIONS,서울,종로구,"184,737","48,378,911","157,020","71,883,273","177,970","73,208,733","177,084","87,217,315","131,658","85,477,919","125,691","96,798,581","200,826","64,511,354","173,071","89,093,781","150,693","64,461,896","206,040","89,125,841","148,233","77,864,854","164,773","143,116,095"
C01E,OTHER CARDIAC PREPARATIONS,서울,중구,"35,842","5,369,753","37,744","6,601,104","33,186","5,528,599","33,938","4,604,532","40,820","7,976,017","34,174","7,391,870","36,557","6,058,051","38,440","7,009,729","36,266","5,474,599","37,692","4,930,764","36,462","4,563,782","32,814","4,328,702"
C01E,OTHER CARDIAC PREPARATIONS,서울,중랑구,"30,072","33,367,654","27,703","33,354,520","29,438","35,734,188","27,444","28,580,524","29,586","24,568,534","27,854","33,262,425","30,006","32,711,710","25,379","34,248,771","30,430","36,273,947","28,986","27,732,282","26,004","39,207,656","28,040","38,184,145"
