ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,강남구,"31,130","4,078,855","29,482","3,972,801","28,904","3,917,813","30,564","4,009,802","32,849","4,378,884","30,368","4,101,677","28,506","3,650,980","34,020","4,620,811","31,407","4,128,041","33,895","4,537,361","31,137","4,057,677","29,931","3,904,470"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,강동구,"41,704","5,409,802","39,004","5,183,638","39,992","5,453,935","39,801","5,350,518","43,064","5,904,300","39,394","5,429,772","43,702","5,875,845","39,619","5,385,622","41,993","5,921,736","45,246","6,083,223","40,988","5,636,086","39,914","5,505,756"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,강북구,"7,269","1,171,557","6,124","987,609","6,242","988,903","7,343","1,179,502","5,226","842,808","6,085","971,998","6,059","987,469","6,898","1,125,484","6,914","1,115,405","7,888","1,265,742","4,909","798,942","6,816","1,105,055"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,강서구,"25,375","4,035,319","24,890","3,951,643","22,411","3,546,792","25,004","3,960,201","25,326","4,040,959","22,732","3,591,670","24,456","3,874,866","26,394","4,201,488","24,496","3,884,951","24,810","3,943,253","24,524","3,896,239","23,502","3,728,070"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,관악구,"10,692","1,713,638","10,880","1,766,877","10,068","1,604,937","12,198","1,968,150","10,346","1,671,750","11,787","1,899,063","10,913","1,740,865","12,888","2,073,027","11,202","1,793,225","12,516","2,024,061","11,655","1,876,039","12,687","2,028,433"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,광진구,"14,672","2,211,038","14,135","2,216,584","13,256","1,989,004","12,564","1,932,950","14,026","2,139,513","12,746","1,970,301","13,006","1,953,102","14,864","2,309,240","13,766","2,095,835","14,176","2,167,359","14,130","2,151,037","14,028","2,156,479"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,구로구,"44,514","7,210,024","44,716","7,223,449","41,946","6,816,077","43,356","6,973,935","38,490","6,243,586","44,612","7,224,025","45,812","7,414,017","50,907","8,230,970","41,956","6,793,281","44,602","7,213,139","39,768","6,451,145","37,903","6,108,750"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,금천구,"9,274","1,445,937","8,640","1,344,893","9,392","1,458,035","8,504","1,330,535","8,514","1,353,006","9,474","1,448,196","9,168","1,432,135","9,454","1,457,273","7,827","1,209,855","8,253","1,260,052","8,346","1,303,590","7,240","1,133,502"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,노원구,"21,318","3,420,049","21,316","3,428,764","20,814","3,351,764","21,557","3,472,523","19,263","3,104,565","23,119","3,739,136","21,687","3,467,455","21,268","3,433,671","22,061","3,574,264","24,236","3,903,424","22,336","3,615,419","21,922","3,526,729"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,도봉구,"10,028","1,393,996","8,863","1,164,200","8,566","1,162,315","10,054","1,380,538","8,589","1,177,026","9,218","1,239,261","9,704","1,346,816","9,674","1,313,690","8,395","1,131,106","9,350","1,267,363","8,445","1,145,930","8,175","1,093,370"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,동대문구,"44,037","6,828,496","47,845","7,286,317","49,158","7,537,549","50,774","7,858,952","41,110","6,271,719","41,201","6,235,605","53,270","8,143,348","45,669","7,035,681","49,898","7,602,930","53,497","8,178,434","43,732","6,596,566","44,180","6,793,824"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,동작구,"33,194","5,339,454","34,460","5,558,859","32,288","5,212,409","38,633","6,245,786","37,110","6,013,664","33,832","5,407,805","35,374","5,676,652","40,066","6,511,504","35,118","5,679,869","37,261","6,044,387","33,076","5,377,886","40,078","6,400,346"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,마포구,"10,396","1,519,419","10,894","1,631,170","10,674","1,582,488","10,902","1,635,284","10,261","1,525,361","9,280","1,360,978","9,500","1,447,553","9,961","1,505,021","9,088","1,328,358","11,547","1,751,667","9,572","1,427,155","9,334","1,401,425"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,서대문구,"35,775","4,408,611","29,384","3,700,424","32,198","4,055,980","32,566","4,142,348","34,624","4,412,610","31,708","3,808,346","31,746","3,942,897","27,235","3,293,963","32,418","3,920,362","35,234","4,364,712","28,815","3,615,113","28,720","3,501,169"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,서초구,"13,103","1,477,678","11,293","1,138,228","13,209","1,416,950","11,803","1,190,910","11,840","1,321,191","13,176","1,377,783","13,602","1,453,084","13,113","1,349,923","13,254","1,420,956","14,019","1,444,788","13,422","1,549,374","13,462","1,410,702"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,성동구,"5,286","755,384","5,049","714,195","3,756","550,416","4,440","647,522","3,985","589,432","4,578","684,391","4,648","691,910","4,687","718,148","5,648","867,259","4,648","703,161","4,190","636,198","4,566","703,045"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,성북구,"20,594","3,311,789","21,442","3,449,962","18,606","2,979,408","20,958","3,347,291","20,314","3,274,028","21,026","3,376,360","18,909","3,026,462","21,785","3,484,784","19,415","3,115,218","21,781","3,440,825","18,276","2,949,324","21,509","3,435,130"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,송파구,"35,319","5,728,977","36,251","5,870,024","34,614","5,599,111","34,173","5,541,756","33,839","5,518,130","36,166","5,861,855","33,494","5,430,394","35,315","5,723,083","34,354","5,563,014","36,118","5,859,003","32,202","5,226,513","33,894","5,511,771"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,양천구,"22,081","3,506,959","20,838","3,326,445","20,676","3,314,281","24,716","3,907,757","20,890","3,334,979","23,207","3,726,430","23,640","3,731,108","21,582","3,458,598","23,544","3,734,904","25,772","4,113,208","20,872","3,347,261","20,757","3,311,800"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,영등포구,"26,004","3,978,830","26,927","4,047,505","24,588","3,744,787","25,125","3,848,380","25,808","3,897,177","24,068","3,648,796","27,064","4,050,744","24,654","3,713,884","25,231","3,865,598","27,584","4,135,060","24,386","3,643,629","22,972","3,514,759"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,용산구,"12,560","1,785,976","11,294","1,647,564","11,254","1,570,288","11,246","1,511,658","12,422","1,754,470","12,676","1,772,436","11,994","1,670,951","12,552","1,713,712","11,503","1,640,059","12,460","1,700,785","11,258","1,565,896","12,494","1,737,611"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,은평구,"23,612","2,711,120","21,642","2,400,315","20,654","2,297,650","21,260","2,406,816","19,796","2,167,373","20,778","2,282,548","20,160","2,271,214","20,558","2,321,051","20,086","2,221,961","22,284","2,423,772","17,970","2,015,309","20,028","2,257,800"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,종로구,"61,487","9,040,140","49,723","7,089,801","45,267","6,686,463","49,158","7,119,445","41,090","5,872,208","39,184","5,629,976","58,060","8,649,249","50,808","7,682,843","45,474","6,918,758","48,400","7,235,719","41,840","6,209,888","41,083","6,135,462"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,중구,"19,812","3,203,092","20,278","3,267,325","19,969","3,233,921","20,026","3,235,268","18,941","3,075,804","19,012","3,064,947","20,500","3,304,111","21,764","3,520,958","19,064","3,081,990","21,682","3,511,405","19,330","3,137,099","17,908","2,885,552"
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",서울,중랑구,"12,163","1,920,762","12,992","2,053,948","13,382","2,122,658","12,123","1,907,947","12,850","2,037,435","13,254","2,078,206","13,058","2,062,258","13,177","2,057,823","13,634","2,149,892","13,626","2,130,965","12,954","2,041,694","13,172","2,076,264"
