ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
C05C,CAPILLARY STABILIZING AGENTS,서울,강남구,"176,434","49,179,142","197,072","55,067,285","194,158","54,365,637","195,261","55,145,186","203,490","57,421,947","196,412","54,876,598","189,372","52,255,167","196,799","55,076,170","182,737","50,976,136","196,766","55,050,085","172,701","48,169,654","186,192","52,350,334"
C05C,CAPILLARY STABILIZING AGENTS,서울,강동구,"226,268","50,366,075","228,132","49,834,274","220,286","49,659,172","235,362","52,368,744","232,080","51,083,486","221,446","49,644,306","223,330","49,402,218","228,561","50,134,081","217,425","47,857,134","233,050","50,377,310","209,770","46,335,231","216,999","48,095,383"
C05C,CAPILLARY STABILIZING AGENTS,서울,강북구,"66,871","18,384,688","64,204","17,703,847","66,999","18,405,530","72,938","20,121,367","74,416","20,150,932","71,556","19,775,774","67,060","18,496,344","73,840","20,327,623","67,410","18,551,949","69,484","18,477,052","59,242","15,746,942","57,290","15,705,498"
C05C,CAPILLARY STABILIZING AGENTS,서울,강서구,"100,808","26,084,465","94,149","24,491,120","94,934","24,790,213","92,442","24,585,663","99,732","26,376,344","93,133","24,513,886","91,848","24,028,477","84,748","22,413,142","85,531","22,210,620","91,616","23,240,896","77,718","20,042,558","80,179","20,964,914"
C05C,CAPILLARY STABILIZING AGENTS,서울,관악구,"77,020","18,670,320","74,159","18,262,458","91,646","22,041,342","96,550","23,458,448","100,893","24,793,100","93,002","22,390,393","91,173","21,568,676","84,397","20,400,260","87,211","20,524,317","92,438","21,671,840","83,609","19,819,892","79,714","18,856,359"
C05C,CAPILLARY STABILIZING AGENTS,서울,광진구,"105,860","31,044,870","116,050","35,212,560","124,001","38,175,960","124,955","38,541,181","123,577","37,103,028","120,209","36,084,614","112,052","33,443,526","116,964","34,164,343","122,441","36,264,548","117,203","34,238,715","114,554","33,183,264","121,586","34,660,634"
C05C,CAPILLARY STABILIZING AGENTS,서울,구로구,"58,249","14,559,138","57,767","14,583,740","54,933","13,762,939","61,670","15,090,465","71,725","17,710,368","59,469","14,863,955","61,488","15,231,084","60,988","15,102,056","59,729","14,607,872","59,469","14,336,091","53,212","13,307,735","55,569","13,616,438"
C05C,CAPILLARY STABILIZING AGENTS,서울,금천구,"49,742","11,355,087","48,566","10,896,965","47,950","10,596,579","48,930","11,029,788","52,442","11,774,684","49,710","11,212,923","46,022","10,336,173","45,167","10,121,097","46,816","10,228,793","49,990","10,805,185","54,015","11,482,673","53,096","11,481,205"
C05C,CAPILLARY STABILIZING AGENTS,서울,노원구,"195,380","51,508,133","200,441","52,631,976","187,044","48,978,824","199,718","51,465,905","212,415","54,809,415","204,430","54,091,974","185,213","49,254,430","200,915","52,952,290","184,484","48,405,145","181,892","48,695,270","175,233","46,483,675","172,687","45,238,402"
C05C,CAPILLARY STABILIZING AGENTS,서울,도봉구,"60,773","16,717,392","49,364","14,448,235","49,717","14,529,231","48,437","14,304,603","49,880","15,017,838","47,357","14,235,281","46,589","14,068,208","50,134","14,759,083","47,707","14,450,075","50,350","15,007,424","41,487","12,350,065","44,648","13,318,464"
