ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,강남구,"190,266","41,186,735","219,303","47,268,554","227,019","49,504,930","216,751","46,377,015","227,446","49,589,135","203,216","43,882,040","201,138","43,058,661","212,978","46,379,999","223,106","48,538,247","238,200","51,977,847","208,031","44,710,206","188,758","40,343,997"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,강동구,"202,560","31,772,170","198,374","30,727,121","197,962","32,485,287","199,885","32,852,585","205,090","32,337,143","196,521","31,661,898","196,730","32,312,858","209,725","33,438,219","186,555","31,207,770","215,742","35,245,207","195,242","31,953,964","192,011","35,159,747"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,강북구,"38,872","8,743,381","36,067","8,041,219","34,752","7,581,497","31,621","7,195,177","36,402","8,111,223","32,463","7,405,214","35,247","7,937,337","36,595","8,071,271","33,154","7,267,229","37,319","8,300,375","34,510","7,430,665","34,904","7,705,482"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,강서구,"41,050","8,412,752","38,232","7,842,722","40,028","7,538,390","40,012","8,212,485","37,465","7,536,996","40,151","7,980,391","36,013","7,453,654","43,485","8,188,575","38,505","7,510,034","40,719","8,061,426","36,698","7,124,865","39,225","7,801,411"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,관악구,"42,516","9,179,477","42,770","9,185,957","41,551","9,313,229","40,791","8,604,387","42,630","9,532,055","42,028","9,039,034","38,226","8,071,007","43,163","9,307,220","44,062","9,330,016","40,882","8,939,116","38,215","8,309,021","43,156","9,187,904"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,광진구,"93,719","22,132,815","97,472","22,595,331","81,096","19,521,258","90,434","21,820,800","91,506","21,434,796","89,547","21,453,479","81,287","19,638,201","97,808","22,982,995","88,414","20,919,203","97,928","23,145,097","79,808","19,245,824","89,260","21,110,593"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,구로구,"285,035","61,910,887","305,454","65,865,748","263,418","55,567,980","279,461","59,867,044","290,972","62,471,817","280,499","58,655,208","300,518","64,736,908","315,923","68,521,175","262,724","56,256,300","310,622","66,025,298","247,846","53,096,721","240,898","51,255,579"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,금천구,"14,636","3,100,687","13,727","2,657,079","13,691","2,929,657","13,198","2,706,065","14,705","2,884,641","14,556","2,945,940","11,952","2,543,342","13,600","2,809,924","11,433","2,346,541","13,520","2,899,068","13,226","2,785,643","13,842","2,783,668"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,노원구,"90,508","23,563,374","83,032","21,799,339","82,649","21,493,161","85,630","22,361,298","86,076","22,842,446","86,518","22,632,491","84,284","21,851,561","83,212","21,643,970","88,583","23,358,203","93,354","24,417,318","80,749","20,879,835","88,762","23,496,275"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,도봉구,"54,382","12,015,816","67,658","14,168,015","60,067","13,135,123","61,078","13,382,123","57,265","12,313,124","62,425","13,646,066","63,788","14,074,334","63,027","13,900,597","55,580","12,338,772","68,120","14,805,152","56,406","13,170,771","58,460","13,181,038"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,동대문구,"90,352","19,217,697","94,975","19,724,484","84,997","18,510,175","94,486","21,580,255","90,723","19,440,410","84,122","17,508,131","92,296","19,433,144","94,878","20,598,923","92,202","18,856,824","91,274","18,785,817","89,231","19,018,184","89,471","18,852,984"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,동작구,"120,098","22,491,834","125,318","23,964,085","117,169","21,864,932","115,809","21,448,021","123,285","22,900,566","119,696","22,230,375","114,221","21,563,855","127,623","23,813,611","118,700","22,069,792","127,008","23,688,274","105,882","19,574,434","123,577","23,219,957"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,마포구,"35,951","7,215,923","35,986","7,565,214","34,596","6,922,283","36,970","7,293,317","32,441","6,479,448","36,594","7,217,163","33,057","6,650,003","37,620","7,684,114","36,284","7,059,596","40,870","7,893,059","32,914","6,403,344","35,965","6,965,090"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,서대문구,"294,333","47,597,997","294,985","46,234,672","281,506","44,617,783","288,796","45,803,176","287,764","45,070,178","285,298","45,414,061","277,392","44,950,971","277,236","45,239,311","281,746","45,468,741","291,021","45,761,221","285,913","46,606,096","263,350","43,081,522"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,서초구,"135,586","30,667,989","133,430","30,244,469","136,998","31,403,069","134,318","30,386,043","139,470","32,414,658","136,080","30,510,022","128,143","29,098,183","128,920","29,664,460","129,628","29,911,155","143,532","33,131,222","128,368","30,047,272","130,916","30,200,644"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,성동구,"46,899","9,140,165","38,198","7,747,845","41,639","8,267,203","40,870","8,210,311","40,074","7,718,377","40,939","8,024,059","38,461","7,962,824","40,422","7,621,411","38,448","7,777,495","44,324","8,803,812","40,199","7,567,065","38,869","7,502,259"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,성북구,"146,978","30,359,555","156,548","33,281,401","149,980","31,554,041","142,866","30,114,512","152,372","31,998,137","134,694","28,340,843","146,126","30,864,784","156,648","33,978,632","144,770","30,873,127","159,667","33,981,253","135,994","29,768,967","150,693","31,559,168"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,송파구,"375,289","93,960,013","394,088","98,840,982","393,897","98,255,017","411,815","102,495,483","398,759","100,847,534","399,997","99,159,880","371,516","92,264,241","385,072","96,201,783","385,894","95,724,477","431,476","105,804,317","358,527","90,689,496","408,659","101,881,571"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,양천구,"123,997","20,098,593","123,254","20,841,871","115,902","19,667,311","123,967","20,578,600","88,028","16,718,525","85,474","16,206,961","83,318","16,330,336","177,692","25,353,566","138,330","21,590,636","131,823","21,274,504","122,019","20,118,299","109,662","18,154,844"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,영등포구,"114,626","20,482,335","114,570","20,722,971","112,339","19,894,933","102,919","18,459,481","119,584","21,271,763","113,842","20,236,941","105,299","18,787,688","118,170","20,840,247","117,785","20,894,516","121,137","21,117,925","110,063","19,718,078","116,509","20,944,974"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,용산구,"31,127","7,636,686","31,217","7,585,297","30,110","7,294,790","30,035","6,931,945","29,089","6,961,719","34,457","8,412,469","30,076","7,124,301","29,570","7,100,288","31,910","8,301,305","30,337","7,471,196","30,123","7,153,894","31,050","7,533,650"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,은평구,"64,660","12,393,499","60,981","12,445,751","57,389","11,457,420","63,594","13,093,295","62,122","12,679,445","62,338","12,443,007","63,566","12,989,675","58,688","12,226,737","59,831","12,128,814","66,382","13,670,489","60,192","12,190,073","62,609","12,586,030"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,종로구,"351,770","56,706,331","320,958","54,314,656","333,669","55,931,702","329,434","55,120,489","285,024","46,431,711","274,437","44,730,048","357,544","59,926,988","318,713","54,538,662","300,240","52,614,311","352,680","61,860,378","302,882","52,668,193","322,025","55,317,751"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,중구,"49,709","11,507,115","56,435","13,017,961","48,869","11,527,015","48,117","11,385,347","57,514","13,153,074","53,455","12,605,371","50,103","11,788,505","62,986","14,477,077","46,768","10,915,240","49,529","11,717,126","54,230","12,812,042","52,410","12,174,508"
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,서울,중랑구,"40,853","9,107,007","41,777","9,388,829","41,486","9,266,674","40,180","8,859,712","45,684","10,174,474","39,640","9,297,247","41,421","8,861,040","40,684","9,058,779","41,054","10,008,319","43,373","9,649,336","40,226","9,393,568","39,848","9,050,427"
