ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
C09D,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",서울,강남구,"1,145,730","863,171,535","1,129,812","846,535,013","1,145,338","855,833,573","1,163,108","866,680,544","1,185,825","880,613,307","1,092,038","817,393,991","1,085,496","812,009,592","1,128,422","842,460,099","1,166,674","867,474,984","1,247,443","922,646,274","1,103,070","817,772,676","1,051,013","788,334,560"
C09D,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",서울,강동구,"992,367","710,593,259","968,129","696,207,447","951,525","679,280,642","947,878","675,083,950","987,892","706,919,880","957,798","683,466,557","954,482","680,188,595","953,983","677,398,281","949,210","676,000,534","995,503","703,651,939","927,022","660,286,312","901,721","642,789,067"
C09D,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",서울,강북구,"619,600","444,126,521","584,449","418,061,173","582,242","414,996,677","589,089","419,004,020","609,486","433,282,795","588,255","418,983,477","591,798","420,984,422","596,900","424,070,896","590,494","418,512,549","608,691","431,906,568","564,827","398,625,527","566,678","400,184,332"
C09D,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",서울,강서구,"802,370","578,453,054","778,594","561,585,137","763,488","548,065,585","769,434","552,532,597","793,347","571,415,304","770,724","553,709,052","764,668","547,481,994","798,104","572,564,877","768,383","550,372,011","795,468","567,492,897","753,429","537,643,551","747,648","537,112,937"
C09D,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",서울,관악구,"669,131","482,935,125","636,620","459,964,486","627,672","451,691,043","630,179","454,678,392","656,743","474,977,578","625,827","450,102,657","627,890","452,735,616","641,278","461,266,637","627,956","451,532,281","649,162","465,339,197","607,670","435,522,552","603,221","432,372,697"
C09D,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",서울,광진구,"677,310","498,071,105","635,834","468,447,029","628,744","463,420,563","637,194","468,150,201","676,056","499,764,747","651,168","478,086,266","633,005","463,418,942","657,046","482,691,747","644,941","473,315,369","681,217","497,270,395","612,871","449,404,119","624,960","457,529,049"
C09D,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",서울,구로구,"913,341","665,898,755","886,073","644,875,843","866,286","630,559,125","859,074","625,526,207","901,175","657,193,766","870,206","629,311,407","886,270","642,426,306","896,829","652,493,289","865,242","627,719,720","918,482","665,084,028","831,426","600,680,306","823,894","601,393,095"
C09D,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",서울,금천구,"419,006","296,695,498","392,054","276,940,866","384,572","271,381,973","388,540","273,370,947","395,001","279,363,685","388,544","272,074,594","383,734","269,113,913","394,343","275,138,356","385,082","268,570,152","390,704","271,549,385","374,796","261,546,727","369,924","258,776,558"
C09D,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",서울,노원구,"930,943","685,341,214","913,715","668,938,184","917,193","672,601,872","907,699","665,898,145","922,876","674,286,761","923,949","675,682,912","910,516","664,588,215","903,812","660,988,602","906,571","662,003,407","972,094","707,459,661","859,444","623,839,559","909,542","664,885,983"
C09D,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",서울,도봉구,"574,565","423,268,456","537,216","395,446,881","536,547","393,609,986","532,224","390,191,565","557,132","407,117,589","523,682","383,403,752","531,343","388,623,496","544,190","396,896,464","525,415","381,655,991","547,245","397,560,811","516,024","375,982,447","509,476","369,633,654"
C09D,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",서울,동대문구,"889,912","655,972,261","901,878","670,845,536","904,472","669,671,903","885,195","652,008,232","851,933","622,587,098","837,678","615,662,632","898,196","660,352,167","888,847","655,271,621","888,134","652,949,444","925,710","680,455,295","813,388","592,688,392","837,690","614,689,873"
