ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,강남구,"2,456,291","1,463,071,322","2,531,643","1,522,888,111","2,485,031","1,492,577,842","2,522,792","1,518,065,280","2,634,951","1,590,439,152","2,382,917","1,436,060,923","2,353,014","1,412,912,271","2,499,016","1,506,505,104","2,494,612","1,524,588,687","2,730,522","1,679,587,806","2,372,570","1,468,303,541","2,288,042","1,408,193,067"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,강동구,"2,071,770","1,087,277,708","1,998,917","1,065,640,723","1,938,648","1,032,761,857","1,949,298","1,034,141,058","2,046,247","1,082,798,010","1,919,433","1,027,532,635","1,934,929","1,021,955,827","1,924,601","1,014,964,278","1,889,702","1,015,904,332","1,997,277","1,063,514,822","1,831,720","991,854,928","1,786,897","994,012,677"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,강북구,"900,806","488,431,198","843,677","456,302,608","838,671","456,444,193","832,382","453,387,529","867,886","474,736,463","827,968","453,565,087","840,534","464,455,260","825,606","456,651,918","828,972","460,149,645","855,164","480,515,595","786,106","444,100,000","802,712","454,915,005"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,강서구,"1,117,493","621,980,156","1,085,766","604,676,941","1,069,566","597,212,913","1,060,866","590,319,821","1,094,356","611,104,710","1,050,292","591,811,217","1,046,635","589,857,397","1,075,337","606,486,276","1,065,400","603,072,538","1,090,354","621,714,541","997,011","575,209,127","1,006,207","581,386,713"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,관악구,"957,915","520,390,485","908,538","495,739,983","888,840","485,631,365","891,316","485,739,626","916,861","500,176,156","893,307","486,755,584","875,224","477,418,979","888,204","488,855,456","884,866","484,764,807","920,055","509,044,849","826,068","464,556,392","851,940","482,031,389"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,광진구,"1,162,816","708,494,012","1,128,294","689,488,704","1,098,399","674,771,454","1,123,758","688,383,962","1,165,522","715,153,705","1,128,068","690,141,668","1,087,891","667,056,281","1,140,373","699,393,166","1,101,924","679,634,079","1,170,764","720,079,561","1,028,505","642,608,882","1,078,169","669,899,827"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,구로구,"1,443,445","824,570,793","1,414,358","808,482,889","1,355,036","779,860,503","1,355,799","779,547,230","1,389,651","801,977,636","1,369,570","792,505,233","1,379,484","796,105,128","1,409,871","820,236,559","1,325,762","773,068,499","1,423,772","830,709,551","1,246,144","736,171,025","1,267,222","755,476,598"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,금천구,"482,306","271,263,732","452,028","254,385,023","444,618","251,287,845","445,436","251,188,420","453,147","258,286,898","443,296","252,530,095","436,068","249,572,017","450,510","258,709,347","434,526","251,274,980","440,846","255,321,789","425,639","248,839,158","420,320","247,485,180"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,노원구,"1,849,486","1,056,186,459","1,802,336","1,029,660,973","1,766,593","1,012,117,891","1,756,794","1,005,182,973","1,795,460","1,033,248,117","1,751,628","1,004,930,094","1,708,769","988,009,688","1,722,000","1,000,127,863","1,721,075","1,000,480,527","1,841,054","1,075,329,976","1,621,842","964,063,650","1,730,550","1,033,479,749"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,도봉구,"945,793","538,195,876","893,649","510,682,105","885,654","504,411,500","902,718","517,968,582","916,560","526,341,157","872,253","499,889,569","913,189","525,074,221","889,539","513,298,502","877,304","509,428,450","922,034","536,283,636","857,977","501,204,132","854,246","504,695,083"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,동대문구,"1,832,851","1,056,741,762","1,803,407","1,041,358,277","1,811,525","1,049,067,747","1,805,550","1,042,059,999","1,788,742","1,034,855,218","1,745,985","1,008,098,551","1,814,182","1,058,582,095","1,753,358","1,016,762,768","1,764,497","1,031,532,018","1,865,321","1,086,339,817","1,612,360","957,502,096","1,673,477","995,588,552"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,동작구,"1,483,507","873,512,551","1,495,796","884,943,227","1,444,792","853,967,151","1,460,798","866,852,736","1,463,972","867,760,402","1,492,795","882,718,620","1,391,906","825,973,175","1,445,229","861,334,845","1,414,352","843,298,623","1,527,731","922,904,724","1,326,477","801,048,482","1,396,512","851,507,232"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,마포구,"910,724","513,187,009","872,616","493,971,541","870,136","492,538,816","867,524","490,514,693","891,040","504,148,734","847,788","479,621,581","848,038","480,177,207","875,382","498,929,129","867,588","494,282,309","905,884","521,279,641","832,326","481,765,127","851,896","491,269,417"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,서대문구,"1,781,292","1,103,547,297","1,753,456","1,081,933,559","1,762,728","1,086,858,263","1,738,690","1,078,644,891","1,705,722","1,051,776,020","1,725,505","1,077,304,410","1,661,469","1,034,412,313","1,707,706","1,073,700,774","1,707,337","1,077,982,151","1,839,393","1,167,650,265","1,567,067","1,000,870,065","1,612,525","1,040,039,376"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,서초구,"1,649,810","937,327,800","1,638,132","942,859,109","1,579,539","907,442,731","1,557,852","896,514,207","1,614,968","931,106,084","1,572,109","903,776,208","1,490,774","863,392,927","1,570,376","912,640,590","1,538,042","891,758,855","1,672,676","981,345,214","1,431,094","850,262,662","1,429,142","844,901,889"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,성동구,"891,219","504,149,790","843,608","479,712,136","843,334","478,997,467","820,009","470,716,323","861,375","492,286,031","835,456","477,510,468","835,640","480,848,425","843,023","487,674,936","810,299","469,124,973","879,490","511,933,904","790,816","465,240,269","791,016","465,738,452"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,성북구,"1,390,190","787,228,215","1,349,802","765,233,446","1,336,108","758,207,846","1,320,763","753,114,529","1,384,148","787,366,048","1,318,453","754,479,916","1,348,883","774,528,746","1,369,826","784,412,736","1,327,484","765,807,243","1,418,631","820,484,511","1,268,054","741,011,862","1,310,318","772,012,475"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,송파구,"2,700,910","1,564,817,278","2,692,611","1,574,556,743","2,631,812","1,538,282,448","2,675,052","1,567,640,854","2,683,915","1,573,725,008","2,623,946","1,535,535,435","2,576,902","1,502,417,546","2,645,233","1,550,847,020","2,561,987","1,510,946,206","2,779,463","1,637,577,024","2,371,780","1,410,062,000","2,566,426","1,530,647,022"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,양천구,"1,339,135","756,293,468","1,256,410","713,991,064","1,264,809","718,263,814","1,256,514","714,770,396","1,203,803","684,923,028","1,205,576","693,584,978","1,179,459","673,715,604","1,335,359","759,485,183","1,312,667","752,973,465","1,345,217","773,212,680","1,183,909","689,444,283","1,213,951","707,248,177"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,영등포구,"1,667,215","945,446,743","1,635,032","929,500,894","1,575,221","893,842,051","1,570,862","894,025,319","1,613,573","919,637,738","1,574,252","894,465,400","1,543,571","880,139,828","1,553,542","890,679,926","1,554,501","887,971,653","1,642,214","941,507,227","1,456,670","850,390,533","1,505,650","881,113,178"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,용산구,"619,490","373,876,408","596,540","359,186,569","585,520","349,340,627","580,764","349,623,539","601,891","361,304,440","590,561","355,854,453","593,425","359,068,559","592,162","358,008,637","570,174","347,054,872","591,286","359,168,132","559,963","345,610,569","572,710","356,666,585"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,은평구,"1,236,159","674,972,371","1,189,130","652,082,317","1,159,396","635,389,102","1,181,088","648,312,197","1,185,194","653,159,679","1,182,678","651,796,693","1,167,824","647,162,030","1,171,618","646,371,825","1,170,005","656,479,916","1,233,724","690,547,650","1,103,955","625,159,111","1,153,439","655,442,963"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,종로구,"2,271,549","1,349,713,593","2,098,100","1,239,855,925","2,191,939","1,303,453,131","2,115,700","1,255,436,652","2,079,671","1,232,303,232","2,025,267","1,204,917,416","2,151,697","1,293,565,780","2,072,705","1,251,549,176","2,048,257","1,239,807,300","2,230,239","1,342,607,026","1,891,127","1,165,963,640","1,962,883","1,209,108,173"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,중구,"759,335","435,488,096","753,060","435,276,085","700,374","404,732,064","730,673","421,252,065","730,777","424,443,207","738,111","428,286,513","711,669","414,579,658","741,054","430,802,120","703,232","411,478,005","750,066","440,573,612","702,022","414,403,007","691,835","412,025,353"
C10A,"LIPID MODIFYING AGENTS, PLAIN",서울,중랑구,"1,085,112","613,471,920","1,021,484","575,595,492","1,030,008","580,099,802","1,014,663","574,375,523","1,054,642","597,258,888","1,001,875","569,759,017","1,009,353","574,478,919","1,026,711","585,406,369","1,009,332","580,433,145","1,040,410","597,898,230","972,086","565,338,543","968,734","566,644,683"
