ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",서울,강남구,"400,827","398,211,784","402,286","399,138,773","395,292","387,593,305","391,528","384,011,102","414,518","406,179,644","355,814","344,028,075","287,418","272,004,650","306,814","288,003,100","307,575","323,688,696","350,848","369,349,418","293,638","307,639,339","271,080","282,525,998"
C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",서울,강동구,"300,652","266,368,715","280,004","249,684,642","290,730","264,706,266","278,836","250,590,604","292,376","266,976,039","271,398","245,924,001","240,858","215,224,887","243,218","218,107,599","223,048","221,398,184","246,060","240,489,796","219,479","218,866,667","211,363","209,214,739"
C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",서울,강북구,"115,123","103,041,843","107,651","96,690,993","102,846","91,911,745","102,219","91,334,420","105,165","93,317,736","99,906","89,055,362","91,332","79,028,453","87,220","75,263,182","85,001","77,093,217","88,884","78,768,872","77,984","70,312,121","78,886","70,086,421"
C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",서울,강서구,"152,824","141,852,664","137,978","128,001,640","135,916","125,898,598","131,672","123,256,589","139,593","128,567,297","132,552","122,374,744","100,652","90,178,325","103,303","92,821,146","99,150","96,985,858","101,506","100,466,030","92,753","89,706,202","93,022","91,277,241"
C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",서울,관악구,"98,633","94,198,163","91,062","86,828,750","91,362","86,335,457","88,690","84,443,335","88,668","84,120,653","84,981","79,736,810","66,438","60,776,481","74,135","68,209,781","64,044","63,654,301","68,009","68,217,499","57,773","56,834,194","60,550","60,527,665"
C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",서울,광진구,"173,994","171,580,346","158,429","155,650,228","156,766","155,039,385","156,330","153,779,515","170,295","167,673,762","158,552","154,603,220","132,362","129,007,862","141,835","137,705,223","143,644","149,224,514","144,935","150,359,652","116,860","122,106,867","124,464","128,741,981"
C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",서울,구로구,"298,552","287,470,238","296,894","286,787,766","289,571","278,466,642","273,719","264,573,621","287,811","276,140,925","268,084","255,619,997","223,636","211,714,113","228,606","215,771,691","215,429","216,716,269","237,332","238,526,846","199,008","199,988,861","199,611","199,589,069"
C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",서울,금천구,"38,426","36,489,450","38,842","37,608,507","38,420","36,400,547","33,708","31,707,341","33,907","31,769,068","34,714","32,763,010","23,384","21,237,461","24,434","22,465,302","22,347","22,169,566","22,980","23,059,634","20,918","20,567,324","22,976","22,750,380"
C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",서울,노원구,"380,455","357,725,204","382,499","360,358,468","356,381","335,842,077","359,883","335,266,906","366,204","342,613,160","351,000","328,005,040","282,044","251,325,965","272,626","243,187,975","274,237","258,483,306","300,538","281,141,740","244,334","228,845,117","253,786","238,072,926"
C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",서울,도봉구,"145,195","142,687,378","144,114","141,840,709","137,618","133,896,272","136,579","133,319,505","141,002","136,278,810","133,133","130,697,703","111,212","108,288,168","110,448","106,405,480","97,368","99,145,955","105,466","107,785,735","100,100","101,684,059","89,810","91,602,333"
C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",서울,동대문구,"210,180","206,746,547","212,620","210,272,524","193,992","190,257,019","196,184","190,368,980","194,116","188,781,031","169,942","163,751,915","130,330","120,050,820","134,540","123,428,445","128,100","127,492,880","149,920","149,328,890","125,262","125,497,105","136,990","139,680,613"
C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",서울,동작구,"204,395","197,783,692","222,486","217,668,773","211,120","206,519,666","210,982","205,854,757","215,028","209,389,944","196,454","189,772,072","165,803","158,195,859","169,408","160,879,984","174,183","178,549,925","177,490","182,344,050","136,182","138,697,271","148,878","151,465,233"
C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",서울,마포구,"114,704","106,816,800","108,581","101,849,052","108,700","101,184,445","103,670","96,568,967","104,824","96,570,026","93,734","85,456,940","83,484","74,352,657","82,510","73,085,487","77,898","74,183,060","83,289","79,713,613","68,782","65,615,229","70,554","68,205,946"
