ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
D01B,ANTIFUNGALS FOR SYSTEMIC USE,서울,강남구,"21,704","9,353,044","24,024","10,312,835","25,632","11,010,224","26,690","11,499,917","34,194","14,690,528","31,151","13,405,775","28,692","12,335,469","25,313","10,865,195","20,476","8,820,643","18,512","7,971,620","17,237","7,446,187","18,721","8,075,377"
D01B,ANTIFUNGALS FOR SYSTEMIC USE,서울,강동구,"37,235","12,220,480","36,443","11,307,892","37,294","12,371,781","42,755","14,284,328","47,974","15,414,243","45,368","15,635,317","39,690","13,648,854","36,577","11,964,327","34,104","10,832,474","31,464","10,297,049","28,531","9,473,224","31,674","9,177,932"
D01B,ANTIFUNGALS FOR SYSTEMIC USE,서울,강북구,"7,325","3,170,269","8,163","3,535,438","10,886","4,710,482","14,695","6,348,779","17,045","7,375,199","16,629","7,192,687","15,888","6,872,440","11,627","5,031,230","9,060","3,913,939","8,004","3,460,653","6,309","2,693,114","7,193","3,121,195"
D01B,ANTIFUNGALS FOR SYSTEMIC USE,서울,강서구,"8,730","3,746,853","10,850","4,697,445","11,867","5,139,643","13,232","5,724,690","14,739","6,389,149","15,429","6,684,455","12,818","5,551,849","11,324","4,904,585","7,954","3,445,244","8,120","3,514,476","7,330","3,178,366","7,880","3,410,850"
D01B,ANTIFUNGALS FOR SYSTEMIC USE,서울,관악구,"10,695","4,618,519","13,703","5,921,435","14,845","6,421,879","17,979","7,788,971","21,074","9,139,212","21,755","9,428,044","17,416","7,559,714","14,565","6,298,945","14,242","6,185,528","11,780","5,117,275","8,650","3,762,068","11,088","4,822,380"
D01B,ANTIFUNGALS FOR SYSTEMIC USE,서울,광진구,"15,391","6,681,059","15,367","6,663,304","17,683","7,679,091","21,781","9,454,067","27,298","11,830,611","25,327","10,977,329","24,558","10,620,721","19,612","8,512,822","15,442","6,700,066","14,148","6,131,654","12,696","5,520,595","13,244","5,746,307"
D01B,ANTIFUNGALS FOR SYSTEMIC USE,서울,구로구,"16,459","7,108,227","16,799","7,252,262","17,983","7,786,796","20,320","8,804,408","22,114","9,547,463","21,325","9,084,865","18,464","7,895,529","16,635","7,076,177","13,450","5,800,588","12,994","5,637,451","12,242","5,320,770","11,408","4,957,980"
D01B,ANTIFUNGALS FOR SYSTEMIC USE,서울,금천구,"7,659","3,319,793","7,135","3,093,495","8,932","3,873,455","10,403","4,495,900","12,162","5,236,902","10,432","4,515,835","9,648","4,189,254","8,766","3,800,750","5,884","2,554,394","5,395","2,336,008","5,158","2,233,140","4,998","2,169,750"
D01B,ANTIFUNGALS FOR SYSTEMIC USE,서울,노원구,"17,400","7,543,202","18,066","7,830,818","22,340","9,681,248","24,920","10,784,212","30,260","13,126,401","28,950","12,559,383","24,059","10,388,969","20,394","8,708,685","18,304","7,845,389","16,126","6,976,759","13,472","5,850,056","14,823","6,440,201"
D01B,ANTIFUNGALS FOR SYSTEMIC USE,서울,도봉구,"5,171","2,219,917","6,108","2,643,481","7,642","3,297,809","7,916","3,422,680","9,888","4,283,851","8,724","3,772,214","7,356","3,183,415","7,278","3,149,194","5,870","2,527,220","5,790","2,506,364","5,004","2,165,835","4,743","2,057,865"
D01B,ANTIFUNGALS FOR SYSTEMIC USE,서울,동대문구,"25,046","10,839,222","27,076","11,730,670","30,911","13,380,569","35,153","15,237,949","41,771","18,076,042","36,419","15,756,842","31,858","13,787,934","30,024","12,969,036","24,500","10,583,526","25,232","10,863,515","19,764","8,512,190","19,913","8,615,949"
