ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
D07A,"CORTICOSTEROIDS, PLAIN",서울,강남구,"28,340","87,895,055","28,847","89,040,440","28,218","83,172,101","181,875","84,603,214","282,976","108,817,491","307,471","96,534,168","565,810","96,725,042","638,027","95,061,065","771,776","82,752,552","870,545","84,792,446","814,742","81,743,975","921,129","82,013,882"
D07A,"CORTICOSTEROIDS, PLAIN",서울,강동구,"23,810","73,868,042","25,130","79,131,978","25,092","74,824,240","109,433","70,821,360","181,875","83,025,736","177,931","75,728,096","373,053","74,138,255","493,903","80,329,080","456,808","70,041,493","842,219","79,221,420","763,268","64,696,722","904,154","75,524,044"
D07A,"CORTICOSTEROIDS, PLAIN",서울,강북구,"10,983","35,311,006","10,298","33,361,248","11,178","34,588,871","141,296","38,071,680","192,879","49,361,867","176,548","43,678,010","242,943","42,553,234","282,498","41,738,486","276,606","33,115,954","287,510","32,054,410","277,295","30,097,629","323,694","34,157,637"
D07A,"CORTICOSTEROIDS, PLAIN",서울,강서구,"17,449","59,758,941","17,012","59,158,355","16,967","57,240,516","145,403","57,806,754","189,190","73,231,634","190,833","64,134,227","361,040","64,769,988","431,934","65,698,777","401,801","49,991,992","435,308","50,284,575","432,472","47,385,714","480,342","50,169,552"
D07A,"CORTICOSTEROIDS, PLAIN",서울,관악구,"12,121","36,393,515","12,530","37,791,230","12,553","37,105,553","129,731","38,434,206","174,261","49,423,357","173,196","45,329,470","284,203","43,293,780","329,461","44,925,460","304,724","35,631,768","310,719","34,173,958","296,590","32,356,918","307,859","30,995,970"
D07A,"CORTICOSTEROIDS, PLAIN",서울,광진구,"11,667","37,674,799","12,004","37,716,033","12,056","37,622,098","118,627","39,444,127","146,650","48,813,093","146,005","43,288,611","253,166","42,644,369","323,875","43,704,495","301,523","38,831,843","308,761","37,472,920","291,557","34,037,972","295,214","34,983,212"
D07A,"CORTICOSTEROIDS, PLAIN",서울,구로구,"14,354","44,122,177","14,659","44,842,279","15,236","44,252,543","118,386","44,679,686","161,410","57,830,049","163,626","52,889,286","264,975","49,367,656","351,309","52,382,358","395,197","42,776,337","419,824","42,149,204","412,125","40,224,396","439,466","42,547,055"
D07A,"CORTICOSTEROIDS, PLAIN",서울,금천구,"5,747","16,939,655","5,860","17,199,887","5,753","15,855,497","52,093","16,292,878","93,132","21,717,791","96,065","20,010,998","159,401","19,040,601","170,828","19,613,813","154,141","15,573,017","162,309","16,312,061","141,128","14,373,205","162,898","15,826,094"
D07A,"CORTICOSTEROIDS, PLAIN",서울,노원구,"19,434","61,806,895","19,301","61,796,858","19,538","61,778,831","114,686","63,941,275","166,390","81,557,340","159,771","71,369,034","365,519","65,935,867","521,288","74,723,424","504,156","61,946,509","555,344","62,277,362","544,366","56,817,691","580,727","59,172,675"
D07A,"CORTICOSTEROIDS, PLAIN",서울,도봉구,"10,926","27,146,461","11,533","27,412,058","11,725","26,771,925","62,815","26,769,206","86,953","33,475,576","85,715","32,215,498","235,642","29,788,875","262,365","30,094,490","238,074","26,235,881","260,996","25,373,033","245,598","23,012,272","271,743","24,741,260"
D07A,"CORTICOSTEROIDS, PLAIN",서울,동대문구,"14,079","40,832,487","14,628","41,916,014","14,867","41,362,592","117,365","41,492,090","143,669","49,868,522","128,595","44,334,931","360,744","46,578,636","421,847","48,331,505","388,145","42,821,827","421,581","45,055,841","381,064","40,688,319","437,697","39,851,005"
D07A,"CORTICOSTEROIDS, PLAIN",서울,동작구,"17,661","59,938,896","16,943","59,360,675","17,679","57,639,586","252,104","58,183,930","307,152","69,446,863","366,161","66,623,120","504,362","63,229,642","588,622","68,649,531","537,447","58,617,398","570,288","60,369,391","547,003","56,027,301","586,443","56,011,814"
D07A,"CORTICOSTEROIDS, PLAIN",서울,마포구,"12,010","38,510,002","12,394","38,744,568","12,284","36,804,019","127,489","39,260,275","212,292","50,561,505","187,813","45,327,030","317,647","42,580,172","416,462","44,548,647","375,125","37,592,542","392,111","39,230,099","353,207","34,383,105","374,265","36,183,123"
D07A,"CORTICOSTEROIDS, PLAIN",서울,서대문구,"14,403","50,663,145","14,245","48,488,679","14,204","47,044,560","109,691","50,115,043","140,351","58,647,032","137,498","52,930,538","201,405","50,763,600","244,162","50,675,009","242,540","45,648,954","249,747","43,354,710","249,869","38,848,418","385,032","41,755,417"
