ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",서울,강남구,"1,678","1,757,227","1,568","1,763,983","1,740","1,784,480","16,093","1,864,901","20,723","2,130,795","21,251","2,025,705","29,486","6,107,750","33,935","1,930,703","31,267","1,712,498","29,970","1,704,661","29,615","1,598,616","28,597","1,575,338"
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",서울,강동구,"1,405","1,474,831","1,399","1,439,217","1,527","1,602,264","15,427","1,906,272","22,216","2,210,771","20,770","1,897,413","28,695","1,745,315","28,048","1,506,522","23,672","1,320,772","25,880","1,316,469","22,196","1,149,986","24,156","1,314,196"
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",서울,강북구,"1,549","2,393,658","1,511","2,084,895","1,660","2,455,051","17,322","2,267,633","23,491","2,624,754","24,324","3,922,100","37,913","2,331,505","39,199","2,095,687","35,509","1,929,585","33,361","1,750,716","32,862","1,830,455","31,933","1,695,747"
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",서울,강서구,"1,828","2,195,878","1,825","2,270,337","2,090","2,533,343","16,596","2,641,066","22,285","3,347,977","21,387","2,861,549","36,126","2,346,246","40,656","2,368,018","35,156","2,028,965","36,512","2,123,802","34,099","1,895,299","34,689","1,910,065"
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",서울,관악구,"1,250","1,415,655","1,164","1,246,492","1,525","2,015,528","15,432","1,637,933","19,051","1,784,353","20,701","1,876,348","22,980","1,527,392","25,391","1,522,045","22,738","1,338,270","22,476","1,268,556","21,329","1,180,086","21,876","1,225,000"
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",서울,광진구,"1,482","1,755,924","1,581","1,551,637","1,601","1,537,730","14,687","1,567,592","21,032","2,066,269","19,905","1,791,676","30,292","1,887,947","29,069","1,654,063","25,244","1,410,738","24,917","1,403,216","25,100","1,357,951","23,448","1,257,433"
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",서울,구로구,"1,901","2,249,622","1,730","2,251,937","1,947","2,402,752","22,925","2,531,018","34,148","3,270,537","31,602","2,704,199","42,772","2,616,565","39,127","2,199,747","34,529","2,093,800","37,253","2,409,189","35,319","1,935,758","35,900","1,956,488"
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",서울,금천구,930,"1,452,404","1,010","1,539,128",986,"1,481,662","8,789","2,048,262","12,580","2,140,980","16,782","2,113,922","30,004","2,031,283","29,656","1,756,080","25,556","1,588,628","24,333","1,476,786","21,914","1,264,713","24,043","1,353,468"
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",서울,노원구,"2,077","2,156,874","2,820","2,420,735","2,395","2,420,410","18,436","2,577,632","23,806","2,992,318","21,485","3,286,669","36,671","2,456,277","36,915","2,202,306","36,721","2,097,353","35,644","2,031,515","33,423","1,920,685","37,155","2,061,996"
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",서울,도봉구,815,"1,077,790",769,"1,057,599",818,"1,051,728","8,489","1,239,872","10,943","1,397,431","13,014","1,409,372","20,151","1,290,891","23,646","1,295,839","21,224","1,098,662","19,347","979,238","20,683","1,004,430","22,848","1,123,457"
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",서울,동대문구,"3,174","3,690,034","3,599","4,168,336","4,049","4,326,269","46,804","4,820,721","64,857","5,675,675","56,153","5,690,043","49,664","4,396,081","65,141","3,812,524","62,351","3,579,497","64,966","3,790,687","57,380","3,326,851","53,945","3,113,929"
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",서울,동작구,"1,952","5,907,060","1,985","5,831,497","2,025","5,777,896","96,736","5,811,613","112,580","6,543,621","116,355","6,564,849","131,289","6,097,111","144,955","6,518,306","129,580","5,672,321","127,579","5,575,422","116,700","5,129,380","118,444","5,198,565"
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",서울,마포구,"1,345","1,414,998","1,427","1,417,207","1,661","1,643,297","14,015","1,806,745","18,403","2,000,612","15,661","1,751,809","24,413","1,563,587","25,568","1,532,011","21,171","1,272,948","19,974","1,169,240","19,166","1,126,959","20,556","1,171,783"
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",서울,서대문구,906,"935,005",950,"999,558","1,070","1,128,946","7,748","1,313,257","9,706","1,503,070","9,783","1,288,198","13,780","1,480,992","15,514","1,036,517","17,646","1,044,539","16,756","962,576","14,115","807,822","15,907","919,047"
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",서울,서초구,"1,204","1,738,681","1,058","1,523,320","1,255","1,748,620","17,239","1,875,863","21,936","2,131,603","22,351","2,166,232","30,388","1,945,990","30,826","1,838,853","25,730","1,475,233","28,428","1,609,322","26,262","1,480,869","26,486","1,453,254"
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",서울,성동구,627,"658,950",492,"531,381",486,"512,332","3,868","520,517","4,871","611,311","4,565","535,260","7,923","528,779","8,558","571,320","7,048","426,465","7,571","456,775","6,741","427,730","7,840","455,387"
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",서울,성북구,"1,763","1,861,631","1,843","2,036,734","1,883","1,932,752","11,703","1,970,680","18,973","2,302,658","16,652","2,024,096","24,910","2,724,575","25,873","2,015,533","25,198","1,815,451","32,992","2,053,331","28,607","1,729,490","25,638","1,478,618"
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",서울,송파구,"1,698","2,248,338","1,598","2,116,552","1,839","2,943,160","20,044","2,792,116","22,089","2,951,336","25,255","3,345,466","37,536","2,586,292","38,379","2,221,735","35,469","1,989,246","35,043","1,926,181","34,164","1,836,771","35,981","1,906,853"
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",서울,양천구,"1,475","1,930,206","1,784","1,927,092","1,781","1,990,413","20,131","1,912,837","25,524","2,362,384","25,030","2,110,145","38,669","2,388,718","39,331","2,083,238","31,080","1,630,667","31,922","1,629,998","30,904","1,521,515","32,087","1,577,701"
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",서울,영등포구,"1,338","1,990,607","1,332","1,911,122","1,419","2,133,783","22,119","2,218,830","30,630","2,789,401","27,296","2,418,100","35,370","2,443,257","38,459","2,164,651","33,325","1,860,470","32,797","1,860,975","32,018","1,749,939","31,433","1,703,983"
