ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
G02A,UTEROTONICS,서울,강남구,"4,592","2,702,674","4,853","3,044,583","5,330","3,543,550","6,002","4,372,881","5,436","3,263,555","5,856","3,362,869","5,732","3,718,288","5,329","2,890,469","5,490","3,596,742","5,796","3,107,541","5,968","3,160,571","5,692","3,419,805"
G02A,UTEROTONICS,서울,강동구,"1,880","691,488","2,123","496,032","2,218","682,836","2,369","430,524","2,229","520,333","2,219","446,968","2,209","488,647","1,892","471,918","2,094","567,321","2,725","556,718","2,268","849,201","2,435","1,116,699"
G02A,UTEROTONICS,서울,강북구,780,"504,142","1,083","487,531",919,"587,835","1,110","576,283","1,143","606,877","1,295","743,102","1,141","543,748","1,366","645,156","1,274","691,645","1,424","505,275","1,197","498,414","1,246","793,598"
G02A,UTEROTONICS,서울,강서구,"3,029","1,098,414","2,837","1,753,757","3,386","1,486,384","3,150","1,409,221","3,068","1,382,951","3,404","1,569,533","3,313","1,885,122","3,155","1,523,423","3,091","1,875,400","3,016","2,050,997","2,802","1,897,694","2,795","2,154,848"
G02A,UTEROTONICS,서울,관악구,"1,942","536,735","1,701","620,973","1,718","446,923","1,574","792,990","1,426","524,283","1,744","790,662","1,752","1,036,008","1,658","880,238","1,536","796,136","1,392","707,720","1,687","772,602","1,507","1,004,883"
G02A,UTEROTONICS,서울,광진구,"2,350","405,922","2,551","611,058","2,669","840,466","2,985","574,386","3,109","710,662","3,059","594,310","3,173","811,412","2,888","955,145","3,073","1,021,325","2,976","488,221","2,581","881,282","3,068","741,574"
G02A,UTEROTONICS,서울,구로구,"3,057","1,275,318","2,886","812,858","2,890","908,343","2,726","791,421","2,945","854,082","3,036","607,007","2,661","851,912","3,358","1,122,401","3,391","951,664","3,586","1,170,343","2,616","868,743","3,390","1,131,590"
G02A,UTEROTONICS,서울,금천구,702,"32,911",656,"32,770",906,"43,688",787,"39,790","1,045","52,570",849,"40,845","1,075","50,601",986,"48,320",951,"45,621",849,"50,798",799,"38,219","1,233","66,199"
G02A,UTEROTONICS,서울,노원구,"2,623","172,058","2,965","355,567","3,073","445,833","3,605","386,494","3,041","288,501","3,584","310,147","2,816","221,861","3,686","335,309","3,157","315,460","3,908","397,201","3,331","424,847","3,327","292,598"
G02A,UTEROTONICS,서울,도봉구,137,"76,137",120,"82,950",144,"87,369",144,"162,705",130,"129,615",122,"39,885",109,"215,076",103,"18,042",102,"71,616",157,"74,307",112,"193,075",112,"94,845"
G02A,UTEROTONICS,서울,동대문구,"1,270","421,875","1,240","595,530","1,351","597,356","1,474","780,209","1,602","680,566","1,624","511,491","1,536","641,430","1,438","529,130","1,622","591,577","1,885","688,318","1,490","476,675","1,822","723,571"
G02A,UTEROTONICS,서울,동작구,770,"464,556",786,"349,717",927,"246,137",737,"516,388","1,159","387,934",890,"373,367","1,036","393,385",652,"232,396",850,"381,625","1,075","672,557",722,"373,981",772,"385,538"
G02A,UTEROTONICS,서울,마포구,"1,433","351,669","1,774","268,817","1,934","334,203","1,866","316,428","1,896","430,679","1,915","308,909","1,756","360,940","1,814","395,179","2,132","435,940","2,010","445,038","1,845","415,883","1,816","416,107"
G02A,UTEROTONICS,서울,서대문구,"1,292","574,073","1,145","892,850","1,223","723,535","1,169","579,714","1,071","503,917","1,243","702,987","1,147","507,173","1,219","381,075","1,098","560,573","1,001","268,481",866,"180,920","1,160","797,843"
G02A,UTEROTONICS,서울,서초구,"2,685","846,489","3,145","1,328,619","3,327","883,995","2,955","1,190,690","2,431","895,351","2,430","522,731","2,677","827,337","2,515","996,490","2,723","759,968","2,526","784,941","2,929","760,511","3,007","1,406,272"
G02A,UTEROTONICS,서울,성동구,338,"127,392",179,"69,252",312,"90,277",364,"294,165",392,"426,229",273,"287,713",303,"206,384",411,"224,597",204,"262,216",463,"380,449",306,"197,669",280,"125,760"
G02A,UTEROTONICS,서울,성북구,872,"1,515,234",780,"672,834",530,"1,198,031",590,"1,069,058",720,"1,761,757",583,"1,076,352",621,"1,374,685",720,"909,447",533,"742,435",542,"1,448,055",619,"1,116,056",573,"1,047,692"
G02A,UTEROTONICS,서울,송파구,"2,174","3,031,413","2,470","4,791,676","3,044","5,029,144","2,894","5,099,208","2,562","4,347,234","2,486","4,006,548","2,715","3,990,423","2,990","5,939,517","2,972","4,814,487","2,575","5,200,842","2,593","4,143,069","2,803","4,208,219"
G02A,UTEROTONICS,서울,양천구,779,"511,690",700,"702,746",920,"399,055",873,"669,468",917,"593,840","1,039","871,011",696,"413,389",817,"509,946",965,"869,469",958,"1,215,532",898,"580,290",827,"643,391"
G02A,UTEROTONICS,서울,영등포구,"1,423","460,417","1,279","463,239","1,305","458,258","1,355","589,930","1,581","432,616","1,438","394,197","1,649","591,415","1,610","436,448","1,464","494,287","1,376","402,739","1,130","583,433","1,708","777,019"
G02A,UTEROTONICS,서울,용산구,38,"69,691",34,"2,937",46,"101,317",18,"2,172",21,651,83,"72,037",77,"161,413",45,"52,686",85,"106,486",59,"3,981",113,"70,135",65,"50,666"
G02A,UTEROTONICS,서울,은평구,"1,976","249,052","2,059","349,831","2,100","175,551","2,010","231,839","2,288","279,808","2,264","434,341","1,809","344,160","2,372","417,501","2,746","373,028","2,450","465,148","2,412","529,499","2,605","514,126"
