ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
G03C,ESTROGENS,서울,강남구,"152,518","36,978,028","160,319","38,887,404","158,994","38,508,199","142,210","34,496,909","175,074","41,257,616","142,222","34,202,659","143,786","35,659,317","145,065","37,208,076","142,151","36,574,239","178,593","41,523,979","168,184","37,867,876","169,791","38,750,647"
G03C,ESTROGENS,서울,강동구,"97,553","29,334,072","94,390","27,892,411","94,518","28,085,183","90,978","27,014,080","96,888","29,126,637","93,516","27,919,187","92,096","27,687,923","96,420","27,458,814","87,940","25,571,463","91,290","27,285,458","91,352","26,533,455","102,012","28,000,210"
G03C,ESTROGENS,서울,강북구,"43,619","12,114,952","41,020","11,254,039","41,826","11,579,977","39,266","11,052,108","43,027","11,842,259","41,024","11,175,246","40,146","11,423,906","39,957","11,080,679","40,893","11,437,265","39,578","11,329,928","39,123","10,820,330","37,582","10,574,974"
G03C,ESTROGENS,서울,강서구,"66,146","17,710,667","63,745","17,398,009","64,976","17,742,042","62,762","17,086,076","66,272","18,037,929","64,120","17,755,426","62,713","17,028,198","66,048","17,807,371","60,336","16,238,557","64,392","17,679,998","57,419","15,610,741","61,114","16,529,411"
G03C,ESTROGENS,서울,관악구,"47,732","13,512,004","46,911","13,305,237","45,808","13,006,373","46,221","13,433,602","48,105","13,798,711","46,237","13,185,544","45,953","13,587,522","46,867","13,385,933","44,404","12,596,018","47,729","13,915,267","41,827","11,728,113","42,814","12,474,323"
G03C,ESTROGENS,서울,광진구,"55,869","16,175,787","50,421","15,076,060","55,027","15,812,395","52,193","15,089,767","56,902","16,224,776","51,299","14,823,701","54,061","15,922,454","49,062","14,302,710","57,799","16,597,542","56,397","16,426,574","52,267","15,317,103","51,088","15,168,701"
G03C,ESTROGENS,서울,구로구,"58,829","15,537,507","58,484","15,330,183","59,642","15,416,166","57,593","15,055,996","55,037","14,501,834","57,046","15,020,307","55,355","14,595,593","59,028","15,508,928","52,977","13,694,860","57,247","15,086,242","56,213","14,602,597","54,705","14,182,577"
G03C,ESTROGENS,서울,금천구,"20,252","5,483,967","18,588","5,124,590","19,794","5,361,808","19,257","5,321,278","19,430","5,417,445","19,537","5,355,324","19,605","5,306,762","18,677","5,023,232","19,771","5,529,413","17,891","4,864,890","18,738","5,111,481","19,087","5,192,510"
G03C,ESTROGENS,서울,노원구,"95,518","24,271,046","90,418","22,968,965","83,599","21,907,362","89,657","23,170,973","96,693","24,176,373","83,882","21,394,800","86,407","22,382,151","93,551","23,382,655","86,421","22,100,508","90,471","22,947,814","84,356","21,163,828","85,213","21,211,699"
G03C,ESTROGENS,서울,도봉구,"33,774","8,875,668","31,374","8,298,294","31,915","8,277,412","31,118","7,903,634","33,406","8,524,218","29,008","7,683,603","30,736","8,015,556","32,407","8,227,038","30,512","8,058,178","34,577","8,793,407","29,573","7,864,431","30,562","7,803,151"
