ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
G03D,PROGESTOGENS,서울,강남구,"36,438","61,411,333","35,538","56,530,658","38,558","46,740,031","32,456","57,181,821","44,335","65,724,064","33,518","56,330,180","37,277","57,193,768","33,197","46,934,921",,,,,,,"28,193","57,674,223"
G03D,PROGESTOGENS,서울,강동구,"22,614","16,582,736","22,433","16,856,958","21,216","14,564,264","18,888","18,474,769","22,087","16,039,495","23,997","14,409,137","21,834","14,325,572","23,604","15,961,070",,,,,,,"18,713","14,088,981"
G03D,PROGESTOGENS,서울,강북구,"2,526","1,166,504","2,116","828,727","2,357","1,793,400","1,922","1,432,099","2,332","1,166,143","2,289","1,926,356","2,174","1,291,075","1,957","1,237,794",,,,,,,"2,110","1,079,453"
G03D,PROGESTOGENS,서울,강서구,"3,644","7,866,209","3,179","7,815,786","2,811","8,526,774","2,709","8,966,210","3,526","9,844,992","3,523","7,562,032","4,303","8,300,142","3,422","7,528,592",,,,,,,"3,945","5,296,585"
G03D,PROGESTOGENS,서울,관악구,"4,810","2,531,094","4,778","2,334,450","4,068","2,780,984","4,369","2,230,432","4,754","2,240,092","4,434","2,287,791","3,792","2,159,180","3,917","2,014,513",,,,,,,"4,241","2,158,831"
G03D,PROGESTOGENS,서울,광진구,"1,203","4,062,881","1,412","5,411,665","1,599","4,803,607","1,336","4,350,892","2,152","5,009,229","1,394","4,799,605","1,347","2,612,640","1,844","3,814,224",,,,,,,"2,254","7,950,897"
G03D,PROGESTOGENS,서울,구로구,"7,413","12,150,782","8,472","12,636,540","4,644","11,260,189","4,338","11,778,008","4,681","11,337,325","4,585","10,252,927","4,960","10,464,727","7,241","11,449,763",,,,,,,"5,111","9,942,967"
G03D,PROGESTOGENS,서울,금천구,716,"238,956",425,"157,520",363,"265,624",504,"176,656",451,"445,974",738,"920,611",561,"186,124",813,"271,210",,,,,,,681,"393,460"
G03D,PROGESTOGENS,서울,노원구,"7,339","14,064,841","6,961","13,695,462","5,505","13,067,508","6,889","10,974,109","7,671","10,604,510","6,871","9,414,685","5,712","9,602,448","6,059","10,052,662",,,,,,,"6,549","10,439,206"
G03D,PROGESTOGENS,서울,도봉구,"1,719","1,190,344","1,919","1,131,792","2,156","1,013,454","2,007","891,772","1,965","603,521","1,637","773,008","1,851","1,318,802","1,122","801,058",,,,,,,"1,684","857,058"
