ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
G03F,PROGESTOGENS AND ESTROGENS IN COMBINATION,서울,강남구,"2,974","25,080,685","3,132","26,531,155","3,044","26,582,798","2,742","24,584,988","2,967","26,785,053","2,970","25,758,654","2,794","24,342,644","2,782","25,095,540","2,902","26,183,939","3,049","27,533,329","2,747","23,396,401","3,026","25,512,696"
G03F,PROGESTOGENS AND ESTROGENS IN COMBINATION,서울,강동구,"2,240","19,424,383","2,115","17,826,491","1,980","15,948,516","2,267","19,498,782","2,267","18,557,097","2,026","17,373,542","2,188","18,675,460","1,980","16,519,141","2,134","17,920,514","2,314","19,077,789","2,054","16,040,123","2,183","17,692,847"
G03F,PROGESTOGENS AND ESTROGENS IN COMBINATION,서울,강북구,795,"7,080,779",744,"6,790,750",848,"7,540,084",740,"6,630,677",843,"7,608,156",782,"6,982,081",846,"7,566,937",743,"6,504,581",797,"7,158,773",788,"7,057,923",721,"6,330,099",757,"6,711,726"
G03F,PROGESTOGENS AND ESTROGENS IN COMBINATION,서울,강서구,"1,478","13,345,110","1,453","12,910,090","1,360","12,225,448","1,511","13,606,636","1,569","14,045,771","1,499","13,555,223","1,404","12,656,451","1,572","13,289,874","1,463","13,099,434","1,515","13,608,122","1,389","12,170,585","1,422","13,009,468"
G03F,PROGESTOGENS AND ESTROGENS IN COMBINATION,서울,관악구,"1,040","8,577,849",947,"7,828,803",873,"7,814,923","1,091","9,249,319",932,"8,299,252",905,"7,885,224",918,"8,094,122","1,000","7,865,190",829,"7,300,005","1,032","8,583,593",901,"7,507,519",944,"7,802,835"
G03F,PROGESTOGENS AND ESTROGENS IN COMBINATION,서울,광진구,"1,090","10,031,245",989,"8,637,062",974,"8,761,227","1,025","9,261,099","1,099","10,017,854",996,"9,291,810","1,059","9,632,758",955,"8,881,958","1,117","10,347,278","1,137","10,346,799","1,109","10,178,987",981,"8,982,219"
G03F,PROGESTOGENS AND ESTROGENS IN COMBINATION,서울,구로구,"1,099","9,878,399","1,098","9,574,413",900,"7,922,367","1,129","10,618,007","1,031","9,652,852",946,"8,923,273","1,021","9,256,904","1,063","10,056,815",927,"8,697,905",985,"9,314,166",970,"9,041,498",981,"8,791,468"
G03F,PROGESTOGENS AND ESTROGENS IN COMBINATION,서울,금천구,597,"5,763,144",570,"5,408,903",730,"5,782,980",589,"5,560,700",679,"6,567,366",559,"5,338,709",562,"5,341,078",749,"5,906,568",594,"5,423,918",560,"5,251,852",596,"5,426,016",575,"5,363,634"
G03F,PROGESTOGENS AND ESTROGENS IN COMBINATION,서울,노원구,"1,313","12,438,553","1,414","12,013,504","1,404","13,222,388","1,348","12,871,885","1,239","11,673,797","1,330","12,688,910","1,354","12,699,030","1,367","12,745,709","1,273","11,928,559","1,445","13,024,162","1,249","11,740,405","1,258","11,700,087"
G03F,PROGESTOGENS AND ESTROGENS IN COMBINATION,서울,도봉구,690,"5,983,797",674,"5,636,946",711,"6,105,859",732,"5,942,232",698,"5,951,861",801,"6,280,699",724,"5,904,949",685,"5,910,633",735,"5,622,476",665,"5,709,389",674,"5,727,708",657,"5,802,515"
G03F,PROGESTOGENS AND ESTROGENS IN COMBINATION,서울,동대문구,"1,013","9,293,809","1,088","9,794,355","1,103","10,115,472","1,149","10,154,909","1,170","10,580,681","1,141","10,370,332","1,181","10,733,473","1,062","9,516,571","1,092","9,997,440","1,139","10,163,266","1,058","9,615,858","1,053","9,501,894"
G03F,PROGESTOGENS AND ESTROGENS IN COMBINATION,서울,동작구,"1,385","12,068,927","1,106","10,714,549","1,300","12,103,906","1,258","11,678,048","1,194","11,572,170","1,305","11,233,737","1,166","11,144,687","1,224","11,332,324","1,337","10,953,311","1,221","11,220,370","1,359","11,730,579","1,227","10,871,006"
G03F,PROGESTOGENS AND ESTROGENS IN COMBINATION,서울,마포구,771,"5,001,744",629,"4,188,075",555,"4,462,700",578,"4,740,017",878,"4,975,609",799,"4,703,845",532,"4,793,483",648,"4,532,869",640,"4,864,512",708,"5,111,341",629,"4,967,057",717,"5,315,076"
