ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,강남구,"1,735","2,572,482","2,094","5,499,749","1,597","441,272","1,744","1,125,757","1,772","2,466,107","1,542","1,790,983","1,677","2,585,805","1,963","1,604,804","2,150","2,440,200","2,411","490,964","1,498","2,952,229","2,077","882,656"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,강동구,452,"161,178",406,"175,213",246,"175,693",253,"48,313",384,"59,378",440,"140,263",345,"105,682",339,"109,403",426,"211,650",363,"207,525",386,"90,545",314,"206,872"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,강북구,275,"167,850",310,"191,250",352,"181,980",366,"206,280",226,"183,645",304,"220,320",349,"114,345",348,"185,175",348,"241,268",268,"193,050",304,"124,068",308,"128,382"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,강서구,907,"1,511,710",947,"1,190,290","1,116","423,814","1,047","364,375","1,143","204,429","1,163","157,005","1,144","154,440","1,155","155,925","1,015","137,025","1,270","171,450","1,148","154,980","1,252","192,924"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,관악구,176,"99,955",154,"39,465",277,"127,598",187,"90,096",179,"49,983",221,"82,901",205,"86,781",253,"64,035",197,"78,092",304,"125,964",260,"79,565",280,"151,254"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,광진구,335,"192,827",352,"239,299",374,"321,990",386,"397,290",384,"419,254",413,"421,338",390,"225,719",265,"201,094",299,"268,881",308,"255,771",334,"143,752",415,"194,637"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,구로구,"1,887","1,612,005","1,952","1,880,238","1,831","1,199,997","1,838","1,023,622","2,014","1,469,325","2,018","1,217,203","2,039","1,069,256","2,126","1,170,126","2,004","990,527","2,186","1,198,094","2,148","1,286,212","2,146","1,090,773"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,금천구,112,"123,998",152,"84,015",105,"58,995",100,"69,525",134,"51,705",165,"59,625",187,"83,419",171,"82,845",182,"69,390",120,"53,550",153,"50,847",61,"30,879"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,노원구,"1,630","1,269,440","1,451","677,795","1,465","1,148,046","1,429","997,146","1,521","1,294,454","1,290","869,789","1,353","762,607","1,648","636,271","1,843","906,955","1,715","855,872","1,338","733,208","1,578","871,280"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,도봉구,153,"20,655",119,"16,065",95,"12,825",100,"13,500",140,"18,900",130,"17,550",80,"10,800",105,"14,175",60,"8,100",100,"13,500",70,"9,450",105,"14,175"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,동대문구,"1,307","207,768","1,225","339,561","1,225","402,354","1,210","428,364","1,225","606,356","1,286","330,819","1,452","820,506","1,435","738,780","1,372","830,108","1,222","944,026","1,443","614,220","1,630","858,937"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,동작구,488,"857,112",803,"854,905",841,"790,441",639,"721,033",707,"781,103",669,"655,092",616,"535,343",827,"647,957","1,019","859,307",970,"692,516",984,"2,575,413",682,"646,871"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,마포구,234,"756,410",341,"335,868",377,"944,049",335,"809,747",518,"764,052",368,"495,292",512,"347,052",435,"377,578",474,"416,868",371,"808,458",269,"163,344",367,"340,077"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,서대문구,"2,342","11,554,942","1,832","12,895,858","2,512","11,148,888","1,709","9,725,048","2,030","9,066,841","2,582","14,083,368","2,494","12,971,624","1,936","8,656,644","1,668","9,842,442","1,136","2,421,574","1,239","3,618,752","1,907","6,458,498"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,서초구,801,"843,530",705,"614,407",776,"815,574",583,"474,402",811,"601,859",748,"1,043,595",905,"794,144",691,"714,411",670,"274,257",515,"109,956",593,"117,795",563,"141,497"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,성동구,56,"67,320",57,"15,165",62,"15,840",48,"36,360",52,"89,190",48,"17,685",97,"113,940",63,"38,385",48,"17,685",51,"66,645",68,"20,502",45,"43,815"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,성북구,245,"51,750",227,"38,115",211,"32,220",143,"52,266",256,"86,808",270,"36,450",226,"34,245",244,"32,940",240,"80,215",346,"46,710",265,"35,775",350,"47,250"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,송파구,"1,110","819,568","1,251","1,034,684","1,072","911,580",907,"576,832","1,144","762,484","1,303","919,192","1,080","627,472","1,009","376,552","1,073","461,981","1,213","725,614","1,078","722,952","1,151","638,457"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,양천구,302,"548,821",162,"144,878",309,"178,071",320,"560,566",299,"287,884",276,"515,531",335,"1,375,395",287,"395,363",318,"802,886",304,"636,048",178,"349,404",224,"156,945"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,영등포구,200,"34,471",190,"25,584",218,"257,396",214,"72,731",209,"291,905",246,"147,856",292,"325,011",318,"365,397",369,"269,991",281,"100,776",188,"36,702",318,"90,346"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,용산구,158,"387,360",93,"117,135",74,"136,980",70,"196,200",110,"313,650",93,"266,535",50,"156,150",243,"865,710",73,"151,785",80,"160,200",108,"252,342",124,"333,756"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,은평구,335,"642,825",389,"764,317",326,"159,795",318,"222,446",421,"262,030",379,"298,536",432,"304,898",443,"186,002",427,"233,190",498,"255,193",335,"342,321",414,"321,573"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,종로구,759,"2,030,403",617,"1,105,278",511,"1,097,101",590,"1,365,428",553,"1,287,288",523,"616,454",898,"2,127,596",759,"1,722,559",825,"1,878,125",709,"2,135,620",764,"2,338,704",892,"2,308,084"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,중구,"2,956","1,218,429","2,608","1,392,249","3,027","1,233,055","2,786","1,063,997","2,922","809,303","2,982","917,132","2,932","852,012","3,103","931,781","3,239","1,127,719","3,585","1,300,526","2,678","1,408,529","2,655","1,343,934"
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,서울,중랑구,808,"901,527",728,"430,710",688,"483,121",602,"605,688",739,"808,379",715,"545,307",660,"568,021",782,"849,759",809,"523,115",687,"785,867",476,"239,874",606,"334,527"
