ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
G03X,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,서울,강남구,"54,028","44,812,662","54,638","45,028,141","52,181","43,037,986","53,288","43,439,734","52,215","42,047,043","52,379","43,793,020","51,660","42,324,319","53,225","43,526,403","54,569","45,490,243","57,071","46,442,076","50,917","42,117,203","55,522","45,424,755"
G03X,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,서울,강동구,"61,439","46,949,460","57,711","45,215,740","60,187","46,590,743","58,728","45,159,363","62,587","48,557,473","57,085","43,742,393","55,827","43,000,328","55,445","43,032,072","56,311","43,541,204","57,075","43,670,993","54,066","41,468,385","52,333","40,324,078"
G03X,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,서울,강북구,"22,947","17,348,000","21,320","15,833,520","20,720","15,380,454","21,807","16,333,320","20,593","15,797,674","19,932","14,892,711","20,006","14,990,449","19,923","15,122,012","19,563","14,466,957","18,082","13,534,673","15,970","12,119,325","15,931","11,943,114"
G03X,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,서울,강서구,"39,788","29,876,549","39,848","29,797,217","37,476","28,107,550","40,254","30,269,079","39,515","29,303,512","36,743","27,686,615","39,007","29,127,529","35,785","26,701,412","35,826","26,750,646","38,137","28,568,085","35,366","26,468,541","34,418","25,570,835"
G03X,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,서울,관악구,"13,137","10,105,195","13,000","9,986,701","11,501","8,800,684","12,404","9,394,498","13,268","10,263,171","13,742","10,523,226","13,469","10,239,849","12,973","10,005,659","13,128","9,979,362","13,315","10,153,468","12,306","9,333,487","11,320","8,567,437"
G03X,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,서울,광진구,"20,266","16,900,101","19,248","16,334,898","18,764","15,878,511","19,927","16,633,095","19,660","16,562,377","18,316","14,935,797","16,194","13,518,221","16,667","13,947,892","17,303","14,443,030","17,592","14,747,198","14,934","12,537,581","18,305","15,106,331"
G03X,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,서울,구로구,"25,446","20,886,886","22,297","18,272,508","23,133","19,392,004","23,589","18,729,652","24,401","19,798,070","21,272","17,030,133","24,014","20,123,933","24,094","19,619,804","22,447","18,040,739","24,913","20,096,296","19,428","15,496,122","23,383","18,664,015"
G03X,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,서울,금천구,"2,229","1,677,045","2,098","1,592,670","1,873","1,461,361","2,585","1,976,175","2,179","1,604,267","1,987","1,565,700","1,916","1,480,574","2,604","2,091,270","1,288","957,555","1,830","1,408,516","1,710","1,332,690","1,583","1,289,947"
G03X,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,서울,노원구,"46,240","35,834,843","47,908","36,857,089","44,021","33,040,947","43,428","33,196,048","42,709","32,826,420","43,647","33,236,072","41,978","31,793,010","40,464","30,912,228","42,558","32,623,200","41,333","31,366,463","35,212","26,785,700","42,093","32,018,916"
G03X,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,서울,도봉구,"13,269","9,530,651","14,882","10,987,619","13,176","9,607,075","13,888","10,082,857","13,673","9,929,355","13,390","9,800,062","13,800","9,974,877","15,174","11,161,350","13,911","10,270,530","14,005","10,287,210","13,135","9,702,195","13,485","9,926,040"
