ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
G04B,UROLOGICALS,서울,강남구,"264,719","205,471,266","266,749","204,586,179","249,396","190,620,075","240,661","182,106,974","227,282","172,532,059","223,047","165,239,505","220,185","160,073,124","225,929","161,231,930","231,513","165,474,796","227,171","164,516,844","217,263","157,693,972","198,273","142,336,423"
G04B,UROLOGICALS,서울,강동구,"255,754","185,711,903","245,307","172,269,510","233,429","160,207,657","229,095","160,115,855","224,874","148,328,109","213,680","140,178,429","213,632","137,168,214","206,780","135,546,688","206,232","131,974,643","225,818","146,896,846","191,873","125,721,230","206,778","136,373,821"
G04B,UROLOGICALS,서울,강북구,"106,031","59,419,006","101,921","55,284,020","96,042","51,354,326","94,411","50,557,245","102,285","51,493,444","97,281","50,495,659","98,027","50,251,241","97,504","51,435,957","95,733","49,934,768","95,041","49,395,499","90,713","47,949,510","98,662","48,312,805"
G04B,UROLOGICALS,서울,강서구,"103,919","66,995,635","98,560","62,308,187","98,830","61,421,401","91,894","56,101,266","88,560","54,049,829","88,128","53,580,923","83,066","50,767,688","83,240","50,048,085","83,858","50,891,571","89,321","53,196,342","81,498","48,718,100","81,726","48,866,448"
G04B,UROLOGICALS,서울,관악구,"63,382","45,783,935","57,787","41,051,526","58,943","42,972,697","55,793","37,907,227","56,616","37,009,388","50,168","33,689,435","50,539","33,722,507","51,205","35,250,417","46,674","32,115,026","53,446","37,168,459","46,472","32,866,242","44,791","31,245,225"
G04B,UROLOGICALS,서울,광진구,"88,960","66,741,668","82,628","59,609,698","76,789","56,989,109","75,696","54,480,256","75,702","55,472,566","78,166","56,649,533","73,654","53,591,813","69,936","49,313,167","73,992","54,912,465","82,538","59,966,667","72,780","53,433,124","75,150","54,076,619"
G04B,UROLOGICALS,서울,구로구,"103,288","69,940,270","102,763","78,032,046","87,999","62,492,445","86,661","61,059,081","86,570","67,594,879","85,141","62,211,880","87,626","67,777,411","82,448","62,284,216","83,199","61,906,133","85,471","64,236,016","78,619","60,416,556","80,437","61,157,746"
G04B,UROLOGICALS,서울,금천구,"30,053","19,746,517","27,932","19,054,813","25,863","16,770,218","25,476","16,772,254","25,167","16,448,296","24,816","15,956,553","23,375","14,750,571","25,604","16,622,261","24,737","16,106,946","25,026","16,206,805","22,110","14,321,820","23,974","15,119,395"
G04B,UROLOGICALS,서울,노원구,"199,231","170,510,547","188,092","163,679,210","173,664","143,472,175","173,181","147,557,493","168,099","144,416,590","164,771","135,471,138","159,207","131,501,968","157,644","128,362,227","149,381","116,796,027","152,194","113,311,087","153,563","133,032,898","144,849","115,634,277"
G04B,UROLOGICALS,서울,도봉구,"63,884","45,863,099","61,361","44,921,801","60,368","43,213,952","61,632","42,167,226","58,962","41,416,985","56,138","39,284,397","57,366","40,208,847","57,770","39,467,251","59,550","41,376,542","59,642","41,442,160","53,012","38,438,572","58,346","43,969,360"
G04B,UROLOGICALS,서울,동대문구,"166,284","133,427,733","163,986","127,743,878","160,316","125,536,903","141,928","114,655,218","141,631","114,924,267","136,237","112,902,910","142,133","117,923,198","124,318","96,856,792","132,958","108,989,515","151,481","127,305,700","130,026","105,825,695","134,889","109,756,027"
G04B,UROLOGICALS,서울,동작구,"165,813","113,655,782","176,351","121,667,657","162,128","113,538,301","169,535","106,799,243","169,801","109,750,806","148,465","98,283,402","154,039","101,064,966","144,770","99,800,807","144,503","103,380,643","166,569","113,410,878","117,283","85,349,723","116,359","83,919,674"
G04B,UROLOGICALS,서울,마포구,"48,164","33,012,601","42,682","29,169,322","42,235","28,834,942","39,274","25,938,534","38,960","27,492,607","38,124","25,446,839","36,995","24,718,377","39,385","27,091,080","39,587","27,444,278","41,032","27,904,482","35,518","24,925,627","37,079","24,969,426"
G04B,UROLOGICALS,서울,서대문구,"272,053","180,266,529","236,881","156,021,857","234,234","154,380,456","233,824","152,208,879","215,290","136,275,464","215,825","138,649,160","216,667","140,620,544","206,331","132,634,566","208,831","136,210,425","215,284","139,731,150","189,514","120,883,309","184,354","119,610,756"
G04B,UROLOGICALS,서울,서초구,"97,812","75,629,261","101,948","78,910,616","94,976","73,910,337","92,039","72,012,166","92,272","71,177,406","87,945","68,850,168","81,359","61,785,315","91,651","74,418,394","89,297","69,959,768","87,732","69,640,916","78,474","60,969,637","76,389","61,205,220"
G04B,UROLOGICALS,서울,성동구,"49,220","35,718,530","47,060","36,144,868","49,894","37,030,635","39,734","28,561,700","43,823","32,273,110","41,875","29,721,271","41,269","29,815,466","37,512","27,744,964","39,065","27,840,271","37,822","26,498,711","36,304","25,565,038","35,154","22,765,374"
G04B,UROLOGICALS,서울,성북구,"86,834","70,884,979","91,632","72,172,788","82,305","64,556,434","76,149","59,427,458","82,046","64,951,661","77,348","61,092,049","78,596","63,291,859","80,912","64,087,090","80,688","61,403,941","86,959","66,987,642","73,777","56,999,115","81,754","64,311,231"
G04B,UROLOGICALS,서울,송파구,"240,354","192,808,288","228,778","180,377,587","213,539","162,861,829","201,298","157,244,051","204,979","158,327,674","197,248","156,038,952","199,508","154,092,547","198,253","148,440,661","200,156","152,155,078","209,952","160,732,113","177,419","134,661,606","188,886","142,572,048"
G04B,UROLOGICALS,서울,양천구,"160,911","120,857,318","154,518","119,710,706","136,817","100,929,851","142,016","107,086,343","146,090","108,181,313","144,050","108,927,359","134,128","98,187,843","134,553","96,627,604","130,512","95,110,452","141,576","102,072,728","123,696","89,517,121","132,816","94,894,810"
