ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
H01C,HYPOTHALAMIC HORMONES,서울,강남구,506,"107,704,213",701,"147,263,270",614,"107,838,037",535,"124,817,465",701,"133,450,747",784,"107,033,966",767,"99,349,996",889,"140,120,510",850,"134,190,751",673,"133,957,334",422,"135,923,455",981,"106,688,265"
H01C,HYPOTHALAMIC HORMONES,서울,강동구,4,"5,549,718",45,"10,532,906",49,"13,734,012",45,"8,493,457",35,"13,735,395",21,"13,929,576",76,"10,733,607",28,"6,835,841",96,"14,916,879",107,"8,977,491",51,"19,945,750",14,"13,931,552"
H01C,HYPOTHALAMIC HORMONES,서울,강북구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,"171,540",-,-,-,-,-,-,-,-
H01C,HYPOTHALAMIC HORMONES,서울,관악구,4,"265,620",25,"709,927",-,-,8,"419,452",8,"531,240",-,-,6,"63,066",-,-,-,-,5,"52,555",12,"804,096",35,"718,148"
H01C,HYPOTHALAMIC HORMONES,서울,광진구,1,"2,005,019",2,"3,535,765",2,"3,550,276",2,"3,550,276",5,"8,612,476",5,"8,691,100",4,"7,145,843",13,"7,231,613",22,"5,318,150",6,"10,781,765",4,"7,203,577",328,"9,922,020"
H01C,HYPOTHALAMIC HORMONES,서울,구로구,51,"37,814,206",81,"34,987,448",125,"25,980,700",95,"30,519,132",129,"22,154,967",162,"35,772,122",94,"12,133,948",95,"30,770,628",61,"23,424,934",120,"37,604,633",59,"17,429,735",92,"22,063,160"
H01C,HYPOTHALAMIC HORMONES,서울,노원구,74,"23,401,689",21,"14,071,030",49,"15,933,930",99,"23,555,483",13,"19,232,986",19,"11,622,682",47,"23,064,863",63,"13,511,405",53,"11,481,253",18,"30,197,911",7,"11,035,619",27,"7,706,223"
H01C,HYPOTHALAMIC HORMONES,서울,도봉구,-,-,-,-,1,"10,511",21,"220,731",21,"220,731",2,"21,022",2,"21,022",-,-,3,"31,533",23,"241,753",9,"98,100",13,"141,700"
H01C,HYPOTHALAMIC HORMONES,서울,동대문구,46,"59,760,560",79,"50,379,081",35,"55,306,537",41,"63,157,040",55,"62,597,690",33,"51,653,954",39,"61,180,782",30,"46,288,317",43,"59,421,011",57,"55,574,824",42,"61,473,346",61,"51,675,114"
H01C,HYPOTHALAMIC HORMONES,서울,동작구,87,"6,789,345",72,"11,916,123",28,"6,172,344",58,"10,727,249",98,"13,915,140",92,"10,396,778",58,"11,339,944",95,"12,110,641",74,"8,608,397",73,"11,269,042",92,"11,653,013",42,"9,970,109"
