ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",서울,강남구,"1,167,473","88,445,606","1,121,660","84,901,390","1,072,785","85,238,859","1,139,131","89,159,252","1,103,917","86,916,609","1,008,295","77,584,488","1,046,479","80,423,088","1,109,846","87,488,378","1,136,811","93,338,009","1,127,800","87,432,615","1,024,882","80,649,071","1,037,997","84,335,614"
H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",서울,강동구,"460,878","37,873,111","434,779","36,442,755","426,219","34,872,460","441,735","35,599,025","424,862","33,463,668","396,740","31,423,687","398,603","31,710,162","440,833","35,549,497","450,642","35,328,179","450,135","35,936,654","415,750","32,186,314","411,707","33,514,897"
H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",서울,강북구,"317,940","23,267,059","280,212","20,487,174","273,627","20,108,763","270,564","20,089,329","247,544","18,384,903","245,647","18,044,895","249,121","18,401,891","289,882","21,729,967","286,769","20,807,210","265,236","19,218,144","258,271","19,010,473","258,404","18,384,684"
H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",서울,강서구,"418,308","34,366,405","363,003","30,782,147","354,935","30,168,290","365,709","32,236,103","358,941","31,235,483","341,779","29,918,056","338,092","29,487,285","378,415","32,738,000","377,484","31,788,315","358,151","31,057,016","347,010","29,565,902","329,682","28,241,957"
H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",서울,관악구,"283,229","20,827,502","257,402","19,149,548","252,263","18,925,846","268,612","20,313,655","260,753","20,266,880","241,755","18,775,964","236,493","18,881,569","264,182","20,920,448","279,636","22,304,387","264,741","20,377,420","258,469","19,827,326","244,001","19,919,189"
H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",서울,광진구,"309,960","26,212,998","291,242","25,716,201","294,554","26,111,644","302,545","27,420,002","298,463","28,153,428","278,466","26,337,233","293,420","27,184,536","329,016","30,019,191","331,379","29,734,674","312,592","30,062,943","289,753","27,735,420","293,737","28,352,663"
H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",서울,구로구,"490,611","34,194,456","451,784","31,829,692","439,655","31,572,082","454,800","32,994,676","453,682","33,037,341","421,144","30,751,547","417,408","30,750,687","454,748","34,617,827","471,337","35,605,466","455,614","34,875,142","440,773","33,343,275","443,616","34,068,507"
H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",서울,금천구,"159,614","14,541,147","141,437","12,495,187","139,678","12,702,366","146,421","13,008,210","141,254","12,351,616","129,449","11,537,429","131,537","11,748,663","144,457","12,549,647","141,152","12,069,312","137,234","11,867,023","124,245","10,840,968","120,693","10,836,493"
H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",서울,노원구,"471,802","36,054,989","435,928","33,477,290","440,015","35,018,887","472,921","37,563,806","422,506","34,447,610","405,322","33,533,513","406,999","33,180,195","468,059","37,729,894","487,257","40,044,602","455,699","37,127,535","442,707","35,883,944","439,635","35,267,730"
H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",서울,도봉구,"165,351","13,734,578","158,310","12,292,327","154,179","13,125,205","160,996","14,062,591","153,968","13,572,751","137,812","12,313,974","143,075","12,947,514","164,638","14,682,466","161,533","14,217,130","150,462","14,009,863","141,415","12,634,214","142,846","12,695,331"
H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",서울,동대문구,"378,564","29,420,481","359,671","28,233,970","363,290","28,558,034","366,717","28,629,685","368,014","29,898,261","334,977","27,908,465","349,436","27,694,391","372,832","29,631,792","373,652","29,500,460","369,880","29,926,455","336,241","28,064,755","339,614","29,007,606"
H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",서울,동작구,"364,669","27,544,340","342,605","26,115,706","344,146","26,945,032","356,060","27,204,372","360,206","28,493,757","340,193","26,566,435","337,209","26,237,336","371,165","28,085,782","365,608","26,801,118","355,643","26,481,600","331,665","24,407,574","318,773","24,084,029"
H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",서울,마포구,"331,630","25,418,619","291,315","22,347,624","280,216","21,545,909","290,276","22,177,272","257,782","19,460,129","243,286","18,822,951","252,059","18,772,578","295,182","22,405,574","315,212","23,765,623","291,211","21,547,731","270,812","19,857,509","262,387","18,952,607"
H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",서울,서대문구,"712,324","58,538,941","667,832","53,839,358","632,741","53,937,686","661,138","54,432,667","650,545","58,510,674","611,932","51,240,321","607,807","49,363,583","642,321","54,408,806","633,646","51,750,056","611,227","51,292,301","545,651","46,808,718","537,289","46,548,502"
H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",서울,서초구,"706,116","54,918,084","665,135","54,055,425","641,234","55,038,388","644,754","54,126,779","646,066","57,099,799","592,932","52,450,002","585,132","50,613,736","646,215","56,439,068","631,586","54,950,242","608,992","54,533,407","572,096","49,378,242","504,199","43,136,423"
H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",서울,성동구,"405,035","23,300,683","384,285","22,532,637","381,639","21,737,508","392,288","23,087,818","405,914","22,008,652","369,388","20,977,889","379,092","21,591,831","414,438","22,687,674","412,717","23,141,889","427,983","22,978,447","382,470","22,024,600","370,359","21,934,171"
