ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
H05B,ANTI-PARATHYROID AGENTS,서울,강남구,"4,256","21,247,260","3,685","17,239,368","3,298","15,392,922","3,131","16,202,228","3,576","16,073,610","3,031","13,673,532","3,488","19,738,975","3,022","18,464,950","3,623","18,354,171","3,570","16,494,575","3,614","17,550,659","3,382","16,892,651"
H05B,ANTI-PARATHYROID AGENTS,서울,강동구,"4,549","29,973,569","3,801","26,561,576","3,881","27,479,139","4,121","27,746,202","4,633","28,666,259","3,363","23,858,558","3,719","25,329,576","4,789","31,640,960","3,429","25,503,478","4,103","29,649,471","3,752","25,284,686","3,490","23,495,975"
H05B,ANTI-PARATHYROID AGENTS,서울,강북구,"2,662","8,879,607","2,526","8,274,394","1,754","6,386,175","2,376","7,537,068","2,322","7,205,154","2,146","6,566,773","1,984","6,288,823","2,308","6,956,702","1,991","6,591,142","2,134","6,871,891","1,905","6,501,256","2,003","6,669,101"
H05B,ANTI-PARATHYROID AGENTS,서울,강서구,"1,389","9,583,663","1,407","9,848,737","1,372","9,457,489","1,588","10,620,292","1,377","9,440,782","1,289","7,826,373","1,306","8,906,101","1,498","10,339,373","1,436","9,828,333","1,500","10,083,879","1,614","11,262,765","1,434","10,553,543"
H05B,ANTI-PARATHYROID AGENTS,서울,관악구,"2,932","12,564,278","2,875","12,341,610","3,251","13,277,713","3,102","13,254,551","3,495","15,154,437","3,146","13,435,405","3,309","14,713,498","3,187","15,114,408","3,146","14,427,533","3,143","15,020,528","2,902","14,531,709","3,101","16,239,107"
H05B,ANTI-PARATHYROID AGENTS,서울,광진구,"1,259","7,592,479","1,930","10,686,408","1,660","9,528,069","1,658","10,017,804","1,523","9,354,411","1,498","8,992,325","1,676","8,944,205","1,676","9,758,532","1,063","5,949,941","1,076","5,598,521","1,527","8,500,263","1,502","8,710,790"
H05B,ANTI-PARATHYROID AGENTS,서울,구로구,"3,687","19,735,889","3,098","18,201,656","3,539","18,955,499","2,879","16,473,349","3,051","16,918,923","2,919","16,509,323","2,783","14,760,708","3,738","20,509,354","3,670","19,693,442","3,545","19,973,396","3,227","17,862,895","3,542","19,003,998"
H05B,ANTI-PARATHYROID AGENTS,서울,금천구,488,"2,090,383",510,"1,919,985",456,"1,508,471",556,"2,143,246",661,"2,586,260",636,"2,410,375",630,"2,541,792",533,"1,822,133",581,"2,084,039",607,"1,754,028",503,"1,379,852",539,"1,763,730"
H05B,ANTI-PARATHYROID AGENTS,서울,노원구,"5,784","36,334,110","5,906","37,790,267","4,945","34,824,831","5,504","35,392,392","5,620","35,486,116","6,268","37,546,277","5,894","35,159,530","5,248","33,115,026","5,951","37,127,831","4,956","31,236,778","4,743","28,249,289","6,216","37,410,000"
H05B,ANTI-PARATHYROID AGENTS,서울,도봉구,426,"2,025,762",427,"1,765,095",465,"2,248,722",539,"2,674,671",659,"3,724,240",518,"3,101,746",484,"2,857,258",431,"2,582,352",271,"1,434,080",337,"1,938,717",236,"1,445,610",262,"1,474,251"
