ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",서울,강남구,"1,465,164","285,554,574","1,190,161","258,163,367","1,035,301","241,680,884","929,424","257,525,616","838,235","239,438,404","937,273","239,876,855","972,716","258,528,431","1,136,158","285,573,499","1,295,635","296,019,282","1,261,880","293,883,926","1,186,736","272,930,275","1,122,707","297,223,677"
J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",서울,강동구,"1,142,870","237,845,067","900,919","202,270,885","769,541","183,654,121","692,948","174,803,716","611,899","159,126,175","646,467","163,021,260","690,778","169,749,719","891,215","200,842,522","1,036,131","217,050,784","1,062,335","216,379,109","1,002,038","208,976,663","821,156","208,821,575"
J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",서울,강북구,"917,878","157,058,895","671,379","114,439,431","578,846","101,041,537","521,869","92,112,055","432,538","79,851,910","470,730","83,938,933","500,952","87,051,850","625,767","107,357,876","771,342","127,639,878","793,310","133,175,302","748,891","126,188,656","671,365","119,306,100"
J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",서울,강서구,"1,665,176","243,478,809","1,315,728","187,099,181","1,155,890","166,264,317","993,352","142,767,220","797,407","117,640,601","902,708","130,609,720","921,946","139,071,748","1,259,678","177,315,320","1,514,679","208,272,575","1,553,512","207,787,070","1,410,478","200,384,278","1,232,292","177,685,364"
J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",서울,관악구,"1,107,498","183,970,241","898,150","145,514,412","789,054","132,125,152","676,753","114,920,853","596,550","105,947,782","557,767","99,391,278","588,446","107,302,634","782,099","136,279,610","963,118","159,531,997","953,951","167,564,850","872,020","160,550,678","780,665","150,047,797"
J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",서울,광진구,"1,114,963","196,470,352","876,636","164,693,893","750,589","147,161,275","669,064","138,108,490","544,450","131,696,830","607,723","140,198,747","626,424","135,552,950","810,511","161,340,266","951,554","180,110,789","948,239","183,136,485","903,367","178,483,713","763,290","181,179,987"
J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",서울,구로구,"1,578,652","246,047,641","1,246,242","196,719,199","1,033,836","173,600,009","912,026","161,453,757","789,763","148,320,430","810,772","154,131,082","864,625","156,172,444","1,141,808","187,773,061","1,368,721","209,214,384","1,393,080","217,327,858","1,299,426","218,703,635","1,116,857","202,068,734"
J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",서울,금천구,"647,898","106,901,741","521,161","81,052,910","482,600","76,805,537","409,861","67,428,014","347,260","56,360,818","369,173","58,375,956","360,307","61,123,313","496,273","76,483,293","574,355","89,331,689","600,469","91,087,121","556,233","88,814,177","505,037","83,887,080"
J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",서울,노원구,"1,697,468","300,144,616","1,330,109","255,296,765","1,116,823","217,383,435","971,241","201,702,011","797,420","181,116,272","880,146","193,009,684","916,933","191,249,607","1,261,755","238,411,855","1,501,952","269,087,021","1,547,320","272,056,204","1,414,264","263,054,652","1,272,804","261,913,908"
J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",서울,도봉구,"869,429","140,063,528","670,202","110,974,682","580,029","98,068,862","527,124","93,893,863","428,527","84,452,012","456,616","85,165,755","471,969","87,244,184","640,947","108,808,371","748,660","117,427,745","763,835","122,957,018","678,051","113,665,197","619,255","115,605,412"
J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",서울,동대문구,"984,147","182,208,194","786,044","154,165,792","682,633","138,251,434","606,362","137,513,366","530,990","132,950,617","586,029","143,220,464","617,274","146,884,964","754,863","164,577,179","898,036","178,895,483","898,253","179,514,396","870,602","176,207,828","765,861","186,484,030"
J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",서울,동작구,"758,959","156,341,087","603,723","127,782,308","514,026","124,483,395","453,853","116,949,444","386,283","107,805,980","396,114","104,075,376","441,253","117,399,615","579,274","139,102,597","681,583","149,092,695","672,074","154,484,150","597,996","146,273,400","518,996","140,850,219"
J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",서울,마포구,"1,040,730","164,623,254","796,199","125,621,439","662,228","105,845,318","579,663","95,904,074","491,176","80,831,429","528,705","86,718,291","581,200","95,579,871","739,682","120,853,208","850,464","135,174,563","829,098","131,862,395","819,118","134,528,787","735,543","125,838,579"
J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",서울,서대문구,"930,401","305,528,692","672,863","242,767,695","597,832","257,794,024","563,912","265,793,582","487,656","256,624,094","493,413","193,079,782","527,808","191,771,424","657,769","207,239,301","710,291","205,595,724","729,480","210,606,344","714,843","213,716,964","645,595","220,066,805"
