ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
J01D,OTHER BETA-LACTAM ANTIBACTERIALS,서울,강남구,"1,200,054","751,531,733","995,254","730,673,815","938,147","703,434,347","922,093","773,013,256","883,994","795,611,643","899,554","768,610,186","920,110","782,225,832","1,000,102","815,825,919","1,050,145","771,418,056","1,064,252","832,326,107","1,029,020","779,509,871","1,008,183","890,414,422"
J01D,OTHER BETA-LACTAM ANTIBACTERIALS,서울,강동구,"810,734","494,951,475","675,106","468,940,461","634,132","461,490,526","635,117","437,022,784","620,828","472,967,982","604,805","435,634,661","602,912","426,531,076","693,068","466,865,615","713,903","450,753,338","722,010","484,557,211","743,820","459,239,750","670,004","495,506,143"
J01D,OTHER BETA-LACTAM ANTIBACTERIALS,서울,강북구,"416,401","181,206,242","314,182","148,873,654","307,119","147,632,436","306,360","149,139,294","279,934","136,579,392","276,432","135,440,472","279,798","139,797,201","314,677","153,332,162","341,060","157,729,985","346,219","157,824,598","354,776","169,748,227","322,210","155,607,554"
J01D,OTHER BETA-LACTAM ANTIBACTERIALS,서울,강서구,"1,011,275","389,763,668","777,842","310,416,336","713,840","295,869,546","668,824","277,756,942","618,757","272,147,820","656,022","276,192,127","654,720","277,186,212","744,580","307,083,277","768,240","312,597,937","754,821","311,108,853","768,675","322,395,157","690,507","321,143,685"
J01D,OTHER BETA-LACTAM ANTIBACTERIALS,서울,관악구,"645,136","271,178,467","502,405","232,918,294","458,409","213,123,420","442,569","209,469,146","416,408","228,972,234","402,861","210,484,379","412,102","211,534,781","481,448","239,807,207","526,775","241,180,946","531,734","249,996,318","522,765","244,567,979","477,542","249,549,851"
J01D,OTHER BETA-LACTAM ANTIBACTERIALS,서울,광진구,"472,254","249,869,425","376,799","227,866,764","367,018","250,168,685","357,007","238,649,507","339,836","253,216,325","342,644","257,222,019","345,902","224,850,825","401,955","257,722,118","434,283","258,035,153","427,515","264,274,504","420,179","266,672,503","374,115","292,436,805"
J01D,OTHER BETA-LACTAM ANTIBACTERIALS,서울,구로구,"782,797","422,448,978","632,792","385,810,711","589,600","378,821,810","573,725","392,353,313","552,724","389,988,627","550,942","383,986,892","561,801","378,952,449","626,942","402,456,428","673,277","411,753,147","663,569","414,022,332","681,592","408,745,943","619,918","458,820,052"
J01D,OTHER BETA-LACTAM ANTIBACTERIALS,서울,금천구,"391,940","198,739,943","304,085","161,751,243","288,858","161,304,675","274,810","165,955,559","262,550","152,683,240","258,136","154,701,029","263,058","145,133,276","315,522","172,484,349","334,154","176,620,495","337,847","181,640,533","360,967","189,230,779","315,235","185,432,960"
J01D,OTHER BETA-LACTAM ANTIBACTERIALS,서울,노원구,"997,392","605,128,261","772,628","580,765,197","722,359","557,170,857","716,191","539,821,138","683,194","556,840,831","715,924","569,731,103","688,434","541,037,834","769,055","582,781,899","840,755","585,257,856","840,116","597,741,311","835,917","586,667,800","753,008","692,044,187"
J01D,OTHER BETA-LACTAM ANTIBACTERIALS,서울,도봉구,"437,853","258,247,484","353,213","218,169,948","319,965","217,253,906","316,244","211,526,322","274,114","206,983,061","291,863","214,299,929","293,424","217,744,701","342,695","238,503,168","377,691","232,336,594","367,735","235,644,788","381,484","247,203,329","365,744","276,434,683"
