ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
J01E,SULFONAMIDES AND TRIMETHOPRIM,서울,강남구,"29,518","2,602,776","28,636","3,108,014","28,169","2,441,217","34,302","4,959,740","37,247","3,941,616","30,690","3,727,281","35,023","4,113,376","35,201","3,406,873","34,392","3,734,280","39,981","3,087,857","35,912","3,789,630","38,154","4,078,113"
J01E,SULFONAMIDES AND TRIMETHOPRIM,서울,강동구,"11,191","1,385,652","11,818","2,418,095","10,874","947,799","11,569","2,746,326","11,334","2,000,176","10,913","1,578,765","10,894","2,213,310","10,855","1,965,810","9,796","1,230,667","9,967","1,821,380","9,927","1,186,880","11,156","1,612,523"
J01E,SULFONAMIDES AND TRIMETHOPRIM,서울,강북구,"11,609","580,352","8,987","448,382","8,238","411,354","6,632","331,402","6,575","328,615","6,038","301,823","6,977","348,691","8,959","447,864","12,233","611,581","10,907","545,188","11,526","576,270","10,926","546,047"
J01E,SULFONAMIDES AND TRIMETHOPRIM,서울,강서구,"9,074","453,632","7,838","391,727","8,455","422,715","7,855","392,735","7,964","399,925","8,818","440,762","8,045","402,259","8,458","422,702","9,793","489,629","9,826","491,304","10,066","503,286","9,510","474,542"
J01E,SULFONAMIDES AND TRIMETHOPRIM,서울,관악구,"6,956","393,534","6,139","649,707","6,730","451,701","7,319","871,736","7,989","399,463","6,275","313,733","7,526","375,969","7,836","444,889","6,657","366,607","7,147","357,377","6,674","333,015","6,122","589,074"
J01E,SULFONAMIDES AND TRIMETHOPRIM,서울,광진구,"16,467","1,296,506","15,315","794,061","12,315","1,747,293","12,479","1,114,191","13,170","1,510,425","12,753","2,058,112","11,679","1,232,112","12,690","1,523,104","11,655","1,192,958","12,379","1,469,504","11,438","1,828,248","13,373","3,653,537"
J01E,SULFONAMIDES AND TRIMETHOPRIM,서울,구로구,"8,685","1,479,475","8,290","1,047,233","8,334","1,023,141","8,127","656,825","9,002","1,213,943","7,948","2,574,886","7,727","1,437,360","8,081","2,280,509","7,410","1,592,706","7,823","1,354,027","6,825","1,761,001","6,986","761,976"
J01E,SULFONAMIDES AND TRIMETHOPRIM,서울,금천구,"7,246","362,134","5,586","279,098","6,390","319,176","6,762","338,015","6,169","308,288","6,502","324,691","5,847","291,738","5,676","282,544","5,722","285,840","5,569","277,312","5,478","272,138","4,947","245,785"
J01E,SULFONAMIDES AND TRIMETHOPRIM,서울,노원구,"17,766","893,020","15,432","741,373","14,393","896,278","14,068","810,103","16,732","924,072","15,710","1,012,225","13,033","900,247","14,646","948,664","13,865","788,991","14,858","772,697","13,412","627,184","15,712","742,584"
J01E,SULFONAMIDES AND TRIMETHOPRIM,서울,도봉구,"5,317","265,669","5,058","729,870","4,748","236,923","4,787","293,354","5,813","290,467","5,636","845,738","4,342","392,948","4,929","850,660","4,362","359,488","5,070","471,563","4,698","583,070","4,774","496,159"
J01E,SULFONAMIDES AND TRIMETHOPRIM,서울,동대문구,"12,753","1,432,167","13,705","1,511,294","12,333","2,044,630","13,262","1,099,463","16,481","2,667,391","15,658","4,847,455","12,842","2,847,063","13,734","1,466,992","14,322","4,886,825","13,333","1,968,800","13,016","1,206,828","12,701","1,209,739"
