ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",서울,강남구,"555,327","313,566,640","462,636","246,659,845","400,023","215,645,083","352,249","191,975,317","297,177","175,700,140","283,551","169,451,295","307,852","185,868,006","380,101","221,934,414","446,404","242,077,314","421,249","233,203,294","424,006","245,380,434","405,385","231,743,823"
J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",서울,강동구,"363,315","140,575,345","291,923","104,604,183","229,945","86,886,969","207,539","76,833,190","152,013","62,623,462","137,478","59,379,975","150,279","67,449,892","211,441","87,000,782","260,216","101,393,051","255,934","101,489,548","285,153","112,849,729","267,103","103,876,945"
J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",서울,강북구,"261,562","103,958,408","177,738","69,562,562","148,966","60,774,294","130,599","53,500,589","103,842","43,952,569","100,682","43,399,391","112,172","50,115,551","148,329","63,117,263","189,158","76,625,187","197,279","77,643,615","221,042","90,352,059","208,284","82,542,203"
J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",서울,강서구,"430,788","157,365,140","370,505","120,112,880","306,811","101,018,093","261,455","88,462,067","199,152","71,398,051","187,593","69,489,261","204,541","79,742,308","270,502","100,435,121","318,134","116,378,001","320,596","112,393,020","344,635","124,406,536","309,972","115,447,940"
J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",서울,관악구,"306,462","114,469,694","255,112","87,410,609","210,021","73,544,631","165,570","61,771,496","128,561","50,092,890","121,418","50,160,413","131,918","56,981,674","188,923","75,562,001","210,925","83,112,455","221,217","88,193,884","235,695","97,857,132","227,734","90,558,617"
J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",서울,광진구,"303,333","133,840,860","211,861","91,663,419","188,366","82,793,857","161,348","71,696,913","117,706","58,096,967","123,317","59,571,711","134,133","67,014,713","186,113","87,659,474","223,127","100,027,457","223,267","100,229,463","248,976","108,537,345","213,608","94,814,700"
J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",서울,구로구,"468,082","149,895,674","427,893","122,431,672","342,540","101,679,365","268,280","83,987,562","203,655","65,406,237","173,824","61,225,851","184,281","69,133,065","266,148","93,313,178","331,950","113,240,641","334,876","110,773,462","360,769","119,138,236","332,849","108,317,378"
J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",서울,금천구,"194,604","78,807,119","148,549","59,508,788","117,063","49,746,803","101,740","43,792,147","75,215","34,460,587","67,021","30,470,615","72,855","33,976,852","115,700","45,544,097","137,784","53,294,376","133,445","49,967,227","149,770","56,652,683","124,486","53,407,915"
J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",서울,노원구,"514,197","209,273,644","382,753","147,447,276","296,440","116,809,740","269,056","107,629,099","191,633","80,723,132","187,593","81,974,118","204,587","95,251,311","308,711","129,084,374","349,988","146,427,167","348,968","143,644,019","399,469","162,775,874","416,141","158,427,314"
J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",서울,도봉구,"237,134","82,655,263","194,989","63,509,323","143,790","48,069,086","121,282","41,357,756","86,526","32,988,709","75,476","31,495,055","85,469","36,907,859","122,295","47,367,937","132,308","52,399,165","130,004","52,150,897","141,415","59,697,871","147,859","60,224,029"
J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",서울,동대문구,"269,251","101,655,120","206,013","76,573,805","175,276","68,160,189","149,300","60,247,464","121,622","55,479,564","119,014","54,560,900","120,741","57,916,022","166,655","71,294,615","206,504","80,675,841","224,926","89,639,748","239,388","92,464,162","223,187","88,373,567"
J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",서울,동작구,"374,893","143,742,547","283,907","105,370,511","230,121","86,970,475","202,738","76,076,511","157,852","62,199,561","152,870","61,143,371","160,370","72,956,827","234,458","94,979,687","282,932","113,481,209","278,178","109,753,458","283,097","110,674,984","257,593","101,605,086"
J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",서울,마포구,"293,921","122,210,704","223,411","86,960,823","184,702","73,841,375","159,174","64,865,239","123,936","54,496,987","127,336","56,295,642","134,576","62,651,327","180,571","78,022,362","224,232","93,695,210","218,863","90,913,186","212,005","91,277,676","200,396","83,713,816"
J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",서울,서대문구,"258,348","108,244,758","197,479","81,250,209","160,551","68,660,430","145,245","63,543,571","111,675","50,977,085","108,128","51,201,990","109,423","52,975,410","151,665","70,562,929","169,764","76,212,684","170,817","77,425,994","184,339","83,512,849","173,987","81,290,714"
J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",서울,서초구,"425,786","181,995,667","317,480","126,792,491","265,076","109,702,552","218,597","91,075,683","168,232","75,523,579","167,227","79,018,505","172,695","86,348,605","225,896","106,770,846","260,465","122,533,304","248,946","117,083,546","281,691","129,061,169","289,286","125,234,652"
J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",서울,성동구,"230,184","87,486,891","180,948","64,268,795","147,589","54,207,512","125,889","48,899,323","89,594","36,791,104","89,443","36,417,291","99,419","42,876,186","130,006","56,772,481","149,247","65,472,775","147,035","64,634,854","156,927","69,954,030","137,337","61,035,100"
