ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,서울,강남구,"23,805","24,529,948","22,253","22,140,783","21,763","20,510,653","22,079","22,482,500","25,836","27,293,092","24,414","24,067,209","24,420","24,502,378","27,041","28,080,451","23,927","24,183,332","26,222","27,503,546","25,690","28,185,831","25,988","27,549,886"
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,서울,강동구,"14,486","11,630,578","13,328","10,849,879","13,838","11,349,684","13,625","11,026,267","14,669","11,249,167","14,694","11,521,474","13,848","10,753,989","13,840","11,034,556","14,354","11,316,991","16,169","12,736,426","13,744","10,515,746","14,460","10,790,556"
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,서울,강북구,"9,072","6,700,015","8,929","6,875,200","8,909","6,718,555","8,953","6,508,442","9,211","6,889,658","9,031","6,772,916","9,139","6,746,583","8,973","6,597,440","8,946","6,350,713","9,015","6,339,405","8,559","6,305,559","9,204","6,960,325"
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,서울,강서구,"13,503","15,023,854","11,770","13,867,624","12,902","16,465,906","12,502","16,510,492","13,110","16,702,289","12,593","15,999,044","12,627","15,473,257","13,521","16,179,620","13,551","14,966,264","12,999","14,476,355","12,525","13,315,475","13,627","15,040,440"
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,서울,관악구,"14,088","11,590,129","12,754","10,486,844","12,275","9,750,167","12,254","10,463,008","12,485","10,596,998","12,044","10,455,213","12,231","10,315,562","12,728","10,640,403","13,395","10,970,392","14,226","11,984,465","13,401","11,285,613","13,231","10,751,129"
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,서울,광진구,"6,655","5,126,171","6,406","6,067,703","7,752","6,514,539","7,617","7,315,727","7,862","7,087,376","7,859","9,362,478","7,535","6,630,708","7,296","7,934,197","7,528","7,612,117","7,290","6,979,049","6,753","5,695,390","7,247","7,863,065"
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,서울,구로구,"12,496","11,784,836","12,107","11,478,875","12,252","11,427,519","12,663","11,802,005","14,356","14,386,689","14,495","14,668,994","13,382","14,061,928","12,508","12,477,331","13,365","13,651,811","13,312","14,599,301","12,057","12,496,209","13,276","13,860,049"
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,서울,금천구,"6,266","5,110,606","5,770","4,698,869","6,310","5,525,814","5,982","5,523,192","6,077","5,060,964","6,093","5,229,101","6,175","5,139,690","6,026","5,217,009","6,351","5,060,484","6,107","4,805,557","6,396","5,404,923","6,682","5,456,600"
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,서울,노원구,"12,214","12,127,985","11,798","12,914,321","12,511","14,491,268","12,290","14,289,284","11,665","13,567,615","12,668","14,159,381","11,573","12,039,345","12,064","13,344,149","11,881","12,268,753","13,247","14,923,961","12,063","13,402,226","13,483","16,766,887"
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,서울,도봉구,"6,260","5,696,209","5,317","4,315,785","5,844","4,812,942","5,293","4,079,508","5,825","4,652,072","6,078","4,956,944","6,170","5,795,671","6,176","5,462,523","5,780","4,760,127","6,147","5,459,772","5,805","5,212,779","5,995","5,684,479"
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,서울,동대문구,"11,241","11,729,547","11,102","12,029,662","11,309","12,279,098","10,781","12,470,991","11,386","13,102,775","11,595","13,558,101","11,847","13,234,395","11,820","13,551,715","12,302","13,403,633","12,881","13,958,944","11,466","12,181,695","12,631","13,698,024"
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,서울,동작구,"9,053","7,016,421","8,410","6,797,124","8,566","7,066,685","7,668","6,485,534","8,315","7,101,306","8,413","7,149,371","8,572","7,756,700","9,053","7,710,738","9,389","7,743,191","10,041","8,387,505","9,546","7,860,053","9,478","8,019,210"
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,서울,마포구,"11,424","10,519,501","9,598","8,504,020","9,821","8,749,811","9,560","8,216,826","10,012","8,886,514","9,669","8,547,318","9,525","8,323,862","9,678","8,644,037","10,166","8,553,123","10,474","8,699,370","9,814","8,264,660","10,686","9,467,461"
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,서울,서대문구,"9,760","15,729,281","9,021","14,955,400","10,220","17,740,395","10,555","17,461,464","10,746","17,604,032","10,070","16,645,603","10,057","17,097,746","9,986","16,879,938","9,321","15,029,292","9,548","16,030,037","8,481","14,244,326","9,555","16,342,611"
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,서울,서초구,"11,033","10,201,259","10,400","9,819,952","11,537","12,090,227","10,560","10,961,883","11,283","11,853,539","11,872","12,320,602","11,053","11,467,314","11,658","12,630,212","12,244","12,737,667","12,215","12,616,870","10,480","9,627,451","11,398","10,941,915"
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,서울,성동구,"8,919","8,145,121","7,796","6,984,726","7,441","6,708,147","7,639","7,114,006","7,962","7,851,668","8,471","8,240,099","8,809","8,343,757","8,613","8,149,389","9,445","9,519,315","9,774","9,099,234","9,159","8,442,389","10,235","11,184,284"
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,서울,성북구,"7,570","8,279,712","6,685","7,629,766","7,684","9,099,380","7,182","8,935,965","7,892","9,927,858","8,539","11,410,195","7,985","9,623,841","8,365","9,583,236","8,491","9,891,894","8,448","9,767,356","8,198","8,912,345","8,390","9,868,509"
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,서울,송파구,"14,394","12,505,929","13,666","12,507,633","14,026","12,886,545","14,105","12,578,482","15,616","14,875,595","15,346","14,054,192","14,346","12,638,331","13,531","12,045,038","14,623","12,657,736","15,879","13,748,680","15,043","12,126,261","16,922","15,057,980"
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,서울,양천구,"13,235","9,671,497","11,049","8,574,413","11,678","8,943,241","11,475","9,380,453","11,808","9,750,217","11,720","9,190,240","12,323","9,862,707","12,148","9,523,278","12,323","9,767,091","13,212","10,548,570","12,277","9,913,277","13,546","10,634,904"
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,서울,영등포구,"17,667","19,993,602","16,064","19,128,045","17,186","20,334,727","16,312","20,185,634","18,012","22,446,076","17,284","20,954,523","16,409","18,924,034","17,823","19,946,721","18,204","19,924,887","19,232","20,559,554","18,352","19,684,944","20,170","22,229,616"
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,서울,용산구,"4,982","8,040,128","3,743","5,449,595","3,391","4,070,844","3,382","4,455,207","3,451","4,559,281","3,655","5,218,075","3,528","4,879,197","3,805","5,594,850","4,228","6,817,244","4,763","7,705,303","4,832","7,274,775","4,813","8,001,292"
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,서울,은평구,"13,069","11,471,765","11,302","10,376,118","11,677","10,731,424","11,578","10,927,732","11,530","9,857,589","11,191","9,546,847","11,048","9,384,228","11,069","9,534,582","12,455","10,617,324","13,132","11,532,355","12,692","11,645,191","12,543","10,670,616"
