ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
J01M,QUINOLONE ANTIBACTERIALS,서울,강남구,"209,004","158,008,174","199,550","160,573,910","190,636","158,198,501","192,672","177,046,306","204,866","186,344,720","191,074","169,645,755","197,774","175,758,592","203,867","187,252,302","209,460","188,206,682","211,752","190,455,012","217,168","193,584,531","220,694","199,589,785"
J01M,QUINOLONE ANTIBACTERIALS,서울,강동구,"86,464","95,896,156","80,092","85,860,117","81,495","84,639,724","80,399","86,208,146","83,176","91,460,019","81,689","93,392,134","78,833","89,295,186","82,929","89,422,346","84,180","96,098,122","88,804","99,897,857","89,233","107,886,403","88,734","112,031,719"
J01M,QUINOLONE ANTIBACTERIALS,서울,강북구,"82,054","46,619,275","66,016","37,873,067","64,470","35,841,841","65,710","36,607,265","65,546","36,311,232","63,706","37,567,964","66,478","35,831,832","68,013","38,214,278","72,464","42,395,601","80,028","42,984,461","83,707","45,725,697","75,889","40,093,960"
J01M,QUINOLONE ANTIBACTERIALS,서울,강서구,"128,267","58,109,032","103,696","49,468,395","96,960","46,784,572","95,504","46,793,305","94,593","46,204,417","93,106","45,173,629","92,786","44,820,523","100,092","48,041,784","108,382","47,591,982","112,486","51,397,009","120,443","53,425,679","110,095","49,697,437"
J01M,QUINOLONE ANTIBACTERIALS,서울,관악구,"104,642","64,088,841","86,124","54,124,995","83,940","55,640,589","82,900","53,937,390","81,873","56,319,869","78,810","48,868,315","81,003","48,451,549","86,625","50,274,146","91,363","52,565,342","93,653","54,299,993","95,540","57,564,349","91,474","59,958,386"
J01M,QUINOLONE ANTIBACTERIALS,서울,광진구,"70,228","54,930,362","64,120","54,662,810","68,190","55,134,402","66,586","57,859,809","67,168","68,240,531","67,877","66,108,784","65,062","57,524,178","70,890","62,185,230","72,643","69,249,202","76,210","66,122,546","78,162","71,813,349","73,280","73,641,281"
J01M,QUINOLONE ANTIBACTERIALS,서울,구로구,"153,402","116,615,207","125,202","103,587,387","120,773","104,693,894","116,784","109,736,918","115,039","113,121,568","110,986","114,813,927","110,603","109,163,874","115,751","107,268,047","117,670","111,722,954","116,420","103,423,857","126,716","112,288,262","116,329","116,823,010"
J01M,QUINOLONE ANTIBACTERIALS,서울,금천구,"59,371","31,600,732","58,044","29,956,933","53,668","27,101,078","53,839","33,559,411","49,227","32,203,753","52,062","26,058,458","53,514","25,709,337","57,442","26,883,911","53,928","24,043,892","50,768","24,462,220","51,696","23,812,756","49,354","25,227,247"
J01M,QUINOLONE ANTIBACTERIALS,서울,노원구,"108,480","97,981,344","99,113","98,872,019","98,022","95,676,933","100,854","98,454,155","96,841","103,054,889","92,196","101,988,146","89,007","86,957,445","95,336","95,519,271","97,610","92,535,154","102,154","101,523,444","110,210","119,316,555","104,639","118,432,458"
J01M,QUINOLONE ANTIBACTERIALS,서울,도봉구,"54,041","35,910,280","42,997","31,756,514","41,332","31,127,099","42,995","33,755,141","40,094","34,748,632","41,032","31,976,180","40,842","29,348,896","44,553","32,203,155","46,993","35,550,071","47,633","38,366,105","50,099","36,986,940","45,856","41,857,029"
J01M,QUINOLONE ANTIBACTERIALS,서울,동대문구,"94,413","96,227,186","81,066","92,855,205","88,222","105,430,763","85,078","99,395,757","88,097","108,739,811","82,216","98,112,283","85,808","94,769,766","89,498","102,279,042","89,889","102,585,181","94,782","110,696,368","94,679","111,766,314","97,944","132,639,486"
J01M,QUINOLONE ANTIBACTERIALS,서울,동작구,"82,116","86,380,330","73,735","91,263,991","73,369","90,560,308","77,489","91,128,047","76,683","91,696,082","73,810","93,346,597","78,321","90,800,438","77,535","90,626,501","80,547","95,600,531","82,767","100,432,613","78,599","99,012,237","77,004","94,950,550"
J01M,QUINOLONE ANTIBACTERIALS,서울,마포구,"107,975","38,889,096","87,710","33,395,486","86,910","35,180,748","90,276","35,340,702","86,791","34,811,431","89,255","36,527,435","90,602","35,567,452","100,411","39,391,534","96,087","38,420,450","97,439","39,544,325","104,171","41,465,002","96,912","39,712,553"
J01M,QUINOLONE ANTIBACTERIALS,서울,서대문구,"112,246","132,436,593","98,867","119,542,491","110,383","124,181,431","116,179","141,313,621","114,121","150,609,676","103,570","118,085,825","102,164","111,961,881","108,769","111,868,176","112,158","114,592,959","98,346","104,754,423","100,308","111,580,450","102,478","113,917,205"
J01M,QUINOLONE ANTIBACTERIALS,서울,서초구,"101,566","97,159,654","92,083","98,444,750","91,430","103,440,498","94,828","105,207,477","98,364","106,806,605","97,957","100,073,879","97,007","97,200,998","101,994","108,369,458","99,908","103,289,250","101,048","107,254,466","105,341","107,738,664","96,649","84,608,927"
