ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
J01X,OTHER ANTIBACTERIALS,서울,강남구,"131,034","63,500,178","126,007","82,809,954","128,680","95,376,015","132,693","128,427,146","140,755","140,500,640","127,700","132,702,493","130,820","131,682,990","124,503","123,618,261","27,354","101,487,168","22,837","105,026,412","18,856","91,627,204","28,008","124,695,162"
J01X,OTHER ANTIBACTERIALS,서울,강동구,"65,206","44,814,332","65,103","70,618,045","59,702","59,414,990","64,470","61,022,785","67,379","65,870,718","60,140","62,120,017","56,661","58,652,845","52,440","62,673,751","14,698","51,359,787","12,144","61,363,835","9,401","52,992,547","15,061","82,452,889"
J01X,OTHER ANTIBACTERIALS,서울,강북구,"22,484","5,603,251","21,457","7,025,359","19,454","3,535,797","20,020","4,877,069","21,936","4,555,036","18,574","3,459,653","18,990","5,711,704","15,433","5,522,730","1,289","6,315,802",921,"3,392,363",828,"4,236,392",970,"3,267,135"
J01X,OTHER ANTIBACTERIALS,서울,강서구,"37,204","7,017,493","35,508","9,608,519","34,560","8,937,871","34,118","8,735,894","35,010","8,553,597","33,840","5,834,573","30,820","5,993,789","32,066","7,293,701","1,910","3,134,197",628,"3,192,967",671,"2,838,480","1,528","4,912,897"
J01X,OTHER ANTIBACTERIALS,서울,관악구,"45,684","9,286,849","43,191","12,253,596","36,487","9,449,500","33,152","7,244,036","34,868","11,587,704","34,552","7,177,763","35,750","12,277,260","32,700","10,805,452","2,064","3,644,403","2,481","7,640,012","1,788","3,794,823","4,529","9,767,089"
J01X,OTHER ANTIBACTERIALS,서울,광진구,"49,076","17,742,335","45,617","21,536,617","49,565","33,160,257","47,252","37,921,301","48,815","40,638,127","49,177","44,597,708","47,514","34,142,392","44,202","36,180,944","6,097","23,948,915","4,854","24,463,391","5,875","40,768,566","7,838","49,457,383"
J01X,OTHER ANTIBACTERIALS,서울,구로구,"43,335","25,042,143","47,101","32,353,341","45,676","32,469,764","44,010","45,894,372","45,893","50,314,497","45,470","47,113,014","41,589","43,305,528","36,422","37,397,606","12,661","34,227,971","10,491","35,564,530","9,039","29,155,722","13,797","57,778,390"
J01X,OTHER ANTIBACTERIALS,서울,금천구,"17,642","3,786,201","15,196","3,206,123","15,160","3,563,839","15,890","2,518,004","15,752","2,622,047","14,209","4,396,206","13,564","2,485,058","11,682","1,705,912","1,209","2,393,591",314,"618,246",406,"684,453","2,775","5,595,362"
J01X,OTHER ANTIBACTERIALS,서울,노원구,"40,991","46,122,167","38,912","56,363,322","39,247","52,237,069","41,026","70,946,958","42,119","59,653,525","40,917","85,939,866","40,825","59,607,832","38,058","60,226,253","8,423","53,492,151","8,066","59,339,322","8,113","56,037,877","10,909","79,326,126"
J01X,OTHER ANTIBACTERIALS,서울,도봉구,"20,324","9,778,756","17,978","10,735,078","15,320","12,663,488","15,705","15,766,620","19,620","10,519,109","17,731","11,755,771","17,073","12,014,138","16,194","10,681,139","2,088","9,667,711","2,100","13,133,574","1,573","11,638,383","2,244","19,771,517"
J01X,OTHER ANTIBACTERIALS,서울,동대문구,"38,568","22,560,360","37,630","26,590,621","35,345","32,577,320","38,342","33,444,709","42,356","31,668,900","40,186","41,394,579","38,299","33,020,477","36,319","33,584,224","10,646","28,898,291","7,935","27,071,664","5,722","31,635,399","10,387","46,651,719"
J01X,OTHER ANTIBACTERIALS,서울,동작구,"33,860","30,374,842","37,012","38,937,940","34,862","45,148,863","38,281","45,348,178","34,881","46,478,680","34,518","48,518,350","37,392","54,062,690","34,666","43,553,626","11,682","42,743,203","9,421","61,890,502","7,697","57,070,845","10,451","63,657,197"
J01X,OTHER ANTIBACTERIALS,서울,마포구,"35,104","3,471,577","31,654","3,843,043","32,109","3,455,786","31,768","3,554,702","35,283","3,897,187","36,239","3,958,248","31,814","3,410,553","30,114","3,081,951","7,421","2,020,987",836,"1,482,783",734,"986,118",801,"734,334"
J01X,OTHER ANTIBACTERIALS,서울,서대문구,"49,652","124,795,042","42,444","99,686,193","50,162","151,022,641","49,819","172,744,799","50,090","159,593,943","46,680","99,226,976","42,275","94,823,500","38,668","93,305,767","11,487","76,664,254","9,780","89,885,633","6,777","78,751,066","11,523","107,694,132"
J01X,OTHER ANTIBACTERIALS,서울,서초구,"59,408","50,822,514","54,194","61,551,222","57,219","91,711,437","56,046","82,493,401","57,228","104,509,781","56,768","86,467,259","57,285","65,487,828","51,507","85,264,771","13,282","89,661,089","10,391","75,095,026","8,196","71,533,728","12,450","81,943,833"
J01X,OTHER ANTIBACTERIALS,서울,성동구,"13,456","15,021,549","15,151","14,735,919","15,787","18,931,559","13,969","16,043,518","12,845","17,665,478","12,924","12,092,625","11,391","10,451,068","12,193","14,878,972","4,934","17,296,607","3,756","13,602,865","2,358","11,248,752","2,132","13,324,823"
J01X,OTHER ANTIBACTERIALS,서울,성북구,"37,068","27,799,229","35,626","30,887,154","38,332","36,969,840","40,283","38,329,870","41,910","47,222,695","40,594","48,829,119","37,721","32,462,629","33,764","37,054,001","7,267","29,925,768","6,245","32,241,099","5,293","27,991,508","8,107","39,951,732"
J01X,OTHER ANTIBACTERIALS,서울,송파구,"75,340","65,219,244","78,764","77,790,883","83,958","102,599,504","86,751","146,125,236","89,369","133,487,975","89,632","116,954,388","79,393","108,852,106","71,646","77,872,004","19,478","63,038,865","17,347","59,643,589","12,144","53,420,352","29,012","140,330,148"
J01X,OTHER ANTIBACTERIALS,서울,양천구,"40,398","22,105,712","37,175","22,940,418","37,944","26,719,243","40,062","41,907,379","40,814","47,209,568","42,151","36,731,093","47,461","43,641,388","39,228","41,382,667","11,431","30,103,759","9,360","35,503,699","6,361","30,630,395","11,632","39,745,093"
J01X,OTHER ANTIBACTERIALS,서울,영등포구,"50,261","25,844,367","48,568","31,002,690","50,202","21,505,783","50,197","28,916,416","52,116","37,741,546","47,088","36,213,588","47,114","37,746,214","40,821","40,782,597","9,424","40,702,525","7,922","42,465,205","6,085","29,665,333","9,070","42,936,119"
J01X,OTHER ANTIBACTERIALS,서울,용산구,"15,190","14,478,608","15,995","17,532,809","16,066","17,039,132","16,648","23,126,208","15,182","15,697,852","13,561","20,651,779","13,190","17,449,173","13,841","26,326,118","3,353","20,203,975","3,781","10,566,093","3,068","11,721,938","4,010","27,282,767"
J01X,OTHER ANTIBACTERIALS,서울,은평구,"28,856","21,654,802","25,072","21,437,573","27,120","19,107,469","26,147","26,915,013","24,065","23,503,776","25,190","20,864,346","23,952","28,776,255","22,524","26,971,846","3,079","23,628,017","2,048","26,908,681","1,986","26,585,252","3,240","27,535,683"
J01X,OTHER ANTIBACTERIALS,서울,종로구,"70,916","49,596,219","70,271","49,073,112","73,235","70,256,688","76,648","77,390,954","74,733","60,989,398","72,714","55,928,472","69,189","61,399,271","61,118","72,611,716","19,209","59,745,331","16,504","75,949,470","14,198","66,394,348","24,094","105,293,297"
J01X,OTHER ANTIBACTERIALS,서울,중구,"34,573","14,713,451","32,712","17,873,693","31,342","15,454,485","31,760","16,468,126","38,296","22,022,188","35,747","18,891,242","34,186","15,606,467","33,479","16,765,823","4,330","16,519,430","4,652","19,042,164","3,744","13,648,015","6,859","21,123,085"
J01X,OTHER ANTIBACTERIALS,서울,중랑구,"25,549","23,058,385","24,790","25,310,450","23,162","26,143,977","23,519","23,837,128","22,537","23,913,531","22,340","17,633,422","22,138","23,219,731","22,036","22,419,793","6,578","26,304,614","4,283","20,825,751","4,878","27,698,912","5,736","20,879,562"
