ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
J05A,DIRECT ACTING ANTIVIRALS,서울,강남구,"483,070","2,197,632,985","419,341","2,379,448,525","419,744","2,593,929,348","440,135","2,727,758,404","464,735","2,722,612,459","449,762","2,116,479,626","447,886","1,470,218,924","424,684","1,559,305,055","401,342","1,563,886,310","461,721","1,802,754,665","412,763","1,555,594,727","362,632","1,415,797,852"
J05A,DIRECT ACTING ANTIVIRALS,서울,강동구,"211,658","862,306,554","129,045","667,996,984","137,411","775,449,861","128,141","700,319,402","150,973","642,034,300","173,216","506,611,604","175,954","444,697,442","139,704","412,832,837","127,557","453,661,016","131,578","440,239,851","147,896","493,555,872","118,245","412,856,716"
J05A,DIRECT ACTING ANTIVIRALS,서울,강북구,"90,068","194,690,276","48,336","96,229,634","49,122","97,164,631","49,721","104,341,355","71,490","120,721,220","111,634","115,875,973","114,611","115,791,498","56,029","107,035,104","48,983","114,549,310","53,849","132,612,875","56,943","128,660,593","43,410","103,007,342"
J05A,DIRECT ACTING ANTIVIRALS,서울,강서구,"183,990","427,649,924","82,885","200,344,490","87,028","209,510,642","102,317","240,416,161","130,181","235,926,371","219,913","222,710,118","244,855","219,943,310","114,133","198,617,605","80,618","209,598,392","91,160","240,303,965","106,589","261,913,302","89,468","231,433,613"
J05A,DIRECT ACTING ANTIVIRALS,서울,관악구,"117,184","263,385,191","58,362","126,056,811","57,579","122,271,388","68,467","136,524,954","99,719","156,300,360","141,519","132,307,395","134,068","139,256,436","72,895","126,244,708","56,555","128,044,681","62,019","150,932,663","75,578","171,094,388","54,426","124,348,198"
J05A,DIRECT ACTING ANTIVIRALS,서울,광진구,"142,802","435,387,073","102,470","432,707,940","105,486","468,638,337","113,665","532,926,876","130,925","523,358,361","202,589","483,738,039","197,488","337,947,884","128,570","328,376,364","96,305","307,240,251","103,903","346,545,776","113,582","352,609,726","101,514","341,801,372"
J05A,DIRECT ACTING ANTIVIRALS,서울,구로구,"276,792","1,024,190,581","181,699","886,326,951","201,656","931,712,606","233,138","1,067,579,062","292,765","1,053,498,410","400,516","898,585,723","404,587","604,402,521","222,533","536,108,433","181,850","573,206,495","186,922","602,739,420","194,676","599,169,521","179,051","569,667,498"
J05A,DIRECT ACTING ANTIVIRALS,서울,금천구,"53,519","120,946,419","27,481","63,733,534","26,592","63,995,139","27,788","71,359,161","30,228","67,088,671","36,914","66,002,208","37,477","65,255,663","28,153","66,615,951","22,798","57,067,521","26,652","67,246,890","29,075","73,456,879","28,621","68,329,683"
J05A,DIRECT ACTING ANTIVIRALS,서울,노원구,"217,528","633,207,548","116,602","520,162,566","108,960","505,485,504","124,780","564,504,701","151,169","609,447,771","220,005","533,404,628","206,204","365,616,155","139,051","332,884,325","123,910","366,833,705","127,040","394,876,530","136,104","400,186,650","114,124","358,055,927"
J05A,DIRECT ACTING ANTIVIRALS,서울,도봉구,"110,273","243,873,273","67,185","155,567,516","68,373","170,833,468","76,361","148,051,863","91,338","173,960,119","146,730","153,644,539","181,183","145,072,414","111,048","136,783,689","79,201","148,855,992","73,110","148,221,246","77,623","168,494,184","59,683","138,117,682"
J05A,DIRECT ACTING ANTIVIRALS,서울,동대문구,"165,443","654,779,482","104,487","542,439,431","108,335","570,728,097","109,299","551,294,372","109,427","504,268,601","137,318","439,981,685","140,203","379,978,988","105,360","345,515,001","102,292","356,442,192","106,838","374,066,737","116,933","369,845,193","108,087","380,164,184"
