ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
J06B,IMMUNOGLOBULINS,서울,강남구,"3,907","668,095,700","4,417","731,174,138","4,505","712,167,494","4,201","619,547,484","4,691","639,600,238","4,871","675,973,939","4,537","580,231,728","4,323","618,198,837","4,036","536,658,332","4,126","627,368,837","3,783","640,260,353","3,693","709,164,145"
J06B,IMMUNOGLOBULINS,서울,강동구,775,"81,423,765",945,"95,793,222",864,"73,864,213",871,"73,168,442",968,"66,650,985","1,019","49,146,251","1,000","61,225,508",797,"41,162,271",704,"38,922,360",849,"64,937,767",748,"68,172,457",746,"71,844,585"
J06B,IMMUNOGLOBULINS,서울,강북구,182,"3,741,380",211,"4,182,716",189,"3,641,302",236,"5,671,290",279,"5,374,926",298,"5,858,322",260,"5,008,496",249,"4,919,982",226,"4,590,690",191,"3,681,286",154,"3,085,912",215,"4,612,180"
J06B,IMMUNOGLOBULINS,서울,강서구,384,"12,406,313",358,"9,103,902",506,"10,100,314",500,"10,454,932",493,"9,967,544",532,"10,474,010",470,"9,162,006",502,"9,778,242",400,"8,299,226",361,"7,133,273",310,"6,160,413",329,"7,337,178"
J06B,IMMUNOGLOBULINS,서울,관악구,197,"3,974,921",231,"4,450,712",262,"5,175,222",269,"5,597,477",304,"5,857,238",326,"6,290,966",256,"5,119,581",294,"6,745,044",224,"4,560,938",159,"3,063,404",227,"5,423,672",191,"3,680,508"
J06B,IMMUNOGLOBULINS,서울,광진구,280,"27,301,786",374,"34,241,929",394,"36,527,572",436,"30,616,210",530,"32,112,385",550,"30,216,045",519,"27,173,898",672,"29,712,461",442,"28,150,471",470,"36,433,545",437,"40,536,139",463,"57,704,900"
J06B,IMMUNOGLOBULINS,서울,구로구,897,"45,096,304",927,"44,056,417",938,"48,756,255",862,"34,339,194",918,"39,434,787",966,"43,423,201",961,"56,802,361",927,"37,967,071",747,"33,468,661",808,"44,895,857",731,"36,807,162",752,"41,566,041"
J06B,IMMUNOGLOBULINS,서울,금천구,208,"4,006,108",235,"4,642,225",200,"3,852,014",251,"4,951,898",272,"5,238,748",266,"5,240,840",270,"5,200,256",244,"4,705,288",185,"3,563,128",197,"3,794,248",151,"2,908,274",144,"2,891,050"
J06B,IMMUNOGLOBULINS,서울,노원구,690,"44,726,683",636,"36,913,138",580,"29,108,660",748,"27,123,098",886,"27,183,730",708,"19,488,604",739,"19,599,009",663,"17,643,096",790,"25,127,228",614,"29,290,169",713,"42,367,817",791,"44,308,022"
J06B,IMMUNOGLOBULINS,서울,도봉구,206,"6,578,859",175,"5,717,419",108,"2,506,308",127,"2,446,804",138,"2,896,377",158,"3,508,879",154,"3,812,814",138,"2,967,875",156,"4,214,558",180,"4,490,862",138,"3,884,491",80,"1,541,430"
J06B,IMMUNOGLOBULINS,서울,동대문구,608,"25,175,123",798,"30,110,298","1,046","44,290,331",739,"27,210,661",880,"28,725,406",738,"22,197,400",969,"32,503,289",938,"29,380,919",932,"33,061,708",692,"24,538,475",754,"33,438,423",704,"33,065,563"
J06B,IMMUNOGLOBULINS,서울,동작구,866,"72,483,874",681,"63,256,282",840,"54,874,314",888,"86,897,488",899,"53,489,834",908,"30,949,519",848,"29,922,872",771,"51,358,212",607,"20,184,059",643,"32,066,741",566,"42,490,299",487,"44,374,160"
J06B,IMMUNOGLOBULINS,서울,마포구,239,"4,603,336",280,"5,394,908",346,"6,664,184",432,"8,320,488",466,"8,975,356",418,"8,050,806",400,"7,704,252",405,"7,800,538",370,"7,126,294",335,"6,456,080",272,"5,238,872",268,"5,276,064"
J06B,IMMUNOGLOBULINS,서울,서대문구,"4,394","628,216,088","4,294","603,878,381","4,173","558,114,836","4,817","589,655,282","5,128","561,415,001","4,096","543,811,475","4,063","524,088,790","4,297","544,369,765","3,889","541,217,175","3,127","556,977,515","3,318","602,458,088","3,541","654,517,909"
J06B,IMMUNOGLOBULINS,서울,서초구,"6,064","479,476,100","7,120","534,966,295","7,143","551,765,006","7,064","522,220,332","7,811","487,878,754","6,746","486,899,769","6,560","434,481,518","7,306","509,433,904","6,669","485,692,959","6,782","535,930,811","5,961","468,138,639","5,809","448,354,690"
J06B,IMMUNOGLOBULINS,서울,성동구,654,"89,160,299",574,"75,137,408",608,"68,250,841",569,"60,239,581",598,"22,187,391",771,"28,507,703",718,"24,340,244",714,"24,492,740",582,"20,602,214",662,"35,861,885",368,"33,471,344",515,"66,970,962"
J06B,IMMUNOGLOBULINS,서울,성북구,746,"64,877,123",867,"64,315,352",826,"61,128,160",968,"58,376,547","1,025","62,182,375",943,"42,270,259",830,"50,868,411","1,025","78,570,524",686,"41,171,092",691,"65,393,434",768,"73,978,876",822,"88,030,600"
J06B,IMMUNOGLOBULINS,서울,송파구,"9,248","1,924,090,053","9,794","1,982,855,848","9,841","1,904,928,394","10,988","2,055,068,107","10,939","1,950,208,600","10,193","1,792,549,642","10,776","1,952,527,312","8,751","1,735,286,203","8,830","1,732,910,677","8,861","1,812,483,346","8,324","1,730,779,915","9,596","1,966,151,331"
J06B,IMMUNOGLOBULINS,서울,양천구,822,"50,919,494",793,"51,039,967",864,"48,336,442","1,028","49,747,828","1,057","53,340,780","1,053","46,397,394","1,048","46,583,451",917,"44,315,914",674,"27,631,079",912,"67,142,804",949,"69,444,517","1,107","88,215,809"
