ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
L01B,ANTIMETABOLITES,서울,강남구,"196,271","618,115,572","214,907","688,815,212","198,574","676,569,019","209,007","750,274,745","227,081","803,094,810","194,488","724,264,635","207,898","746,355,650","210,227","768,642,350","196,151","793,646,604","209,279","841,082,869","170,302","739,133,334","175,986","790,237,001"
L01B,ANTIMETABOLITES,서울,강동구,"36,009","58,441,059","36,052","67,867,208","34,572","53,721,592","35,117","50,602,597","35,692","49,076,989","38,478","46,950,936","33,760","46,458,984","34,585","45,683,465","34,842","49,424,820","34,469","61,905,013","30,908","50,071,730","32,974","47,057,109"
L01B,ANTIMETABOLITES,서울,강북구,"4,230","610,960","4,046","720,251","4,164","1,234,008","4,014","1,185,717","4,938","1,427,358","4,211","1,659,285","4,670","1,576,021","4,425","2,665,208","4,477","2,237,334","4,416","2,148,020","4,730","1,811,450","3,994","1,498,220"
L01B,ANTIMETABOLITES,서울,강서구,"5,165","3,336,252","5,437","3,686,836","5,672","2,403,300","5,280","2,732,961","5,355","2,952,036","7,202","2,542,288","4,498","1,396,652","5,313","2,090,845","5,353","1,126,061","5,345","1,710,803","5,628","1,992,908","6,072","2,348,617"
L01B,ANTIMETABOLITES,서울,관악구,"4,618","4,916,165","4,158","1,241,347","4,742","6,379,853","4,357","2,816,475","4,125","2,444,540","5,661","3,808,497","4,410","2,040,410","5,329","5,362,679","5,208","4,330,259","5,618","4,791,183","4,328","4,460,318","5,158","4,649,200"
L01B,ANTIMETABOLITES,서울,광진구,"21,048","53,440,685","20,997","79,543,078","18,310","71,247,806","21,051","88,692,080","21,967","96,881,981","19,182","83,057,180","20,511","72,836,306","19,020","76,861,840","20,046","71,990,787","20,688","67,260,964","21,377","56,068,981","27,367","58,776,447"
L01B,ANTIMETABOLITES,서울,구로구,"30,871","144,092,547","34,898","171,986,026","30,930","144,681,504","34,698","151,464,998","38,498","165,217,274","38,215","134,922,397","43,336","149,724,470","31,990","147,292,378","36,604","151,502,907","36,837","175,862,073","36,359","143,668,796","30,959","158,725,510"
L01B,ANTIMETABOLITES,서울,금천구,"2,345","318,401","2,278","304,450","2,040","287,126","2,334","306,208","2,359","313,218","1,910","236,180","2,320","321,148","2,890","564,860","2,022","918,104","2,447","303,052","3,669","689,731","3,468","413,016"
L01B,ANTIMETABOLITES,서울,노원구,"36,446","169,897,731","40,353","183,864,011","38,372","185,379,255","39,986","177,479,166","41,753","193,045,285","40,878","165,930,979","45,174","178,920,778","43,466","187,468,964","41,560","159,063,201","42,642","198,122,147","39,461","145,296,506","40,656","172,007,830"
L01B,ANTIMETABOLITES,서울,도봉구,"2,776","5,416,464","2,321","5,919,514","2,870","3,844,044","3,779","6,561,991","2,720","5,042,459","2,873","4,027,275","2,920","8,659,253","3,275","5,314,904","2,038","1,987,535","3,049","1,977,262","1,960","3,064,161","2,425","10,448,608"
L01B,ANTIMETABOLITES,서울,동대문구,"20,027","38,443,868","22,313","58,778,549","22,152","62,781,108","24,177","66,172,525","23,347","61,387,411","23,806","63,324,255","21,052","61,334,146","23,101","62,076,756","19,996","66,187,305","22,056","62,517,823","19,901","49,437,950","21,188","48,027,578"
L01B,ANTIMETABOLITES,서울,동작구,"32,090","135,532,621","27,472","142,830,700","28,414","123,660,389","28,474","126,197,806","30,991","135,965,680","26,315","110,674,143","28,621","131,357,401","28,299","145,591,473","26,787","133,512,018","31,279","139,745,468","29,929","104,764,864","26,248","106,387,081"
L01B,ANTIMETABOLITES,서울,마포구,"3,733","1,073,492","3,991","913,267","2,763","480,955","4,638","1,238,164","2,984","809,634","4,735","1,672,023","2,930","704,157","3,019","725,919","4,047","863,700","4,144","1,005,758","3,131","1,001,237","3,164","618,831"
L01B,ANTIMETABOLITES,서울,서대문구,"152,662","570,387,267","152,099","565,940,096","136,046","537,932,437","144,926","609,726,099","150,670","614,657,445","141,246","538,676,014","131,616","550,649,329","132,248","592,434,961","139,092","625,978,084","136,368","234,767,106","122,770","239,363,804","124,494","223,181,345"
L01B,ANTIMETABOLITES,서울,서초구,"88,592","346,692,575","97,727","352,627,985","90,411","340,711,506","89,430","371,706,720","99,878","365,888,575","90,510","333,647,014","92,335","276,548,684","94,420","357,427,692","89,718","306,710,148","95,731","388,945,533","83,312","272,606,945","86,488","142,936,761"
L01B,ANTIMETABOLITES,서울,성동구,"140,487","57,907,680","132,636","67,894,023","133,447","67,806,719","143,623","66,554,232","145,479","73,116,084","136,475","73,214,970","135,931","71,139,148","134,180","78,505,284","135,073","69,952,892","147,386","64,616,682","125,788","61,982,276","128,326","72,733,961"
L01B,ANTIMETABOLITES,서울,성북구,"18,484","80,528,127","20,583","87,152,926","17,451","61,451,551","17,743","81,798,818","20,634","87,454,442","17,638","77,885,230","18,170","101,429,311","18,686","96,786,595","17,153","98,172,610","19,052","82,458,603","17,694","91,250,479","19,571","114,220,856"
L01B,ANTIMETABOLITES,서울,송파구,"186,103","928,822,038","185,201","936,588,236","178,939","803,214,693","181,733","842,641,160","188,928","928,607,888","191,862","819,772,897","180,762","802,465,183","174,689","383,484,185","166,613","341,702,471","186,345","403,111,619","157,064","333,885,847","161,837","364,404,936"
L01B,ANTIMETABOLITES,서울,양천구,"29,018","68,587,883","27,571","57,469,878","26,838","56,749,528","29,775","63,786,607","27,723","61,015,332","25,540","57,861,046","29,651","66,535,202","26,378","63,780,096","23,338","44,463,848","31,209","58,774,065","24,440","45,522,934","26,022","53,416,468"
L01B,ANTIMETABOLITES,서울,영등포구,"20,884","52,646,347","23,240","58,303,174","20,537","45,432,002","21,484","52,554,421","21,222","60,286,568","19,548","58,932,555","20,386","59,526,924","19,249","61,445,740","19,678","57,664,875","21,556","60,856,719","17,596","56,130,822","18,828","61,550,387"
L01B,ANTIMETABOLITES,서울,용산구,"6,508","38,967,993","6,296","38,506,847","5,725","36,255,055","5,767","31,458,849","6,168","41,980,397","6,255","32,567,468","6,307","34,313,713","8,304","29,893,583","7,424","37,726,723","8,301","38,866,269","6,222","28,697,382","7,750","33,986,376"
L01B,ANTIMETABOLITES,서울,은평구,"4,541","1,499,254","3,876","2,106,702","5,260","2,498,793","4,209","2,194,592","4,012","2,035,087","5,120","2,508,318","4,399","1,714,306","3,937","1,585,446","4,791","2,836,357","5,484","2,525,293","3,646","1,501,228","4,243","2,917,314"
L01B,ANTIMETABOLITES,서울,종로구,"151,507","330,004,310","130,524","594,265,121","149,000","649,960,212","145,862","651,006,320","160,426","751,747,044","140,693","331,802,156","148,357","722,064,254","151,269","355,388,270","139,170","325,877,313","145,790","337,866,220","138,428","378,569,840","143,366","456,935,717"
L01B,ANTIMETABOLITES,서울,중구,"16,833","15,685,517","15,700","20,263,419","14,371","15,781,366","15,655","13,695,859","14,940","18,935,891","15,140","17,632,330","15,999","15,294,857","15,392","18,808,891","15,430","22,468,778","15,457","18,220,291","14,865","14,394,331","13,841","16,803,684"
L01B,ANTIMETABOLITES,서울,중랑구,"5,876","7,102,113","5,226","9,861,473","4,717","6,292,145","4,916","6,047,625","5,184","6,710,813","4,981","4,032,397","4,628","6,274,571","5,512","3,374,173","4,594","3,578,363","5,164","5,685,344","5,139","8,487,295","4,224","7,936,602"
