ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
L01C,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,서울,강남구,"4,760","588,117,643","5,517","702,142,306","5,116","636,864,638","5,747","694,161,888","5,810","705,863,618","5,365","617,387,657","5,699","618,852,638","5,665","607,840,175","5,292","568,269,984","5,547","589,818,552","4,383","467,521,975","4,857","470,310,495"
L01C,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,서울,강동구,461,"51,269,551",537,"48,786,098",472,"45,533,577",562,"41,344,315",567,"48,290,789",389,"38,659,503",375,"35,403,997",405,"35,977,444",399,"34,183,094",516,"37,317,268",454,"31,582,528",435,"29,839,834"
L01C,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,서울,강북구,5,"1,530,248",10,"3,060,496",5,"1,530,248",3,"681,424",6,"1,362,848",1,"99,971",2,"199,942",5,"1,148,737",7,"2,379,072",9,"2,044,272",10,"2,242,873",7,"1,539,672"
L01C,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,서울,강서구,20,"1,292,836",19,"2,430,989",16,"1,771,787",23,"3,160,326",34,"4,384,717",30,"3,825,118",20,"2,457,714",8,"241,464",8,"1,899,412",11,"2,145,154",18,"3,261,126",26,"4,595,668"
L01C,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,서울,관악구,-,-,-,-,4,"52,000",7,"733,424",3,"681,424",12,"2,725,696",9,"2,044,272",15,"3,407,120",33,"4,464,784",12,"2,725,696",1,"13,409",4,"900,140"
L01C,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,서울,광진구,317,"44,666,125",326,"52,335,213",339,"49,153,609",300,"51,821,115",347,"56,701,585",340,"44,519,499",309,"46,253,083",335,"49,368,704",338,"52,172,775",373,"51,413,075",293,"40,118,745",311,"35,580,852"
L01C,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,서울,구로구,761,"70,589,493",789,"73,233,649",755,"70,573,442",767,"70,301,542",982,"91,137,946",860,"81,269,578",859,"84,087,207",884,"75,098,517",829,"72,197,737",826,"72,936,033",604,"48,475,676",783,"58,416,344"
L01C,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,서울,금천구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,"67,500",-,-
L01C,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,서울,노원구,"1,299","126,122,380","1,345","158,090,977","1,355","147,484,433","1,407","159,522,201","1,426","166,328,966","1,291","145,936,209","1,261","149,037,889","1,289","154,522,692","1,216","142,538,452","1,521","144,802,346","1,175","116,506,345","1,472","136,839,096"
L01C,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,서울,도봉구,27,"962,095",12,"537,817",5,"908,116",29,"1,923,760",22,"2,441,394",19,"2,015,192",18,"1,816,209",29,"2,766,767",19,"1,431,562",32,"1,728,293",53,"3,927,992",52,"3,270,559"
