ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,강남구,"1,622","90,109,566","1,851","90,480,794","1,749","87,584,421","2,012","92,477,027","2,097","97,212,970","2,019","98,570,389","2,087","103,248,824","2,128","107,983,824","1,892","104,622,490","2,030","118,484,796","1,686","99,849,064","1,755","113,733,981"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,강동구,255,"4,496,380",194,"3,025,354",182,"4,032,858",226,"3,489,482",284,"7,081,434",230,"6,530,986",224,"6,303,696",197,"5,947,319",238,"7,834,650",243,"6,339,789",204,"6,221,115",190,"5,842,610"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,강북구,6,"223,476",8,"297,968",4,"148,984",2,"74,492",4,"151,316",0,"4,664",-,-,2,"74,492",6,"223,476",6,"223,476",6,"244,740",4,"163,160"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,강서구,11,"258,152",13,"238,480",13,"285,834",26,"482,743",30,"537,635",35,"631,161",18,"413,462",7,"198,029",18,"583,637",25,"727,043",27,"651,750",41,"805,365"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,관악구,8,"63,336",12,"95,004",9,"100,582",4,"31,668",-,-,15,"236,071",10,"137,828",9,"188,569",7,"114,077",17,"248,925",7,"124,985",13,"209,180"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,광진구,293,"7,334,219",266,"8,863,877",315,"11,013,582",313,"12,185,295",356,"12,626,865",355,"13,389,838",334,"11,360,783",306,"12,292,823",269,"10,608,009",277,"10,530,526",308,"12,877,294",284,"11,655,818"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,구로구,508,"12,352,939",645,"20,877,660",606,"12,921,520",567,"13,850,938",553,"13,596,032",617,"13,546,180",532,"10,045,769",666,"12,257,460",569,"11,215,318",624,"12,767,021",555,"11,220,712",605,"12,467,307"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,노원구,779,"20,245,711",858,"18,672,481",882,"19,008,586",807,"17,775,502",946,"22,348,049",941,"25,141,567",906,"22,710,196",876,"21,566,889",860,"23,321,106",959,"22,853,792",974,"23,170,046",998,"24,444,732"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,도봉구,3,"82,409",9,"128,328",3,"114,070",-,-,1,"37,246",1,"39,578",3,"111,738",2,"76,824",1,"37,246",6,"131,531",2,"81,580",0,"2,468"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,동대문구,131,"2,794,736",146,"2,916,691",142,"3,691,555",148,"3,938,645",174,"5,357,765",190,"6,091,253",220,"4,914,606",240,"5,906,031",216,"5,311,764",270,"7,729,313",220,"7,523,220",212,"8,361,319"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,동작구,370,"11,241,376",427,"13,576,387",427,"14,745,769",447,"15,995,468",472,"15,278,844",432,"13,073,069",419,"10,087,770",398,"13,324,863",492,"10,328,289",532,"15,476,414",460,"15,733,281",633,"22,028,494"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,마포구,1,"33,811",2,"38,797",1,"22,618",2,"37,306",3,"66,686",3,"68,319",2,"53,864",3,"75,171",3,"64,590",2,"43,227",3,"58,398",1,"23,942"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,서대문구,"1,752","56,188,402","1,705","52,894,828","1,635","53,309,530","1,739","58,221,626","1,665","61,007,665","1,472","57,000,732","1,447","58,476,198","1,407","60,276,496","1,330","51,239,299",781,"29,322,127",746,"34,316,139",755,"36,605,800"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,서초구,"1,437","52,795,556","1,584","64,600,028","1,764","76,978,054","1,846","82,076,934","1,881","78,905,291","1,602","77,648,919","1,643","69,370,898","1,719","81,463,042","1,690","81,620,879","1,581","64,618,400","1,189","46,267,726","1,261","44,777,781"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,성동구,197,"5,966,692",218,"6,484,623",206,"7,555,639",175,"4,325,851",202,"6,530,866",127,"3,988,202",241,"5,906,237",215,"4,760,333",108,"2,357,768",152,"3,295,517",137,"3,893,840",150,"2,889,731"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,성북구,280,"8,049,341",341,"7,733,204",295,"5,645,728",268,"7,441,385",484,"12,482,283",416,"12,723,446",314,"7,150,544",392,"12,003,011",281,"9,859,694",352,"12,575,513",271,"7,656,746",358,"7,432,492"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,송파구,"1,532","74,505,426","1,599","82,606,807","1,485","87,691,405","1,885","102,785,779","1,777","105,286,094","1,742","95,270,771","1,646","94,560,467",523,"59,635,085",581,"63,166,621",655,"65,240,597",606,"73,491,954",891,"92,741,629"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,양천구,654,"13,319,263",668,"13,510,720",612,"13,000,724",634,"16,559,892",685,"16,927,629",705,"16,320,269",640,"19,873,589",710,"20,007,641",733,"20,935,996",739,"20,338,511",762,"23,499,256",677,"23,252,939"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,영등포구,313,"8,475,374",278,"8,222,472",261,"7,051,672",255,"6,401,214",327,"8,474,982",309,"9,181,178",360,"8,912,916",392,"9,236,671",334,"7,331,076",374,"8,962,120",264,"8,273,051",305,"9,781,369"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,용산구,141,"2,316,956",156,"2,423,587",151,"2,246,196",176,"2,543,753",209,"4,033,006",219,"4,897,382",222,"5,231,430",183,"8,128,591",138,"4,203,654",206,"8,292,988",143,"5,190,130",157,"3,563,308"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,은평구,8,"207,815",10,"282,263",10,"332,217",11,"361,129",19,"635,522",5,"122,183",7,"156,462",17,"521,858",15,"451,146",18,"525,534",30,"840,385",34,"972,742"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,종로구,"1,291","31,700,364","2,188","44,027,577","2,204","44,129,282","2,196","45,154,335","2,231","55,594,633","1,456","48,257,210","1,998","45,504,475","1,102","44,537,799","1,029","42,435,870","1,139","45,204,686","1,119","38,782,980","1,492","53,045,528"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,중구,108,"6,523,450",118,"6,662,352",167,"9,067,494",140,"6,623,018",141,"7,288,233",174,"7,786,520",150,"9,620,118",210,"7,348,498",177,"5,775,946",180,"5,429,229",177,"5,336,139",212,"7,429,687"
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,서울,중랑구,27,"130,465",30,"153,342",42,"153,703",24,"164,082",51,"273,862",36,"218,826",39,"202,549",35,"174,827",21,"150,766",36,"181,516",33,"208,490",33,"186,597"
