ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
L02B,HORMONE ANTAGONISTS AND RELATED AGENTS,서울,강남구,"235,433","491,924,150","256,371","541,366,748","217,303","452,881,780","216,090","437,285,315","252,155","492,422,348","224,030","452,937,960","240,313","456,136,654","257,789","502,353,413","217,160","439,301,953","253,174","482,266,158","225,419","444,810,103","199,438","419,782,086"
L02B,HORMONE ANTAGONISTS AND RELATED AGENTS,서울,강동구,"37,050","87,387,590","33,945","78,430,995","39,519","86,857,537","38,907","93,554,308","40,784","90,497,726","40,673","91,549,674","32,320","81,393,603","37,352","84,941,958","36,452","81,427,181","33,428","79,620,325","40,680","77,171,893","37,842","87,403,794"
L02B,HORMONE ANTAGONISTS AND RELATED AGENTS,서울,강북구,"1,613","2,585,508","1,646","3,960,571","2,799","3,458,545","1,436","2,758,202","2,669","3,076,340","1,251","3,147,222","2,362","4,132,570","1,326","5,917,278","1,735","5,928,482","2,397","6,772,686","2,797","7,196,653","1,196","1,976,654"
L02B,HORMONE ANTAGONISTS AND RELATED AGENTS,서울,강서구,"6,756","8,449,182","10,039","13,804,914","8,634","13,883,434","8,412","11,278,686","8,623","12,060,662","9,207","16,640,975","7,728","11,294,498","9,199","12,990,247","9,850","12,470,885","9,329","17,517,129","8,587","12,866,547","9,069","14,581,068"
L02B,HORMONE ANTAGONISTS AND RELATED AGENTS,서울,관악구,"3,946","4,903,118","3,735","4,983,812","2,779","2,975,704","3,226","6,908,202","4,156","6,272,928","2,536","3,173,376","4,427","6,112,446","4,209","6,114,600","3,394","4,229,770","2,491","3,741,874","3,896","5,736,596","2,296","2,021,729"
L02B,HORMONE ANTAGONISTS AND RELATED AGENTS,서울,광진구,"34,957","60,385,721","37,456","74,953,808","34,621","69,191,464","38,632","76,209,965","37,858","70,451,817","38,204","64,405,210","33,317","64,608,284","40,106","79,668,431","33,148","63,651,260","34,189","62,644,718","38,486","64,133,560","31,304","61,725,912"
L02B,HORMONE ANTAGONISTS AND RELATED AGENTS,서울,구로구,"34,287","84,374,347","32,870","86,140,647","29,406","61,265,502","37,068","92,805,753","30,387","71,974,016","26,077","58,486,138","31,823","81,153,310","29,430","66,702,769","31,240","73,694,922","35,256","76,951,577","26,368","69,589,132","26,338","65,480,920"
L02B,HORMONE ANTAGONISTS AND RELATED AGENTS,서울,금천구,"1,667","3,963,210",600,"1,843,390",876,"1,165,791",829,"1,933,734","1,230","2,874,997","1,177","1,800,667","1,435","3,084,980","1,073","1,893,370",841,"1,056,776","1,023","2,290,836","1,514","2,666,980","1,154","2,260,379"
L02B,HORMONE ANTAGONISTS AND RELATED AGENTS,서울,노원구,"71,209","144,459,700","76,882","150,304,931","60,038","117,748,670","73,047","149,886,790","74,301","157,754,383","77,316","166,601,837","67,810","143,545,104","74,511","143,889,358","59,666","133,638,093","69,278","136,374,501","77,874","153,831,571","64,511","138,565,205"
L02B,HORMONE ANTAGONISTS AND RELATED AGENTS,서울,도봉구,"2,641","7,053,982","2,253","5,179,932","2,821","9,311,955","2,928","9,980,136","3,012","10,392,402","3,098","13,188,199","1,984","9,487,844","2,398","8,285,402","3,150","15,767,089","3,858","16,709,958","2,336","8,149,987","3,421","13,461,224"
