ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
L04A,IMMUNOSUPPRESSANTS,서울,강남구,"821,961","2,745,183,349","820,764","2,789,592,579","770,525","2,664,966,714","855,704","2,920,160,539","850,040","3,096,591,818","737,380","2,570,800,966","865,465","2,899,030,084","821,614","2,960,960,023","739,407","2,675,744,038","844,731","2,879,457,101","793,187","2,795,143,740","719,719","2,589,956,469"
L04A,IMMUNOSUPPRESSANTS,서울,강동구,"172,599","737,738,911","155,940","688,995,999","175,926","704,372,892","152,732","625,873,402","171,096","739,927,105","146,852","648,946,749","166,793","646,979,813","156,527","669,959,807","145,432","676,343,352","160,559","610,465,974","144,349","582,906,557","144,191","633,733,278"
L04A,IMMUNOSUPPRESSANTS,서울,강북구,"15,300","26,050,133","14,875","21,816,027","15,811","24,191,358","14,995","22,955,344","17,324","25,241,852","16,164","24,507,282","13,475","21,889,053","13,494","23,125,964","13,276","21,575,389","13,997","23,924,404","12,479","20,644,844","12,208","20,663,374"
L04A,IMMUNOSUPPRESSANTS,서울,강서구,"9,132","32,427,642","7,690","26,542,366","8,718","29,997,372","8,606","26,980,567","7,711","25,309,406","8,868","31,146,630","8,312","24,991,047","7,352","23,752,302","7,464","24,622,727","8,406","23,381,628","6,420","23,417,673","8,604","26,734,976"
L04A,IMMUNOSUPPRESSANTS,서울,관악구,"10,809","28,813,045","7,896","22,646,890","8,510","24,392,437","12,550","34,030,631","9,914","28,978,457","10,781","25,838,022","10,194","25,050,241","10,302","27,245,355","9,375","22,566,940","10,658","27,066,133","9,526","21,631,226","10,182","23,118,559"
L04A,IMMUNOSUPPRESSANTS,서울,광진구,"60,265","221,998,327","67,380","363,194,292","68,710","354,162,647","70,880","398,751,688","69,070","365,857,861","72,182","437,362,887","73,450","360,116,662","68,270","355,563,698","68,296","336,367,713","71,730","341,810,517","61,304","346,770,863","81,218","430,902,321"
L04A,IMMUNOSUPPRESSANTS,서울,구로구,"65,702","389,731,670","71,318","464,682,726","74,420","440,335,614","69,533","373,927,228","76,081","493,930,900","70,584","396,643,645","59,259","392,043,734","72,820","414,111,789","59,320","354,700,938","72,328","405,757,966","62,811","376,532,868","56,419","352,457,735"
L04A,IMMUNOSUPPRESSANTS,서울,금천구,"1,876","3,786,863","2,687","8,515,302","1,808","3,206,697","2,090","4,897,557","2,190","6,059,387","2,006","3,502,303","2,409","5,860,701","2,799","5,904,183","2,031","4,297,985","2,748","6,230,227","2,664","12,949,760","2,693","13,923,399"
L04A,IMMUNOSUPPRESSANTS,서울,노원구,"43,375","337,884,824","36,118","332,934,142","44,734","350,570,453","41,856","333,467,381","42,504","355,226,714","41,297","332,860,831","45,129","328,544,538","39,677","323,983,528","39,449","319,773,805","39,896","318,940,969","33,510","293,574,249","42,818","326,452,522"
L04A,IMMUNOSUPPRESSANTS,서울,도봉구,"3,716","10,511,144","3,584","8,197,055","4,936","12,347,781","3,112","8,370,960","3,674","9,584,090","4,341","10,338,257","3,072","10,203,868","3,734","8,660,778","3,622","7,564,996","3,452","6,266,790","2,528","5,828,113","2,386","5,386,903"
L04A,IMMUNOSUPPRESSANTS,서울,동대문구,"72,063","383,217,640","98,462","610,682,753","105,404","664,757,238","98,640","703,836,492","109,582","696,436,301","97,454","706,932,774","96,336","647,042,530","102,008","663,131,150","93,144","596,501,100","98,114","670,755,281","91,658","600,507,895","91,108","603,466,171"
L04A,IMMUNOSUPPRESSANTS,서울,동작구,"111,154","545,975,484","97,095","469,093,418","98,766","447,874,430","100,334","474,244,276","97,839","477,785,469","100,645","454,849,820","95,057","444,098,370","91,797","445,538,423","87,648","380,732,504","90,057","440,825,062","81,700","402,780,444","88,907","385,312,854"
L04A,IMMUNOSUPPRESSANTS,서울,마포구,"5,205","15,600,913","4,160","14,596,357","6,042","14,349,580","4,311","12,892,802","3,969","12,995,129","5,304","14,255,774","4,787","13,194,355","4,959","15,828,707","6,743","17,520,945","4,602","12,073,434","4,322","15,059,544","4,567","10,992,120"
L04A,IMMUNOSUPPRESSANTS,서울,서대문구,"709,366","2,762,303,501","722,814","2,704,011,861","699,627","2,669,244,632","709,886","2,622,426,811","717,374","2,681,991,194","703,934","2,598,866,063","672,274","2,380,748,497","711,077","2,560,708,976","650,150","2,412,927,204","671,878","1,718,425,829","627,620","1,653,693,993","614,100","1,648,714,205"
L04A,IMMUNOSUPPRESSANTS,서울,서초구,"547,055","2,844,930,866","528,202","2,549,613,974","542,839","2,749,832,639","538,227","2,647,058,450","540,173","2,763,976,015","558,846","2,753,432,156","504,547","2,718,055,920","535,411","2,637,903,580","572,249","2,731,786,224","547,331","2,729,592,375","491,491","2,402,289,505","253,368","878,894,690"
L04A,IMMUNOSUPPRESSANTS,서울,성동구,"265,929","1,561,264,517","260,899","1,508,362,399","252,508","1,478,777,629","255,796","1,513,210,289","277,095","1,594,448,430","254,348","1,419,888,486","241,134","1,437,452,448","257,558","1,493,337,752","240,518","1,388,428,308","262,583","1,502,909,470","235,939","1,377,902,729","243,484","1,508,458,007"
L04A,IMMUNOSUPPRESSANTS,서울,성북구,"94,893","349,392,139","114,956","383,999,776","94,714","321,031,867","95,794","349,223,230","115,131","376,860,838","91,602","348,292,535","109,565","348,525,446","95,673","330,072,902","98,560","344,613,187","108,809","366,542,456","91,036","299,778,111","96,695","373,639,555"
L04A,IMMUNOSUPPRESSANTS,서울,송파구,"1,566,236","5,325,647,488","1,550,461","5,188,200,807","1,500,279","5,149,964,811","1,603,166","5,267,055,597","1,521,102","5,385,888,940","1,516,414","4,985,261,224","1,503,658","5,003,893,584","1,501,740","3,462,593,838","1,445,548","3,384,550,231","1,572,892","3,543,180,465","1,382,481","3,238,781,774","1,452,714","3,474,200,228"
