ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
M01C,SPECIFIC ANTIRHEUMATIC AGENTS,서울,강남구,,,"13,954","4,955,896",,,,,"13,260","4,769,044","7,839","3,038,454","8,461","3,250,166","11,326","4,044,656","10,420","3,924,980","12,912","4,556,892","11,188","4,006,201","8,657","3,129,270"
M01C,SPECIFIC ANTIRHEUMATIC AGENTS,서울,강동구,,,710,"244,660",,,,,"1,082","352,612",421,"127,571","1,068","348,888","1,146","434,436",635,"185,380",581,"221,146",940,"333,320",756,"253,852"
M01C,SPECIFIC ANTIRHEUMATIC AGENTS,서울,강북구,,,550,"245,300",,,,,634,"282,764","1,026","392,796",785,"350,110","1,398","623,508",219,"97,674",132,"58,872",192,"85,632",460,"140,720"
M01C,SPECIFIC ANTIRHEUMATIC AGENTS,서울,강서구,,,"1,658","739,468",,,,,"2,318","990,628","1,382","616,372","2,050","871,100","1,147","511,562","2,204","939,784","1,242","553,932","3,168","1,262,568","1,758","784,068"
M01C,SPECIFIC ANTIRHEUMATIC AGENTS,서울,관악구,,,"2,396","1,047,576",,,,,"2,938","1,280,892","2,741","1,196,712","3,502","1,544,534","2,852","1,266,469","1,951","857,259","3,216","1,422,764","2,514","1,102,571","2,533","1,111,045"
M01C,SPECIFIC ANTIRHEUMATIC AGENTS,서울,광진구,,,678,"265,768",,,,,"2,138","733,328","1,958","840,868","2,420","776,177","1,312","493,989","2,266","828,479","1,547","619,482","2,739","1,158,594","2,514","1,011,668"
M01C,SPECIFIC ANTIRHEUMATIC AGENTS,서울,구로구,,,"3,462","1,236,612",,,,,"3,827","1,525,582","5,661","1,926,846","4,072","1,502,552","3,739","1,335,428","7,925","2,519,545","4,872","1,959,144","3,917","1,541,669","4,363","1,516,298"
M01C,SPECIFIC ANTIRHEUMATIC AGENTS,서울,금천구,,,500,"179,800",,,,,207,"92,322",621,"190,566",304,"135,584",668,"211,528",90,"40,140",782,"262,372",212,"94,552","1,837","540,062"
M01C,SPECIFIC ANTIRHEUMATIC AGENTS,서울,노원구,,,"3,937","1,675,982",,,,,"3,803","1,663,198","4,506","1,853,256","3,774","1,683,204","3,927","1,685,382","3,968","1,725,118","4,437","1,914,852","4,002","1,678,373","4,157","1,811,048"
M01C,SPECIFIC ANTIRHEUMATIC AGENTS,서울,도봉구,,,-,-,,,,,-,-,56,"24,976",72,"32,112",184,"82,064",56,"24,976",-,-,120,"53,520",-,-
M01C,SPECIFIC ANTIRHEUMATIC AGENTS,서울,동대문구,,,"1,667","743,365",,,,,"1,958","872,554","1,560","676,460",994,"443,324","1,266","533,756","1,541","671,846","1,487","663,202","1,884","813,384","2,421","1,072,086"
M01C,SPECIFIC ANTIRHEUMATIC AGENTS,서울,동작구,,,"1,558","456,584",,,,,"1,258","386,546","1,861","635,378","1,480","423,278","1,810","556,364","1,548","528,612","2,914","865,940","2,131","523,745","1,630","586,555"
