ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",서울,강남구,"680,023","86,579,481","682,847","87,333,715","682,302","87,025,787","703,198","89,638,383","775,502","99,325,646","724,412","93,852,298","761,275","98,952,121","735,408","95,081,246","730,907","94,829,520","788,185","101,613,064","686,632","88,218,854","703,055","90,352,812"
M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",서울,강동구,"720,454","68,793,289","729,642","68,421,612","704,541","67,620,155","747,994","70,935,965","768,955","72,643,008","707,907","67,870,471","728,154","68,941,136","719,111","67,747,113","684,093","66,412,382","733,275","69,026,618","645,073","61,533,360","652,692","62,038,557"
M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",서울,강북구,"252,643","27,707,472","262,824","27,763,898","256,425","28,290,418","275,599","29,611,703","287,260","31,316,097","272,996","30,218,276","276,894","30,511,333","273,335","30,241,513","264,191","29,372,122","292,429","31,796,120","253,500","27,842,016","271,744","28,809,435"
M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",서울,강서구,"457,960","59,657,891","463,197","59,901,148","473,486","60,390,731","487,277","62,064,245","513,000","65,682,665","502,698","63,976,060","489,708","62,195,051","488,890","61,817,925","482,215","61,028,700","494,073","61,315,737","459,181","56,772,463","472,695","58,158,217"
M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",서울,관악구,"337,758","42,389,624","326,110","41,081,180","326,904","40,963,953","342,621","42,822,959","344,404","43,611,652","347,710","43,780,222","353,275","44,558,790","348,596","43,643,336","346,337","43,305,755","360,950","44,619,547","317,598","39,398,205","324,412","40,666,197"
M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",서울,광진구,"240,473","30,494,316","235,786","29,875,373","238,810","30,074,500","237,117","29,670,479","245,714","30,905,134","238,849","30,041,471","246,272","30,530,157","243,345","30,675,182","241,444","30,288,224","247,892","31,043,082","226,890","28,156,915","224,416","28,567,272"
M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",서울,구로구,"365,239","42,096,927","362,568","41,842,147","363,472","41,864,122","360,768","41,785,949","376,238","43,684,702","355,585","41,261,068","364,655","42,311,541","371,587","42,850,158","356,183","40,320,685","387,410","44,037,212","338,027","38,252,499","359,795","40,184,254"
M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",서울,금천구,"242,005","30,658,622","235,329","29,965,935","239,700","30,772,409","248,165","31,934,579","244,464","31,321,605","235,324","29,773,770","239,899","30,295,799","237,972","29,651,373","225,788","27,790,164","236,634","29,290,554","207,260","25,688,554","210,202","26,012,591"
M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",서울,노원구,"409,537","51,460,352","420,241","52,248,538","418,165","51,952,775","433,362","53,768,769","441,970","54,820,064","429,867","52,419,173","429,057","52,224,400","428,431","52,117,281","434,403","52,670,734","438,567","53,620,868","411,926","50,746,785","410,006","50,889,378"
M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",서울,도봉구,"236,771","28,962,736","220,522","26,873,164","228,629","27,734,232","235,113","28,561,768","237,876","28,451,294","237,079","28,310,703","235,320","28,072,882","229,644","27,515,400","235,562","28,098,699","239,628","28,784,945","220,435","26,450,051","210,663","25,373,851"
M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",서울,동대문구,"504,816","61,917,064","520,980","63,449,502","504,746","61,562,800","523,036","64,115,922","538,757","66,111,449","510,258","63,015,790","526,219","64,101,913","513,621","61,507,060","493,847","58,236,908","535,143","63,420,434","481,778","57,126,437","485,318","57,704,515"
M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",서울,동작구,"337,430","43,196,372","354,990","45,103,342","339,689","43,123,704","361,289","45,934,171","376,591","47,823,915","347,319","44,274,253","339,038","43,399,915","362,087","45,515,382","324,869","41,222,977","356,038","44,718,840","319,405","40,436,484","318,405","40,045,610"
M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",서울,마포구,"155,291","18,937,363","151,894","18,611,952","168,431","20,636,294","167,014","20,357,439","164,239","20,018,061","157,102","19,171,242","153,463","18,786,996","163,952","19,899,390","159,894","19,396,418","162,258","19,727,681","152,810","18,649,336","150,264","18,323,865"
M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",서울,서대문구,"303,202","37,317,582","310,861","38,070,316","314,031","38,349,792","323,547","39,402,788","331,022","40,411,502","318,863","38,892,873","318,465","38,912,620","328,522","40,036,580","299,578","36,377,557","326,344","39,895,190","287,650","35,377,774","314,870","38,950,809"
M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",서울,서초구,"400,886","50,588,156","395,866","49,883,187","394,632","50,289,716","402,139","50,666,999","439,704","55,417,877","410,091","51,142,637","401,575","50,163,439","431,459","54,192,141","422,239","52,857,212","446,474","56,207,811","413,587","51,772,308","409,382","51,271,687"
