ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
M04A,ANTIGOUT PREPARATIONS,서울,강남구,"229,743","31,707,173","235,632","32,612,272","257,565","34,247,745","257,367","33,966,328","267,782","34,538,433","239,024","30,459,580","238,057","28,101,643","240,973","28,682,727","250,236","29,766,418","268,904","36,004,287","227,445","30,947,668","212,502","29,052,040"
M04A,ANTIGOUT PREPARATIONS,서울,강동구,"209,326","30,619,185","205,433","29,059,913","216,169","30,524,855","218,463","29,431,623","227,712","31,377,648","240,048","32,202,903","214,736","27,079,726","223,634","27,399,516","223,082","27,773,060","234,841","34,600,303","199,675","28,094,934","208,248","30,861,989"
M04A,ANTIGOUT PREPARATIONS,서울,강북구,"54,681","6,977,364","51,466","6,763,724","50,417","6,281,616","52,100","6,510,029","56,141","6,649,553","53,984","6,281,004","52,854","4,895,611","54,078","5,267,722","50,611","4,925,031","55,480","5,701,559","51,174","5,536,071","48,011","4,775,749"
M04A,ANTIGOUT PREPARATIONS,서울,강서구,"87,028","10,755,289","87,208","10,639,410","85,893","10,280,503","88,428","10,001,135","89,181","10,328,959","88,146","9,849,543","81,527","8,264,504","86,126","9,033,419","82,978","8,340,014","91,375","9,945,334","75,045","8,326,457","77,832","8,483,376"
M04A,ANTIGOUT PREPARATIONS,서울,관악구,"74,512","9,570,937","71,066","8,826,570","67,431","8,113,836","71,714","8,802,522","71,750","8,690,639","74,450","8,603,401","75,551","7,972,080","71,613","7,345,357","68,758","7,270,534","72,112","8,413,476","63,633","7,298,152","62,582","7,658,075"
M04A,ANTIGOUT PREPARATIONS,서울,광진구,"83,448","12,839,901","85,354","13,137,247","81,414","12,701,913","83,066","13,035,957","86,417","12,791,022","83,313","12,233,232","83,013","10,294,270","81,433","10,296,413","77,258","9,727,525","80,915","12,070,170","67,294","10,230,644","75,740","11,302,245"
M04A,ANTIGOUT PREPARATIONS,서울,구로구,"114,040","16,322,778","110,338","14,863,692","115,832","15,934,221","108,913","14,653,957","114,155","15,006,715","112,046","14,278,608","122,605","14,015,555","114,386","13,152,253","106,996","12,268,096","116,962","14,482,561","102,456","12,775,450","107,725","14,117,743"
M04A,ANTIGOUT PREPARATIONS,서울,금천구,"31,897","4,613,674","31,483","4,210,927","33,143","4,383,798","32,786","4,195,752","35,873","4,363,456","37,346","4,406,771","36,722","3,667,640","35,142","3,724,992","33,312","3,165,992","32,134","3,317,002","32,776","3,555,076","30,386","3,168,852"
M04A,ANTIGOUT PREPARATIONS,서울,노원구,"122,644","16,942,338","123,837","16,232,244","125,376","16,430,138","126,547","16,255,291","128,512","16,104,232","129,676","15,801,751","131,496","14,058,006","122,240","13,202,077","118,456","12,809,621","121,886","14,273,783","113,880","12,973,898","110,926","13,665,278"
M04A,ANTIGOUT PREPARATIONS,서울,도봉구,"52,940","6,559,223","49,862","6,311,590","52,842","6,366,987","55,935","6,569,167","56,710","6,246,333","52,604","6,145,600","54,509","5,215,999","50,706","4,875,330","47,173","4,280,335","55,518","6,000,396","47,144","5,250,114","49,552","5,337,074"
