ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
N01A,"ANESTHETICS, GENERAL",서울,강남구,"16,523","148,782,715","19,220","175,795,263","20,946","169,710,803","87,376","168,758,241","91,727","187,364,348","107,572","190,231,165","167,922","182,508,890","191,550","187,893,998","297,500","176,693,583","350,885","204,837,347","294,970","172,421,157","358,148","216,647,082"
N01A,"ANESTHETICS, GENERAL",서울,강동구,"5,370","55,481,133","5,446","55,051,293","6,133","51,485,946","7,116","44,511,415","8,893","52,425,862","9,197","48,718,890","63,505","51,682,914","70,419","59,216,462","58,197","54,556,772","84,170","54,040,406","65,362","51,121,355","72,719","46,365,002"
N01A,"ANESTHETICS, GENERAL",서울,강북구,372,"3,088,301",772,"3,310,895",768,"2,595,306",805,"3,152,755","1,093","3,656,029","1,023","2,812,631","2,104","3,240,147","2,534","3,253,175","5,108","3,066,938","5,375","2,904,788","5,578","3,062,602","6,706","3,466,462"
N01A,"ANESTHETICS, GENERAL",서울,강서구,"2,171","17,645,843","2,017","15,780,917","2,126","17,629,285","4,513","15,780,507","5,796","17,762,998","5,570","19,606,216","11,774","20,191,234","13,355","18,725,534","21,988","16,580,201","25,929","20,035,289","19,499","13,947,380","32,467","22,281,753"
N01A,"ANESTHETICS, GENERAL",서울,관악구,"1,164","12,179,721",975,"10,584,970",922,"8,701,046","1,949","9,628,859","2,413","11,129,970","2,084","15,191,350","4,429","10,254,802","4,304","9,805,709","4,308","7,807,999","7,792","9,868,553","7,746","8,055,412","10,748","9,673,177"
N01A,"ANESTHETICS, GENERAL",서울,광진구,"3,043","30,134,930","3,411","34,645,301","3,030","31,710,831","3,281","29,555,630","5,345","34,157,529","4,824","33,535,730","6,571","31,407,416","7,951","36,696,903","8,050","34,796,668","9,108","38,285,087","8,726","29,730,310","8,075","38,842,779"
N01A,"ANESTHETICS, GENERAL",서울,구로구,"2,873","33,196,914","3,375","39,337,415","2,903","35,073,735","4,753","34,584,434","5,671","40,467,024","5,618","42,305,889","5,730","40,707,953","5,470","39,490,350","63,421","34,225,204","82,318","41,256,566","59,252","29,324,248","77,905","39,137,572"
N01A,"ANESTHETICS, GENERAL",서울,금천구,498,"4,880,831",499,"3,859,397",551,"3,411,724","3,710","4,588,101","4,511","4,448,743","3,671","4,148,985","3,416","3,819,287","3,870","4,529,109","2,280","2,994,847","3,198","4,210,472","4,037","4,021,535","5,670","4,982,558"
N01A,"ANESTHETICS, GENERAL",서울,노원구,"9,819","63,517,035","13,816","108,295,346","10,962","69,261,592","12,174","84,604,771","9,059","54,584,351","7,834","59,523,863","7,597","43,584,628","9,804","52,515,456","23,292","48,503,075","40,278","54,484,155","48,133","41,715,812","72,550","62,060,682"
N01A,"ANESTHETICS, GENERAL",서울,도봉구,750,"9,307,797",637,"6,895,763",665,"6,960,390","4,151","6,783,131","6,035","9,013,935","4,874","7,239,523","2,133","9,035,391","5,446","6,688,817","5,219","6,777,428","13,467","7,609,738","15,772","7,964,871","17,541","8,657,150"
