ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
N01B,"ANESTHETICS, LOCAL",서울,강남구,"70,539","40,463,928","72,489","42,329,826","71,249","42,116,250","64,142","38,817,292","73,443","43,098,083","71,262","42,258,507","70,402","42,882,846","69,940","42,034,995","69,231","40,556,984","76,079","47,424,717","66,920","42,135,206","70,399","45,191,094"
N01B,"ANESTHETICS, LOCAL",서울,강동구,"39,941","21,616,091","39,744","22,003,206","38,727","20,612,399","37,130","20,390,660","41,186","22,194,063","39,568","20,897,103","39,061","20,631,235","39,681","21,359,643","38,927","21,021,076","41,975","23,104,328","35,293","19,692,212","38,229","21,394,562"
N01B,"ANESTHETICS, LOCAL",서울,강북구,"21,687","9,774,466","21,201","9,667,660","20,706","9,324,197","19,328","8,792,278","20,978","9,414,778","20,969","9,606,827","20,375","9,360,661","20,376","9,509,509","20,349","9,568,597","21,556","9,900,876","18,282","8,577,950","19,424","8,821,296"
N01B,"ANESTHETICS, LOCAL",서울,강서구,"34,996","21,642,791","34,564","21,438,868","34,114","21,448,426","30,064","18,809,782","33,056","19,379,486","32,404","19,240,169","33,733","21,895,394","34,284","22,343,203","33,141","20,664,177","35,614","22,256,834","30,615","19,766,771","32,070","21,410,793"
N01B,"ANESTHETICS, LOCAL",서울,관악구,"32,457","15,680,018","32,695","15,472,607","30,828","14,560,900","28,534","13,972,231","30,479","14,765,786","29,696","14,517,368","29,107","14,615,625","30,268","14,772,328","30,359","14,935,230","33,114","15,948,163","28,047","13,946,451","30,296","14,749,782"
N01B,"ANESTHETICS, LOCAL",서울,광진구,"22,544","14,271,483","22,999","14,077,961","22,306","13,386,867","19,311","11,705,441","22,512","13,279,694","21,838","12,876,169","21,818","13,337,449","21,649","12,822,122","21,352","12,626,624","23,130","13,840,050","19,882","12,261,956","21,526","13,719,697"
N01B,"ANESTHETICS, LOCAL",서울,구로구,"27,431","15,523,098","26,451","15,455,387","25,802","15,096,651","23,394","13,974,882","26,006","15,822,222","26,142","16,378,878","26,877","17,515,272","25,781","15,978,778","26,636","16,886,246","27,507","16,751,549","23,399","13,980,769","25,302","16,912,169"
N01B,"ANESTHETICS, LOCAL",서울,금천구,"16,809","8,618,165","15,926","8,354,948","16,096","8,559,427","14,197","7,890,087","15,920","8,418,812","15,430","8,311,707","15,880","8,394,127","15,436","7,989,954","15,368","7,934,161","16,936","8,832,442","13,674","7,314,327","14,612","8,311,494"
N01B,"ANESTHETICS, LOCAL",서울,노원구,"31,376","16,286,302","31,598","16,264,053","30,687","15,858,177","28,128","14,391,570","31,271","15,605,211","29,886","15,174,435","28,878","14,692,746","28,766","15,219,042","28,988","15,135,451","31,399","16,073,543","27,418","14,431,486","29,798","16,022,154"
N01B,"ANESTHETICS, LOCAL",서울,도봉구,"17,031","11,405,786","16,550","10,553,361","16,215","9,942,248","14,310","8,607,963","15,716","9,594,562","16,013","10,068,827","15,898","9,407,076","15,565","9,677,355","15,905","9,802,669","16,614","10,778,341","14,735","9,369,867","16,252","11,984,879"
