ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
N02C,ANTIMIGRAINE PREPARATIONS,서울,강남구,"25,233","55,492,764","24,311","52,607,366","24,995","55,674,116","22,952","49,659,781","26,403","55,000,528","22,782","48,769,350","24,285","51,947,908","22,704","49,648,316","21,145","45,237,596","24,525","47,621,732","21,661","46,101,352","21,310","42,986,658"
N02C,ANTIMIGRAINE PREPARATIONS,서울,강동구,"11,134","12,851,029","11,100","12,829,277","11,924","13,022,018","12,683","13,777,855","11,669","14,729,721","10,491","11,360,873","11,205","13,101,901","11,094","11,248,588","11,048","12,660,277","11,532","12,421,441","10,370","12,018,839","9,520","11,309,444"
N02C,ANTIMIGRAINE PREPARATIONS,서울,강북구,"5,455","4,257,706","4,956","4,606,315","5,276","4,436,815","5,277","5,204,616","5,438","4,180,509","5,455","5,423,401","5,218","5,130,773","5,772","6,392,618","5,452","4,512,140","5,104","4,361,771","4,873","4,543,009","5,315","5,572,649"
N02C,ANTIMIGRAINE PREPARATIONS,서울,강서구,"7,944","8,897,874","8,058","8,696,351","7,342","8,122,792","7,206","7,777,590","7,642","7,611,886","7,092","7,977,743","6,742","7,401,223","7,466","7,279,172","6,448","7,011,494","6,884","5,862,503","6,550","6,565,116","6,138","5,702,495"
N02C,ANTIMIGRAINE PREPARATIONS,서울,관악구,"8,595","6,154,968","7,305","5,931,648","7,080","6,258,190","8,291","7,101,081","7,514","6,608,233","8,015","5,722,286","6,846","5,849,913","7,058","5,759,016","7,700","5,542,306","6,939","5,755,628","6,956","5,522,562","7,679","5,003,847"
N02C,ANTIMIGRAINE PREPARATIONS,서울,광진구,"7,260","9,233,534","7,406","8,083,894","7,788","9,808,616","8,499","10,288,782","7,828","9,354,262","7,728","8,512,454","7,117","8,645,603","6,808","9,154,597","6,633","8,502,816","7,892","8,910,725","6,406","8,580,356","7,339","8,929,088"
N02C,ANTIMIGRAINE PREPARATIONS,서울,구로구,"7,222","6,838,677","7,160","7,357,101","8,225","6,422,707","6,589","5,951,160","6,328","6,290,421","8,018","6,682,609","5,876","5,873,853","6,702","5,215,295","6,636","6,088,796","7,544","5,074,376","5,411","4,186,203","6,380","6,045,217"
N02C,ANTIMIGRAINE PREPARATIONS,서울,금천구,"4,287","2,487,234","3,632","1,456,630","3,973","1,878,486","4,166","2,164,329","3,840","1,683,124","4,064","1,671,516","3,746","1,723,186","3,548","1,082,596","4,042","1,828,899","2,926","1,689,934","3,308","1,348,220","4,116","2,367,066"
N02C,ANTIMIGRAINE PREPARATIONS,서울,노원구,"11,914","24,200,157","11,280","24,888,610","12,024","24,746,942","12,455","24,971,916","12,872","26,986,281","11,264","22,539,354","11,339","22,337,628","11,364","23,256,581","11,135","22,014,961","11,611","24,182,296","9,717","17,006,769","10,208","20,150,852"
N02C,ANTIMIGRAINE PREPARATIONS,서울,도봉구,"4,936","4,760,873","4,856","3,885,367","5,092","3,637,817","5,148","4,052,062","4,582","4,031,568","4,516","4,077,000","4,852","4,771,807","4,862","4,080,985","5,062","4,018,722","4,805","5,175,331","4,790","4,593,074","4,524","3,855,764"
