ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
N03A,ANTIEPILEPTICS,서울,강남구,"2,423,252","837,877,366","2,682,981","940,359,207","2,448,921","859,928,487","2,527,632","889,378,269","2,928,629","1,031,689,698","2,470,405","863,929,186","2,438,888","847,237,952","2,444,921","858,903,624","2,335,812","810,182,797","2,634,102","919,869,423","2,489,378","879,827,558","2,367,468","827,505,143"
N03A,ANTIEPILEPTICS,서울,강동구,"1,068,404","308,157,290","1,111,804","321,861,321","1,033,977","307,446,358","1,065,363","312,933,257","1,096,789","324,269,848","1,060,980","313,010,996","1,071,943","314,285,415","1,058,525","308,337,274","995,166","290,995,222","1,098,695","321,844,786","990,267","303,752,445","991,860","286,437,028"
N03A,ANTIEPILEPTICS,서울,강북구,"199,970","56,945,109","205,676","54,953,140","181,522","52,064,439","195,808","56,840,526","196,909","55,607,676","195,720","59,604,237","202,232","60,803,115","194,594","59,394,281","182,297","55,694,120","193,283","58,997,180","181,403","52,935,378","204,374","55,563,697"
N03A,ANTIEPILEPTICS,서울,강서구,"335,625","106,958,958","332,377","104,033,661","324,828","104,674,472","324,262","103,598,616","326,853","103,867,322","315,189","98,393,985","307,036","99,855,162","307,886","96,682,907","315,519","101,650,449","316,258","98,373,165","285,960","90,180,293","294,075","93,154,826"
N03A,ANTIEPILEPTICS,서울,관악구,"226,177","61,613,596","227,523","61,146,088","219,870","60,007,188","228,067","62,829,421","235,466","63,618,151","224,325","58,326,629","216,810","56,808,727","223,010","59,454,861","215,249","55,516,181","223,416","57,487,949","198,477","54,006,281","206,179","53,174,817"
N03A,ANTIEPILEPTICS,서울,광진구,"625,266","174,124,247","689,754","193,196,592","676,180","187,011,941","644,034","172,022,900","729,629","202,202,312","674,172","182,846,268","655,893","177,495,434","659,701","179,628,633","649,172","184,649,851","670,642","183,970,237","632,390","174,795,695","669,263","188,711,577"
N03A,ANTIEPILEPTICS,서울,구로구,"701,908","259,798,595","687,912","253,505,855","602,711","227,790,917","593,603","225,173,712","702,445","265,344,553","668,146","244,943,722","630,891","230,213,620","585,106","219,208,866","580,200","213,330,564","678,512","241,700,030","620,850","223,332,514","601,660","217,988,993"
N03A,ANTIEPILEPTICS,서울,금천구,"118,796","33,815,984","111,819","30,607,062","110,916","29,946,848","122,724","34,230,114","115,553","30,571,974","118,920","31,366,186","117,287","32,689,789","116,403","30,532,851","104,423","28,052,528","122,830","32,450,161","105,205","27,738,285","105,945","29,408,724"
N03A,ANTIEPILEPTICS,서울,노원구,"842,452","273,436,899","769,399","252,159,367","797,661","259,583,681","789,000","262,082,874","838,843","274,262,183","782,776","255,217,010","800,801","265,163,641","744,698","241,761,858","783,848","256,334,423","821,900","268,057,843","728,316","240,554,997","749,933","250,822,776"
N03A,ANTIEPILEPTICS,서울,도봉구,"278,940","89,055,538","281,848","88,055,679","279,127","88,395,344","273,420","90,768,584","293,508","92,651,518","289,118","95,309,404","280,963","88,682,590","266,833","89,332,489","267,815","85,601,712","262,203","88,703,031","240,098","76,168,060","256,346","85,725,930"
N03A,ANTIEPILEPTICS,서울,동대문구,"905,418","301,174,608","982,547","305,041,349","1,004,710","315,763,380","968,920","304,723,695","1,022,176","324,733,887","901,252","278,955,758","981,551","304,226,613","998,447","316,819,649","965,131","305,949,435","1,008,532","315,917,457","875,810","278,898,695","945,780","295,569,924"
N03A,ANTIEPILEPTICS,서울,동작구,"822,872","249,405,327","938,384","277,212,822","787,275","242,157,901","892,272","264,952,091","913,516","272,815,469","846,531","256,441,812","845,826","252,585,332","879,868","255,803,386","834,064","244,657,590","875,398","258,402,195","775,014","238,118,354","823,620","240,180,088"
N03A,ANTIEPILEPTICS,서울,마포구,"146,377","38,629,802","147,961","38,010,854","138,426","37,651,705","149,928","40,576,042","155,147","43,417,961","148,576","37,235,873","143,278","37,538,404","141,982","39,774,598","138,424","36,823,037","146,976","41,449,496","128,380","37,017,100","132,736","37,896,836"
N03A,ANTIEPILEPTICS,서울,서대문구,"2,220,360","859,693,844","2,149,004","820,485,839","2,088,259","808,843,806","2,179,427","844,305,838","2,223,017","874,826,540","2,199,811","858,275,004","2,005,712","779,014,982","2,051,620","789,491,746","2,124,344","797,315,192","2,184,621","844,307,240","1,909,721","754,001,406","1,958,602","790,250,344"
N03A,ANTIEPILEPTICS,서울,서초구,"914,683","296,349,763","877,162","282,929,736","894,074","291,000,574","918,956","300,868,574","960,793","322,580,274","885,036","294,767,218","904,184","302,547,865","865,831","277,711,530","878,111","286,474,395","892,035","287,894,053","817,081","280,188,020","774,603","288,633,447"
N03A,ANTIEPILEPTICS,서울,성동구,"362,411","132,298,645","346,392","126,468,503","332,786","122,634,503","352,544","130,679,046","355,900","130,849,928","342,692","122,612,368","359,064","128,752,781","331,832","117,927,247","336,517","119,787,626","361,492","130,363,449","318,472","110,996,439","335,183","119,250,391"
N03A,ANTIEPILEPTICS,서울,성북구,"549,213","190,433,751","560,423","191,421,606","504,158","178,718,029","537,255","179,081,908","610,477","205,524,533","498,183","170,693,077","508,095","176,932,452","521,604","182,889,054","480,695","168,041,444","534,642","182,542,499","476,083","166,714,825","502,629","178,679,416"
N03A,ANTIEPILEPTICS,서울,송파구,"1,683,871","621,949,139","1,864,776","664,537,610","1,819,056","643,828,559","1,797,654","637,667,473","1,962,465","688,502,577","1,834,590","649,736,775","1,773,550","625,519,021","1,641,503","572,274,150","1,625,615","566,549,724","1,834,808","650,568,752","1,611,093","580,305,334","1,805,444","649,648,074"
N03A,ANTIEPILEPTICS,서울,양천구,"521,797","175,518,998","534,331","177,997,630","521,825","173,459,265","534,276","185,613,195","551,197","184,293,959","538,505","182,022,272","523,015","176,710,131","535,541","183,294,476","493,592","166,247,670","518,864","177,361,841","478,449","163,644,186","517,745","167,491,030"
N03A,ANTIEPILEPTICS,서울,영등포구,"750,454","232,325,812","770,641","245,837,004","694,604","216,685,345","749,517","231,377,743","743,199","234,242,737","718,462","220,939,070","720,353","227,617,854","738,708","229,425,066","700,286","213,837,186","749,981","231,801,372","705,460","219,153,075","748,888","230,396,025"
N03A,ANTIEPILEPTICS,서울,용산구,"170,799","62,296,771","177,541","62,459,451","157,808","57,937,728","174,616","66,062,267","166,534","61,771,405","162,439","59,284,226","158,631","57,455,772","169,238","58,714,113","149,597","53,804,304","161,067","55,517,839","139,146","51,179,918","148,544","55,501,900"
N03A,ANTIEPILEPTICS,서울,은평구,"379,371","93,678,311","374,684","92,106,169","387,626","96,745,952","363,176","90,432,984","383,646","97,217,292","375,375","93,220,216","365,613","89,527,114","370,485","88,635,207","366,185","90,571,529","380,942","93,288,663","328,610","80,840,179","351,388","87,871,831"
N03A,ANTIEPILEPTICS,서울,종로구,"3,030,585","1,052,329,221","2,733,671","881,750,686","2,930,596","1,002,700,255","2,896,104","971,367,693","3,065,553","1,034,451,840","2,740,442","966,156,701","2,823,424","968,047,654","2,449,286","886,875,190","2,460,735","882,464,000","2,812,044","991,167,042","2,395,382","865,217,574","2,752,261","1,008,290,157"
N03A,ANTIEPILEPTICS,서울,중구,"292,198","89,146,227","287,942","93,330,933","296,876","94,386,305","285,517","93,530,062","300,425","96,309,859","293,603","94,398,150","277,017","88,217,901","280,057","90,180,569","272,969","87,186,266","285,302","90,256,018","273,605","88,337,445","276,028","88,966,277"
N03A,ANTIEPILEPTICS,서울,중랑구,"434,380","127,590,368","430,799","123,790,859","402,976","115,011,486","441,457","125,277,580","461,402","131,468,199","418,626","120,791,469","432,301","123,024,908","411,335","116,780,658","421,951","116,276,094","416,030","119,167,438","404,149","111,759,868","420,631","114,602,683"
