ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
N05C,HYPNOTICS AND SEDATIVES,서울,강남구,"250,949","45,324,070","251,387","46,563,314","245,215","44,603,230","245,513","45,491,777","247,439","46,753,464","244,749","45,972,865","270,157","51,884,838","270,425","51,182,866","271,898","51,687,125","290,071","55,798,137","262,253","50,029,146","260,099","49,951,208"
N05C,HYPNOTICS AND SEDATIVES,서울,강동구,"155,959","24,088,157","152,384","23,651,510","147,014","22,234,501","148,543","22,697,503","150,258","23,328,056","149,381","23,306,026","154,546","23,619,667","160,725","24,893,143","154,682","23,612,924","170,723","26,093,812","153,016","24,120,384","153,796","23,842,582"
N05C,HYPNOTICS AND SEDATIVES,서울,강북구,"96,218","14,335,586","92,117","13,643,852","92,939","13,798,532","91,856","13,501,475","94,909","13,992,070","90,086","13,397,233","93,655","13,924,457","97,266","14,411,058","94,663","14,085,383","101,960","15,098,819","97,211","14,178,118","94,977","13,961,070"
N05C,HYPNOTICS AND SEDATIVES,서울,강서구,"132,786","21,913,364","127,570","21,007,359","123,770","20,351,077","124,492","20,237,309","123,434","20,085,634","122,497","20,094,931","125,979","20,795,519","130,531","21,409,638","127,644","20,940,206","134,422","22,065,674","126,327","21,023,050","124,219","20,751,079"
N05C,HYPNOTICS AND SEDATIVES,서울,관악구,"96,178","14,798,733","93,817","14,331,470","92,793","14,095,626","93,914","14,157,752","95,835","14,783,939","95,751","14,464,170","99,316","14,979,882","100,060","15,146,781","101,264","15,542,076","109,277","17,303,086","101,386","15,826,208","101,754","15,898,555"
N05C,HYPNOTICS AND SEDATIVES,서울,광진구,"98,337","15,931,379","97,824","16,150,062","94,749","15,840,060","97,421","16,342,757","100,837","18,035,559","94,940","15,926,741","100,758","16,796,497","102,124","16,995,496","102,802","18,156,297","107,637","18,200,810","103,630","17,478,535","101,175","18,126,481"
N05C,HYPNOTICS AND SEDATIVES,서울,구로구,"94,483","17,672,887","88,866","16,670,240","87,635","16,331,206","88,232","16,689,369","86,658","16,786,193","88,442","16,737,809","90,904","17,325,726","90,638","16,808,701","91,917","17,217,358","99,043","18,937,251","90,555","18,108,762","90,428","17,941,120"
N05C,HYPNOTICS AND SEDATIVES,서울,금천구,"47,075","8,074,491","44,341","7,576,386","42,473","7,261,758","44,359","7,460,197","42,665","7,207,569","43,130","7,330,403","43,751","7,555,316","44,764","7,571,529","45,679","7,699,982","49,073","8,405,680","46,452","8,007,112","45,531","7,909,217"
N05C,HYPNOTICS AND SEDATIVES,서울,노원구,"142,923","25,511,864","144,124","25,172,348","139,689","24,383,301","142,618","25,283,397","145,306","26,388,140","144,670","27,076,343","147,149","26,881,030","155,128","29,062,587","154,902","29,305,177","163,517","30,327,254","151,258","29,543,841","145,998","27,342,327"
N05C,HYPNOTICS AND SEDATIVES,서울,도봉구,"73,834","12,921,017","69,070","12,166,375","68,442","11,925,387","68,483","12,063,609","68,743","11,978,863","67,319","11,830,936","70,535","12,367,345","72,437","12,868,266","71,681","13,347,027","75,703","13,507,690","71,512","12,994,083","73,073","13,664,913"
N05C,HYPNOTICS AND SEDATIVES,서울,동대문구,"163,482","24,191,098","166,469","25,182,113","161,549","24,368,426","166,797","25,256,894","162,690","24,637,275","162,488","25,080,418","165,655","25,733,067","168,433","26,217,718","170,943","26,447,144","182,215","28,273,312","168,029","26,619,178","170,091","27,009,672"
N05C,HYPNOTICS AND SEDATIVES,서울,동작구,"109,468","19,163,911","102,642","17,897,895","103,282","18,543,474","101,702","17,642,560","104,512","18,496,952","100,952","17,680,770","106,934","19,139,083","110,032","19,741,981","107,347","19,113,839","118,830","21,435,836","109,943","20,042,261","112,333","22,329,928"
N05C,HYPNOTICS AND SEDATIVES,서울,마포구,"86,289","13,582,173","86,398","13,608,436","86,496","13,697,640","87,193","13,595,290","84,578","13,429,357","84,974","13,161,485","88,173","13,869,961","88,138","13,943,182","91,198","14,379,768","96,665","15,281,105","91,963","14,633,124","88,766","14,218,740"
N05C,HYPNOTICS AND SEDATIVES,서울,서대문구,"132,470","28,201,182","127,298","24,835,565","128,903","26,212,316","132,060","29,056,349","129,980","28,005,846","125,435","25,839,382","126,295","24,588,859","132,383","26,482,077","133,242","28,582,615","131,481","25,594,327","120,441","25,034,647","115,744","23,245,063"
N05C,HYPNOTICS AND SEDATIVES,서울,서초구,"135,079","26,440,576","132,684","25,726,361","131,043","25,601,242","125,661","24,094,589","127,122","24,468,360","124,839","23,917,840","130,138","24,906,117","134,499","25,888,546","136,800","26,616,374","147,532","28,808,248","135,490","25,933,363","118,436","22,725,405"
N05C,HYPNOTICS AND SEDATIVES,서울,성동구,"59,632","12,208,521","56,496","11,801,242","55,219","11,372,541","56,359","12,268,858","57,053","12,689,472","56,083","11,996,652","58,284","12,695,991","59,680","12,435,742","59,909","12,458,885","64,747","13,625,163","60,660","12,857,976","59,989","13,867,700"
N05C,HYPNOTICS AND SEDATIVES,서울,성북구,"86,760","17,188,108","80,032","16,243,403","81,177","16,803,823","79,851","16,448,541","84,376","17,639,463","86,036","19,461,632","83,862","17,249,047","87,730","17,607,254","89,439","18,845,521","96,176","19,835,961","87,582","18,137,869","91,151","20,295,979"
N05C,HYPNOTICS AND SEDATIVES,서울,송파구,"172,564","32,942,215","170,450","32,487,203","171,838","32,767,861","168,109","31,815,269","168,389","32,227,943","167,938","32,343,582","173,575","33,119,166","176,166","31,872,212","174,786","31,417,776","191,970","34,851,380","171,221","31,045,181","177,231","33,276,596"
N05C,HYPNOTICS AND SEDATIVES,서울,양천구,"127,153","21,229,813","121,016","20,074,591","120,069","20,182,052","122,146","20,241,633","121,942","20,133,994","118,728","19,649,711","129,979","21,537,252","131,389","21,854,857","130,452","22,061,176","139,460","23,587,757","127,238","21,580,172","129,430","22,167,143"
N05C,HYPNOTICS AND SEDATIVES,서울,영등포구,"118,929","22,218,838","112,560","21,157,730","115,694","21,516,918","116,383","21,190,496","116,056","21,365,704","116,219","21,292,151","118,080","21,537,528","126,215","23,445,779","129,011","23,987,300","131,808","24,401,218","122,857","22,862,084","126,343","24,180,387"
N05C,HYPNOTICS AND SEDATIVES,서울,용산구,"54,584","11,127,514","53,885","11,002,107","52,791","10,899,612","54,156","11,710,765","51,890","10,895,613","50,806","10,408,566","53,640","11,670,197","54,531","11,575,516","56,733","11,807,875","56,727","11,911,874","54,290","11,821,177","54,339","11,550,062"
N05C,HYPNOTICS AND SEDATIVES,서울,은평구,"112,962","19,162,017","108,930","18,346,489","106,193","17,719,159","110,364","18,164,319","108,819","17,860,065","105,776","17,446,313","111,397","18,479,382","112,141","18,496,855","112,145","18,782,329","120,687","20,212,721","112,098","18,975,960","109,691","18,524,323"
N05C,HYPNOTICS AND SEDATIVES,서울,종로구,"134,694","27,330,911","136,479","28,070,305","135,295","27,988,252","139,461","28,760,810","142,851","29,799,054","133,250","27,669,882","147,217","30,536,144","140,943","28,902,831","135,614","27,977,065","151,811","31,609,120","136,729","29,072,314","137,438","29,813,670"
N05C,HYPNOTICS AND SEDATIVES,서울,중구,"63,750","11,714,850","62,397","11,319,938","60,166","10,878,499","61,450","10,955,624","62,461","11,333,858","60,120","11,081,525","65,706","12,006,426","66,573","12,111,953","65,357","11,996,230","72,320","13,443,945","64,392","11,696,749","66,276","12,845,431"
