ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
N06D,ANTI-DEMENTIA DRUGS,서울,강남구,"592,900","402,759,473","606,054","407,163,651","581,058","381,143,114","584,524","408,961,132","625,056","434,475,589","549,839","370,839,290","539,606","355,644,213","590,056","397,423,033","588,806","400,797,005","620,771","407,101,186","540,550","384,504,923","521,049","336,289,510"
N06D,ANTI-DEMENTIA DRUGS,서울,강동구,"686,810","361,215,226","670,825","375,629,890","656,889","344,028,326","670,518","368,154,559","684,880","380,580,074","652,657","347,295,846","674,579","368,962,696","664,337","357,354,832","614,608","331,007,165","693,484","379,654,629","606,880","324,255,510","593,584","333,043,869"
N06D,ANTI-DEMENTIA DRUGS,서울,강북구,"170,809","83,563,689","162,322","77,985,350","156,698","78,617,695","154,774","78,622,446","161,928","79,606,278","147,274","73,794,729","151,164","77,600,172","148,795","79,780,538","141,218","75,326,127","147,541","78,394,885","135,583","72,513,158","130,874","68,779,069"
N06D,ANTI-DEMENTIA DRUGS,서울,강서구,"174,786","104,948,184","172,207","109,168,550","156,935","92,048,318","148,415","86,116,021","147,788","84,567,433","143,164","82,473,771","146,832","84,807,345","143,296","82,276,991","137,504","80,027,917","144,584","82,917,386","127,034","69,807,044","126,248","70,233,236"
N06D,ANTI-DEMENTIA DRUGS,서울,관악구,"168,184","72,634,244","158,599","71,100,218","165,782","73,903,801","161,007","71,382,505","172,817","79,684,999","161,635","71,985,654","158,852","67,270,491","155,992","70,095,726","132,728","69,725,217","131,586","65,916,990","120,116","61,609,643","123,322","65,056,404"
N06D,ANTI-DEMENTIA DRUGS,서울,광진구,"211,292","161,088,130","223,915","185,976,558","206,724","164,962,960","210,585","170,142,415","212,399","178,208,122","206,091","167,210,705","198,709","161,802,358","205,082","162,962,571","195,039","159,274,293","207,228","168,073,654","187,539","155,242,633","182,844","153,627,222"
N06D,ANTI-DEMENTIA DRUGS,서울,구로구,"291,947","193,976,082","277,608","177,866,494","285,772","180,852,981","284,828","187,154,241","274,983","177,392,715","284,840","180,066,779","267,576","174,406,973","284,366","178,267,721","262,780","169,461,608","285,908","185,255,415","244,278","158,396,956","250,952","161,426,356"
N06D,ANTI-DEMENTIA DRUGS,서울,금천구,"80,268","50,078,490","78,341","45,708,656","71,450","41,141,108","70,084","44,738,184","73,318","43,029,705","69,656","41,038,243","67,246","36,059,206","71,048","42,021,496","66,372","37,000,279","73,618","49,830,107","68,413","44,861,532","66,228","45,880,505"
N06D,ANTI-DEMENTIA DRUGS,서울,노원구,"327,168","269,393,820","318,132","270,673,561","312,287","262,294,551","304,645","261,662,761","323,926","272,546,197","308,315","264,117,162","292,500","251,606,621","298,511","254,177,666","298,126","256,395,174","326,540","278,690,628","273,572","240,071,374","290,482","251,067,048"
N06D,ANTI-DEMENTIA DRUGS,서울,도봉구,"148,522","141,692,434","149,662","150,462,615","146,786","145,176,846","143,718","141,570,657","147,433","143,441,960","142,767","139,027,922","139,844","136,948,767","138,800","134,192,870","135,194","126,406,241","137,759","137,194,214","129,668","123,276,475","120,003","120,706,371"
N06D,ANTI-DEMENTIA DRUGS,서울,동대문구,"420,608","241,491,992","442,425","266,739,110","437,876","261,432,993","441,090","273,976,147","439,043","267,011,640","418,108","253,873,581","440,516","260,777,356","439,932","263,829,921","414,794","253,618,839","446,166","273,265,092","390,431","232,091,672","408,719","249,819,169"
N06D,ANTI-DEMENTIA DRUGS,서울,동작구,"316,336","251,560,390","341,629","298,640,941","336,055","280,752,521","319,115","271,928,541","326,255","283,016,627","332,083","281,915,701","306,766","261,764,423","321,842","271,410,848","315,626","254,192,469","351,221","302,025,577","292,934","236,940,284","315,954","258,430,457"
N06D,ANTI-DEMENTIA DRUGS,서울,마포구,"101,974","40,542,811","101,298","40,388,035","98,969","37,040,474","96,092","38,699,191","99,680","38,620,918","101,924","41,964,322","100,236","39,235,612","99,952","37,987,388","102,997","42,126,035","96,466","38,541,859","89,106","34,303,176","92,024","39,857,657"
N06D,ANTI-DEMENTIA DRUGS,서울,서대문구,"356,796","273,086,878","334,607","245,217,560","311,559","238,655,034","328,532","268,653,147","326,022","262,782,748","313,864","234,343,381","331,140","253,007,306","312,124","241,055,951","302,731","217,872,130","311,336","213,722,014","245,052","179,609,892","266,312","191,989,399"
N06D,ANTI-DEMENTIA DRUGS,서울,서초구,"346,764","177,889,943","337,834","183,705,229","330,900","170,084,911","325,290","178,607,972","320,890","178,430,874","306,287","160,771,762","302,170","166,808,831","319,386","166,734,389","329,156","167,515,225","351,865","187,236,038","288,482","152,912,995","260,660","106,371,424"
N06D,ANTI-DEMENTIA DRUGS,서울,성동구,"172,191","136,196,271","166,813","135,305,488","152,468","125,823,961","152,084","121,928,802","150,035","124,701,035","146,629","122,008,144","136,636","115,181,694","147,036","120,270,874","145,045","124,454,570","146,693","120,849,838","137,098","115,781,614","143,396","124,351,063"
N06D,ANTI-DEMENTIA DRUGS,서울,성북구,"234,048","150,679,203","213,760","140,317,767","218,315","137,018,225","219,381","141,080,835","237,178","166,393,196","225,271","143,736,674","224,740","145,890,173","232,085","146,791,961","225,970","148,225,568","243,946","163,227,778","208,014","132,396,486","215,104","143,007,967"
N06D,ANTI-DEMENTIA DRUGS,서울,송파구,"509,097","282,916,531","483,403","287,270,754","482,717","275,667,803","481,064","273,454,033","515,614","305,305,802","466,875","260,097,128","442,728","253,290,107","496,662","283,062,277","442,784","248,419,450","493,126","288,489,995","374,446","231,191,449","408,631","255,579,624"
N06D,ANTI-DEMENTIA DRUGS,서울,양천구,"312,407","258,110,026","302,665","262,036,359","287,282","247,706,761","292,488","250,854,502","288,489","245,363,091","289,600","247,961,936","292,678","254,834,090","288,689","248,002,337","275,820","246,987,181","304,885","263,857,149","244,756","211,025,338","262,094","223,840,364"
N06D,ANTI-DEMENTIA DRUGS,서울,영등포구,"493,096","319,980,697","479,702","310,703,733","467,459","307,618,235","477,099","320,366,776","473,784","314,563,799","475,200","325,150,373","463,337","308,288,255","467,164","313,130,220","449,968","295,777,094","476,806","316,922,958","431,300","292,241,538","442,719","297,649,975"
N06D,ANTI-DEMENTIA DRUGS,서울,용산구,"116,396","78,976,070","111,892","78,105,229","114,586","79,502,217","120,136","86,143,679","106,374","70,399,203","115,502","79,968,129","109,418","77,022,716","105,189","69,376,249","103,554","71,840,690","110,893","75,143,225","99,677","70,252,459","102,636","75,376,521"
N06D,ANTI-DEMENTIA DRUGS,서울,은평구,"257,348","185,820,343","252,399","190,263,947","240,940","177,992,700","249,166","183,092,567","249,488","187,192,184","247,498","179,306,687","233,335","172,877,187","239,268","176,676,160","222,583","166,528,379","242,842","177,755,076","214,431","165,293,637","215,896","158,659,080"
N06D,ANTI-DEMENTIA DRUGS,서울,종로구,"501,259","378,193,416","455,060","339,152,082","466,531","359,276,953","477,870","362,063,075","477,692","360,366,269","462,488","358,857,005","453,489","353,733,104","456,013","346,758,829","465,470","370,838,646","523,064","411,774,859","404,145","308,662,740","413,270","313,373,750"
N06D,ANTI-DEMENTIA DRUGS,서울,중구,"167,004","90,912,068","164,568","88,390,490","151,716","83,807,736","154,589","85,815,714","176,446","88,923,183","162,347","85,317,520","162,465","85,162,305","175,774","90,528,533","160,452","79,490,438","175,872","90,333,561","151,179","76,849,749","146,848","78,617,210"
N06D,ANTI-DEMENTIA DRUGS,서울,중랑구,"232,046","177,336,578","235,206","186,011,613","225,431","178,218,894","223,272","179,988,662","235,016","190,360,851","218,662","176,357,368","223,307","180,130,198","221,138","173,352,972","211,774","170,103,189","223,269","174,683,153","207,115","167,526,408","200,473","164,185,832"
