ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,강남구,"1,631","9,591,911","2,111","12,379,511","1,754","10,309,100","1,748","10,278,518","1,562","9,156,638","1,751","10,244,417",968,"5,616,956","1,507","8,803,573","1,090","6,410,290","1,951","11,350,057",,,,
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,강동구,152,"731,560",323,"807,165",388,"948,728",72,"87,624",553,"1,149,533",616,"2,388,168",60,"73,020",361,"892,928",217,"268,459",386,"947,272",,,,
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,강북구,-,-,-,-,1,968,-,-,-,-,1,968,1,968,1,968,1,968,-,-,,,,
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,관악구,85,"82,195",48,"46,126",72,"69,624",310,"1,479,130",72,"69,624",97,"93,509",81,"78,424",327,"1,476,300",148,"418,107",95,"91,865",,,,
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,광진구,121,"706,687",131,"765,497",274,"1,591,738",303,"1,752,459",259,"1,488,781",571,"3,308,911",149,"822,215",507,"2,962,011",153,"889,965",175,"999,692",,,,
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,구로구,606,"2,999,524",278,"1,271,295",444,"2,147,940",702,"3,607,616",584,"3,031,594",515,"2,527,220",961,"5,166,884",425,"2,101,432","1,130","6,234,406",673,"3,477,235",,,,
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,금천구,-,-,-,-,-,-,70,"411,670",-,-,-,-,-,-,-,-,-,-,-,-,,,,
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,노원구,1,"1,500",450,"2,646,450",2,"3,000",143,"801,554",421,"2,405,273",212,"1,211,724",150,"873,388",320,"1,859,483",471,"2,721,760",110,"625,005",,,,
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,도봉구,-,-,-,-,-,-,60,"352,860",-,-,-,-,-,-,-,-,-,-,-,-,,,,
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,동대문구,250,"1,322,500",472,"2,062,692",359,"2,027,559",466,"2,416,462",117,"671,025",347,"2,003,075",517,"2,945,221",312,"1,761,372",551,"3,182,219",295,"1,586,149",,,,
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,동작구,"1,560","8,784,776",849,"4,822,341","1,512","8,880,490","1,438","7,664,045","1,540","8,293,078","1,705","9,142,745","1,260","5,616,736","1,928","9,305,940",927,"4,435,705","1,076","5,394,061",,,,
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,마포구,-,-,-,-,-,-,-,-,1,968,-,-,-,-,1,968,-,-,-,-,,,,
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,서대문구,278,"1,634,918",300,"1,764,300",480,"2,822,880",-,-,240,"1,411,440",-,-,240,"1,411,440",-,-,240,"1,411,440",-,-,,,,
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,서초구,61,"353,828",241,"1,412,408",61,"353,828",261,"1,530,028",34,"190,128",1,968,201,"1,177,168",198,"1,164,438",2,"1,936",201,"1,177,168",,,,
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,성동구,"8,863","46,006,737","11,312","58,930,840","10,617","55,660,543","10,073","52,636,358","12,443","65,223,523","12,214","62,959,344","11,317","60,327,219","13,224","68,120,785","11,197","59,273,627","11,260","60,477,722",,,,
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,성북구,625,"3,668,569",678,"3,987,318","1,062","6,245,622",750,"4,408,986",605,"3,540,071",478,"2,811,118",832,"4,875,352",755,"4,422,221",276,"1,614,336",617,"3,618,287",,,,
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,송파구,"1,734","9,636,765","1,470","8,519,154",910,"5,351,710","1,605","9,279,750","1,317","7,692,241","1,066","6,097,867","1,029","5,976,650","1,600","9,344,432","1,718","10,054,147",617,"3,176,651",,,,
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,양천구,90,"378,052",23,"19,667",146,"728,479",148,"759,281",202,"1,081,886",240,"1,290,388",72,"363,458",218,"1,229,350",144,"751,817",91,"429,637",,,,
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,영등포구,185,"1,063,415",89,"508,667",62,"335,138",122,"707,654",92,"482,085",71,"363,497",21,"20,307",366,"2,121,996",14,"1,934",706,"1,567,223",,,,
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,용산구,2,"1,936",7,"5,950",1,968,14,"12,018",-,-,-,-,-,-,2,"1,700",20,"17,000",8,"6,800",,,,
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,은평구,1,967,1,967,2,"1,934",2,"1,934",2,"1,934",2,"1,934",3,"2,901",3,"2,901",-,-,-,-,,,,
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,종로구,"4,891","28,458,800","3,216","18,290,341","4,618","26,828,752","3,176","18,255,113","4,351","24,818,233","4,134","23,926,300","3,388","19,598,810","3,114","18,037,455","5,668","33,210,583","2,539","14,659,125",,,,
N07X,OTHER NERVOUS SYSTEM DRUGS,서울,중랑구,218,"1,092,006",174,"770,560",618,"3,295,522",35,"205,835",296,"1,300,600",374,"2,134,468",128,"732,760",250,"1,125,112",300,"1,764,300",260,"1,158,912",,,,
