ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,강남구,,,,,,,,,,,,,,,"7,787","580,950",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,강동구,,,,,,,,,,,,,,,"2,103","137,447",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,강북구,,,,,,,,,,,,,,,"2,921","193,439",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,강서구,,,,,,,,,,,,,,,"8,666","430,200",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,관악구,,,,,,,,,,,,,,,"11,098","562,838",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,광진구,,,,,,,,,,,,,,,"2,372","130,353",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,구로구,,,,,,,,,,,,,,,"6,275","333,431",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,금천구,,,,,,,,,,,,,,,"1,274","76,415",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,노원구,,,,,,,,,,,,,,,"3,402","224,262",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,도봉구,,,,,,,,,,,,,,,168,"11,208",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,동대문구,,,,,,,,,,,,,,,"5,318","338,006",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,동작구,,,,,,,,,,,,,,,"3,896","264,816",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,마포구,,,,,,,,,,,,,,,"3,192","242,592",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,서대문구,,,,,,,,,,,,,,,"10,706","486,997",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,서초구,,,,,,,,,,,,,,,"12,733","643,573",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,성동구,,,,,,,,,,,,,,,913,"62,641",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,성북구,,,,,,,,,,,,,,,"5,371","292,291",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,송파구,,,,,,,,,,,,,,,"3,155","231,063",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,양천구,,,,,,,,,,,,,,,"4,532","283,549",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,영등포구,,,,,,,,,,,,,,,"5,643","315,979",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,용산구,,,,,,,,,,,,,,,775,"63,599",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,은평구,,,,,,,,,,,,,,,"3,285","203,307",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,종로구,,,,,,,,,,,,,,,"6,765","467,163",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,중구,,,,,,,,,,,,,,,"4,083","336,360",,,,,,,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,서울,중랑구,,,,,,,,,,,,,,,"3,818","272,527",,,,,,,,
