ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
P01B,ANTIMALARIALS,서울,강남구,"94,304","22,793,635","98,906","23,722,968","94,509","22,733,403","104,064","24,899,214","108,907","26,119,541","88,167","21,657,715","100,158","24,080,079","104,030","24,573,723","95,414","22,699,226","105,534","25,054,665","89,357","21,328,841","97,383","23,097,859"
P01B,ANTIMALARIALS,서울,강동구,"63,837","13,242,231","61,347","12,824,926","62,262","13,118,675","66,344","14,535,024","65,375","14,128,148","70,469","15,456,085","59,136","13,112,732","66,174","14,124,187","64,598","14,310,451","68,816","14,636,621","59,046","12,999,786","58,276","12,968,291"
P01B,ANTIMALARIALS,서울,강북구,"15,659","3,832,212","13,410","3,288,663","14,086","3,434,846","13,742","3,375,784","13,882","3,394,283","13,015","3,187,617","15,592","3,813,789","13,249","3,280,193","13,821","3,370,933","12,783","3,134,527","12,045","2,937,389","13,710","3,317,162"
P01B,ANTIMALARIALS,서울,강서구,"13,287","2,944,899","14,123","3,011,723","13,827","2,964,600","14,109","3,140,789","16,292","3,487,100","14,963","3,251,485","14,334","3,097,547","13,456","2,848,314","13,111","2,736,792","14,538","3,126,532","14,505","2,966,595","12,639","2,680,063"
P01B,ANTIMALARIALS,서울,관악구,"19,172","4,390,912","15,042","3,344,434","17,305","3,849,921","16,844","3,752,768","19,063","4,343,816","18,569","4,278,054","18,085","4,141,247","19,363","4,347,621","18,218","4,932,687","19,589","4,337,933","17,328","3,761,048","18,442","4,011,694"
P01B,ANTIMALARIALS,서울,광진구,"32,926","7,961,663","33,043","7,807,501","33,675","7,951,955","38,312","9,074,306","36,296","8,655,691","34,660","8,557,860","34,427","8,321,205","33,222","8,036,062","36,135","8,806,422","37,190","8,972,717","36,007","8,748,402","45,253","10,972,763"
P01B,ANTIMALARIALS,서울,구로구,"28,208","6,196,163","29,504","6,301,566","33,944","7,357,295","25,749","5,542,092","29,393","6,427,429","32,126","6,911,573","26,818","5,872,474","28,526","6,088,568","27,214","5,821,977","31,701","6,823,881","25,308","5,368,191","29,856","6,463,992"
P01B,ANTIMALARIALS,서울,금천구,"4,606","899,248","4,527","880,338","4,076","801,789","4,569","877,837","5,374","1,087,134","4,604","940,175","4,587","886,474","4,891","966,146","4,631","908,354","4,116","794,296","4,996","1,035,037","4,881","997,077"
P01B,ANTIMALARIALS,서울,노원구,"51,323","12,070,652","51,248","12,134,826","54,850","12,862,032","55,122","12,961,000","54,248","12,790,960","53,636","12,805,246","57,282","13,542,241","57,160","13,526,287","49,921","11,755,741","51,684","12,316,537","48,146","11,484,621","48,095","11,427,905"
P01B,ANTIMALARIALS,서울,도봉구,"5,891","1,324,792","5,590","1,140,808","5,106","1,127,381","6,934","1,559,512","5,870","1,264,771","5,569","1,211,553","5,479","1,238,302","6,109","1,407,179","4,913","1,142,662","7,211","1,614,087","5,564","1,248,028","4,751","1,068,077"
