ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,강남구,"1,615,762","54,803,033","1,215,555","41,586,209","1,109,369","36,979,095","946,023","33,876,382","603,988","21,084,629","687,684","21,952,059","738,171","24,176,870","1,072,385","34,966,224","1,374,962","44,798,419","1,413,931","43,807,414","1,239,261","42,224,569","1,089,697","41,572,609"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,강동구,"1,332,668","38,563,270","1,049,526","29,021,921","928,917","25,605,705","838,985","24,017,589","561,250","16,923,725","586,067","16,142,663","618,445","18,044,434","894,443","26,226,074","1,098,303","31,506,547","1,183,263","30,897,347","1,105,073","31,500,631","887,165","28,215,287"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,강북구,"654,699","15,036,232","524,803","11,514,034","475,095","10,111,184","391,671","8,803,305","268,583","5,669,277","293,190","5,662,034","297,460","6,327,680","422,368","8,918,233","542,472","11,652,912","625,234","12,735,847","586,595","13,022,720","527,142","12,160,492"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,강서구,"1,833,479","40,834,301","1,516,130","31,958,008","1,411,244","29,447,789","1,143,672","24,944,120","737,921","15,197,589","813,093","16,020,307","870,614","17,573,578","1,231,428","25,056,471","1,512,101","31,139,135","1,679,362","32,777,629","1,458,844","31,122,960","1,200,399","27,721,138"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,관악구,"1,138,198","28,026,792","916,647","21,448,620","825,436","18,689,266","669,747","16,212,065","427,540","9,974,947","409,473","9,585,402","496,620","11,184,574","706,965","16,734,504","892,188","20,868,335","986,620","21,689,311","888,021","20,621,010","738,526","18,470,926"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,광진구,"888,747","26,213,092","682,480","19,823,067","624,985","17,209,288","516,175","15,262,534","321,168","9,269,762","368,620","9,718,114","396,323","11,363,841","578,661","15,867,830","717,277","19,535,620","753,549","19,487,020","699,135","19,657,920","572,805","17,619,220"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,구로구,"1,426,418","32,299,657","1,171,076","26,073,894","1,056,273","23,465,216","884,156","20,571,190","590,581","13,096,590","586,598","12,401,948","683,118","14,621,031","959,455","20,808,717","1,151,616","25,315,694","1,289,553","26,808,256","1,142,110","25,563,481","978,950","23,205,980"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,금천구,"540,274","16,002,628","421,427","11,515,337","395,741","10,383,603","338,330","9,190,504","230,311","5,637,422","250,693","5,667,757","257,280","6,290,076","331,582","8,914,116","386,273","10,528,978","403,131","10,692,972","382,805","10,785,583","349,061","10,224,323"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,노원구,"1,888,279","42,471,054","1,495,999","32,466,261","1,330,074","28,272,839","1,161,151","26,437,237","777,787","17,003,184","826,705","16,969,626","846,049","18,741,812","1,231,023","27,014,845","1,534,909","33,767,628","1,650,677","34,002,643","1,476,232","31,980,987","1,236,775","28,947,344"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,도봉구,"1,272,361","26,554,637","1,038,447","20,821,402","913,455","17,631,537","725,567","15,835,597","455,477","9,589,060","479,898","9,754,726","493,127","10,539,938","751,799","15,758,203","936,092","20,242,408","1,009,762","20,306,472","856,867","18,891,616","756,850","17,978,900"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,동대문구,"752,241","25,415,895","598,581","19,842,346","558,251","18,533,158","462,071","16,739,678","316,517","11,066,051","320,637","10,926,138","367,030","12,667,335","506,475","17,267,142","664,404","22,050,004","733,210","22,425,712","661,707","21,655,875","557,765","20,882,218"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,동작구,"1,028,147","30,738,485","766,245","22,812,884","694,988","20,297,209","603,093","18,254,937","392,087","11,932,147","385,430","11,283,487","457,490","13,182,885","653,664","18,827,544","797,279","22,199,936","856,141","23,474,935","740,971","22,914,531","594,508","19,531,400"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,마포구,"1,218,978","30,637,220","964,258","22,951,275","912,253","21,803,944","763,006","19,119,176","495,844","11,667,847","516,834","11,286,014","537,258","12,237,257","818,016","18,681,176","997,900","23,316,123","1,067,729","23,089,188","932,610","22,539,100","788,356","20,590,904"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,서대문구,"714,925","19,408,923","554,893","15,213,632","516,503","13,535,066","444,659","12,152,984","300,082","8,025,201","337,905","8,700,130","351,000","9,002,115","447,011","12,058,495","551,000","14,742,529","592,876","15,203,170","548,418","15,570,501","470,388","13,793,169"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,서초구,"1,670,878","42,241,902","1,208,833","30,654,010","1,124,310","28,040,823","937,873","24,463,110","627,779","16,359,965","701,652","16,656,280","778,816","18,360,118","1,121,621","26,807,562","1,293,682","32,572,037","1,359,096","34,009,165","1,228,472","32,134,302","1,019,834","28,486,832"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,성동구,"745,614","18,209,615","587,658","13,609,484","539,892","12,117,713","483,974","11,208,443","312,131","6,739,054","347,919","6,858,410","386,765","8,056,958","520,570","11,559,937","610,561","14,198,990","670,568","15,151,709","565,238","14,106,522","473,980","12,861,488"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,성북구,"1,107,769","28,361,097","858,485","23,096,286","758,380","19,517,111","611,063","17,387,233","403,569","11,184,163","427,013","10,753,185","446,512","12,322,848","654,499","17,646,708","854,318","21,508,043","916,846","22,826,472","807,301","21,564,416","675,642","19,826,326"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,송파구,"1,637,166","45,003,584","1,318,282","36,436,869","1,257,582","32,367,161","1,070,109","29,756,209","626,215","18,997,351","651,594","18,320,144","772,921","21,620,818","1,122,113","29,447,811","1,374,087","36,012,567","1,520,694","37,953,617","1,380,807","36,516,650","1,142,241","33,184,303"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,양천구,"2,067,775","44,287,807","1,624,082","33,382,578","1,457,024","29,941,387","1,242,161","26,559,475","796,342","16,646,401","862,774","16,991,055","975,659","19,108,029","1,327,353","26,191,508","1,659,376","32,993,102","1,772,676","34,158,745","1,604,567","32,769,753","1,305,846","28,215,039"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,영등포구,"1,086,485","37,436,951","848,850","27,591,039","763,905","23,851,189","622,110","21,175,016","430,776","13,894,679","456,260","13,850,248","480,862","15,945,745","705,854","22,670,270","879,103","26,618,653","980,377","27,925,062","865,933","26,428,901","775,125","25,506,776"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,용산구,"703,226","14,160,258","508,251","10,636,891","470,071","10,207,082","397,947","9,178,762","274,370","6,081,680","278,066","5,854,971","306,324","6,481,684","426,556","9,550,721","541,834","11,802,360","598,737","12,032,091","550,363","11,595,452","470,538","10,504,695"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,은평구,"1,063,807","22,920,283","836,759","16,925,317","791,995","15,654,240","697,145","15,116,759","480,322","9,479,266","504,225","9,369,860","498,119","9,976,061","711,255","14,457,363","885,692","17,433,028","981,063","18,560,966","912,744","18,274,477","821,173","16,931,066"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,종로구,"456,176","21,108,198","334,465","15,765,908","301,233","15,032,794","272,702","14,696,960","129,872","10,315,668","133,955","9,983,449","139,652","10,728,430","202,737","13,056,706","346,827","17,211,637","357,069","16,207,051","324,288","16,223,636","322,890","16,724,546"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,중구,"349,912","14,253,088","267,158","10,954,790","228,214","9,281,767","204,689","8,498,769","132,731","5,495,047","138,074","5,463,144","154,984","6,221,929","226,397","8,665,648","276,756","11,069,499","279,437","10,434,438","283,951","11,104,557","239,888","10,043,068"
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,서울,중랑구,"1,130,383","29,087,862","877,886","21,836,574","805,483","19,672,606","684,680","17,391,277","479,210","11,435,732","482,530","11,363,407","483,183","12,501,044","665,234","17,184,052","844,403","21,732,216","908,194","22,007,642","797,527","20,946,623","774,571","20,601,890"
