ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
R03A,"ADRENERGICS, INHALANTS",서울,강남구,"77,278","131,000,602","72,997","126,171,463","57,980","117,798,511","51,695","124,501,297","40,212","150,184,092","39,193","134,824,459","40,998","82,229,140","58,726","87,328,824","63,520","94,497,686","60,733","103,143,530","58,065","90,278,407","59,919","87,187,006"
R03A,"ADRENERGICS, INHALANTS",서울,강동구,"89,769","132,357,745","75,496","113,141,376","60,692","114,180,802","54,900","111,883,759","47,632","110,267,540","43,356","102,441,469","48,672","91,926,363","65,172","89,248,071","70,848","83,409,032","71,675","94,372,134","78,438","92,969,610","70,268","80,791,410"
R03A,"ADRENERGICS, INHALANTS",서울,강북구,"36,484","34,421,546","25,399","30,274,704","20,049","28,068,718","17,414","24,508,284","14,827","23,976,730","13,979","23,464,411","15,015","17,996,889","21,002","20,038,611","23,471","21,391,545","26,544","21,861,728","27,125","25,440,784","23,296","22,324,129"
R03A,"ADRENERGICS, INHALANTS",서울,강서구,"110,524","52,552,969","81,407","46,202,122","65,879","41,082,217","53,906","36,803,083","40,018","33,249,154","39,627","34,229,106","41,369","25,991,629","63,929","31,555,913","70,458","34,249,758","73,043","36,528,709","73,888","33,713,142","64,161","32,319,495"
R03A,"ADRENERGICS, INHALANTS",서울,관악구,"90,600","46,736,939","68,560","39,850,055","53,620","35,614,995","42,629","32,731,900","36,549","34,492,514","26,952","28,636,272","31,367","21,194,206","47,219","25,009,245","58,646","27,914,099","57,238","27,683,145","61,850","28,475,260","54,576","26,767,785"
R03A,"ADRENERGICS, INHALANTS",서울,광진구,"64,160","73,036,264","45,159","66,896,685","36,915","64,804,004","32,491","54,417,051","24,633","62,126,773","24,029","58,682,215","28,562","40,183,433","42,047","48,373,789","50,125","45,882,721","49,505","51,289,764","51,918","47,883,817","45,462","48,447,426"
R03A,"ADRENERGICS, INHALANTS",서울,구로구,"83,879","107,940,296","70,415","107,666,624","59,309","114,676,199","53,092","86,579,716","40,872","101,788,613","32,273","83,800,968","34,011","56,848,719","49,439","56,236,086","59,554","60,656,839","62,298","65,557,858","63,246","62,790,892","58,091","59,847,514"
R03A,"ADRENERGICS, INHALANTS",서울,금천구,"23,400","15,136,244","17,729","13,149,024","16,057","11,481,537","12,802","10,755,721","10,381","11,220,195","10,211","9,760,395","10,249","7,546,025","15,932","8,650,369","18,494","9,761,055","18,996","9,587,926","21,221","10,442,745","18,506","10,024,394"
R03A,"ADRENERGICS, INHALANTS",서울,노원구,"116,623","96,174,110","82,475","82,538,856","65,520","80,378,958","58,582","73,304,284","41,831","70,057,761","41,728","75,280,332","43,911","57,020,120","66,930","61,358,643","83,245","65,974,458","77,757","68,016,311","85,517","63,446,081","81,118","68,133,501"
R03A,"ADRENERGICS, INHALANTS",서울,도봉구,"62,350","48,056,082","45,694","39,206,587","35,954","36,874,076","34,527","35,379,590","24,222","33,426,378","20,637","36,570,378","22,369","34,282,939","33,038","35,474,708","36,321","35,788,266","40,066","36,989,051","38,190","37,376,038","35,593","34,263,866"
R03A,"ADRENERGICS, INHALANTS",서울,동대문구,"63,020","101,031,699","50,975","98,607,546","47,759","91,577,744","48,339","96,966,958","40,956","87,060,231","39,776","81,067,014","45,671","56,509,617","58,303","54,794,763","65,058","54,803,522","71,595","65,182,848","72,186","53,333,908","70,998","62,628,821"
R03A,"ADRENERGICS, INHALANTS",서울,동작구,"92,373","120,224,194","71,197","117,341,632","57,812","105,252,592","50,682","99,946,803","44,268","108,659,539","39,510","93,355,000","47,752","50,883,874","65,748","61,767,835","72,395","57,163,173","75,061","63,299,334","74,056","60,522,120","70,017","63,130,366"
R03A,"ADRENERGICS, INHALANTS",서울,마포구,"70,119","35,392,365","53,532","31,518,194","42,279","32,168,145","35,324","27,788,662","25,929","25,377,199","23,641","26,433,386","28,334","22,492,669","41,286","27,904,251","46,600","29,197,811","46,411","30,579,364","47,310","27,315,116","38,178","23,305,329"
R03A,"ADRENERGICS, INHALANTS",서울,서대문구,"76,047","109,458,618","56,990","102,739,556","46,394","94,762,927","43,101","94,513,423","31,395","96,171,794","28,869","91,797,584","32,201","66,778,981","43,644","71,210,112","43,204","70,471,242","44,000","74,790,870","43,779","60,946,631","53,351","62,986,213"
R03A,"ADRENERGICS, INHALANTS",서울,서초구,"89,633","101,871,201","64,553","95,014,541","55,502","92,829,825","50,661","83,185,194","42,990","84,847,874","41,313","85,028,990","43,129","71,954,447","62,665","79,594,177","66,917","78,533,973","62,265","78,525,502","62,037","73,842,526","56,770","66,084,038"
R03A,"ADRENERGICS, INHALANTS",서울,성동구,"75,775","45,738,585","52,232","41,032,264","44,527","36,842,472","39,549","33,589,629","26,893","33,144,306","29,346","33,784,322","31,797","25,905,566","43,063","28,434,818","46,768","26,480,211","55,830","33,385,520","56,630","27,729,912","46,517","28,695,598"
