ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
R03B,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",서울,강남구,"40,671","102,406,038","42,247","103,659,905","39,697","99,952,370","40,869","107,591,982","44,873","108,763,874","38,579","86,313,571","39,074","91,913,763","46,199","106,039,682","49,161","121,855,866","50,450","119,004,446","37,992","96,758,300","40,158","96,537,117"
R03B,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",서울,강동구,"56,173","84,214,063","55,097","81,017,846","47,793","77,101,901","46,968","75,732,407","48,430","73,809,116","41,119","63,694,832","49,498","71,965,811","51,688","79,979,190","50,118","80,312,514","53,755","83,443,598","55,300","81,001,935","52,168","76,711,253"
R03B,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",서울,강북구,"8,237","16,165,759","6,704","14,388,723","5,146","13,589,388","5,639","14,610,691","4,736","10,899,897","4,338","10,493,793","4,021","10,776,754","5,994","14,593,481","7,536","16,945,030","6,960","14,744,869","8,566","16,606,962","8,932","16,253,877"
R03B,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",서울,강서구,"13,033","33,400,561","13,420","34,804,228","10,010","32,617,938","8,819","34,408,475","6,556","21,661,936","6,146","18,679,535","6,587","20,728,143","9,640","28,165,452","10,458","34,017,015","10,992","31,330,532","9,428","26,080,356","10,032","29,490,499"
R03B,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",서울,관악구,"10,766","26,350,487","10,545","26,869,182","8,681","23,873,442","7,174","21,487,833","7,078","18,872,892","5,665","14,471,763","5,636","15,669,086","8,715","22,380,903","9,967","25,421,121","9,062","24,176,167","8,484","21,576,263","9,311","25,180,744"
R03B,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",서울,광진구,"20,594","49,190,341","19,165","48,621,419","19,627","45,536,526","16,682","42,499,062","20,256","43,374,370","21,760","43,863,498","16,400","37,815,388","21,643","48,989,473","23,042","53,169,968","20,527","52,132,202","20,846","47,304,016","23,897","52,451,563"
R03B,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",서울,구로구,"26,569","63,811,658","29,246","70,098,887","28,078","68,504,814","20,839","59,151,812","26,300","64,436,299","23,617","57,111,411","28,041","66,841,226","32,197","70,500,351","34,150","74,715,008","35,802","78,636,227","36,061","73,930,262","29,369","59,568,422"
R03B,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",서울,금천구,"2,188","6,515,451","2,015","6,762,460","1,520","7,342,555","1,461","6,792,454","1,320","4,798,161",993,"3,947,203","1,713","5,474,386","1,455","5,592,037","1,859","6,738,569","2,218","7,506,684","1,727","6,136,128","2,192","6,700,525"
R03B,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",서울,노원구,"36,179","67,402,724","34,554","59,995,342","30,641","58,482,531","27,466","55,415,657","24,254","47,885,568","27,067","47,998,756","24,248","47,736,163","31,344","57,135,152","37,433","68,830,200","35,390","63,458,169","37,763","59,361,913","40,818","63,602,857"
R03B,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",서울,도봉구,"8,962","19,300,917","8,023","17,215,511","6,884","16,769,830","7,632","18,556,347","6,943","17,206,834","5,971","13,772,300","7,624","17,504,477","8,844","18,935,516","8,526","21,213,794","9,040","19,420,377","8,219","19,820,074","8,552","20,310,426"
