ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,강남구,"121,244","18,777,198","103,861","15,253,520","74,569","11,978,139","62,787","9,555,586","52,250","7,712,937","56,509","8,438,897","60,457","9,052,766","81,823","12,389,800","92,640","13,898,974","97,576","13,064,642","98,996","13,562,817","79,330","11,497,123"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,강동구,"76,317","13,490,040","61,006","11,354,138","48,360","8,386,689","43,732","7,384,506","38,987","6,194,380","33,984","5,184,624","47,211","7,597,656","59,421","9,957,494","78,243","12,340,761","84,209","12,141,339","84,543","11,961,336","68,660","10,491,199"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,강북구,"71,804","14,306,317","48,166","9,539,041","38,477","7,428,306","35,505","6,455,441","25,522","4,471,523","24,425","4,426,320","28,883","5,010,002","41,129","7,798,736","49,657","9,636,976","55,629","10,654,113","60,551","11,979,289","50,343","9,813,198"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,강서구,"96,704","17,657,696","76,670","15,045,639","55,220","10,475,986","49,139","9,072,599","37,966","6,458,460","35,449","6,065,634","43,413","7,186,029","60,529","11,127,792","70,582","12,977,514","70,818","12,876,423","74,305","13,643,577","68,542","12,048,898"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,관악구,"72,252","11,869,867","54,659","9,876,206","41,616","7,376,498","33,987","6,007,060","26,896","4,378,299","25,129","4,087,007","30,874","4,674,962","49,543","7,723,210","59,745","9,491,836","57,671","8,776,941","61,480","8,941,842","53,208","7,901,770"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,광진구,"68,320","13,430,593","46,481","9,643,353","34,439","7,014,574","31,609","6,047,480","22,755","4,007,238","22,249","3,846,503","25,886","4,675,061","42,809","7,674,837","49,226","8,860,750","51,402","8,826,624","55,304","9,525,702","44,937","7,831,442"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,구로구,"122,936","18,580,210","101,743","16,886,022","79,341","13,138,402","65,777","10,831,852","52,572","8,660,356","51,017","7,235,832","59,016","8,685,321","87,675","13,477,772","106,746","16,498,900","103,609","16,041,080","111,979","15,995,641","85,866","12,648,113"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,금천구,"35,915","5,906,720","28,432","4,566,588","23,350","3,541,445","18,992","2,621,245","16,515","2,060,879","15,580","1,859,679","17,076","2,048,845","22,595","3,250,244","25,744","3,826,367","27,043","3,856,583","27,494","3,988,178","23,482","3,169,571"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,노원구,"91,958","16,864,309","64,125","13,071,573","47,992","9,784,274","42,132","8,683,556","33,772","6,889,981","36,007","6,573,973","41,728","7,557,547","62,086","10,827,170","76,492","13,329,758","75,633","12,769,255","78,735","13,122,890","72,650","13,074,112"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,도봉구,"50,728","10,425,781","37,079","7,795,316","28,510","5,750,092","22,531","4,608,765","19,998","3,383,841","18,751","3,408,681","21,035","3,722,751","33,854","6,490,741","40,009","7,049,211","40,680","6,861,806","42,368","6,823,021","39,663","7,150,228"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,동대문구,"78,282","12,271,172","63,903","10,014,666","56,718","8,153,361","46,052","6,980,264","44,190","5,818,000","47,350","6,064,468","54,382","6,995,344","62,395","8,686,159","59,391","9,518,615","67,955","10,367,274","64,390","10,023,789","53,428","8,431,279"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,동작구,"48,450","8,658,828","44,540","7,319,473","35,519","6,066,739","30,506","5,170,275","30,746","4,846,107","25,585","4,010,732","28,602","4,646,176","40,192","6,361,078","42,571","6,355,092","40,720","6,664,292","37,502","6,159,671","41,106","5,997,800"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,마포구,"67,049","14,273,468","49,914","10,770,772","42,049","8,616,099","35,525","7,250,110","25,066","4,919,569","25,877","4,934,547","30,751","5,815,890","43,138","8,386,839","52,995","10,199,090","53,127","10,064,174","56,356","10,498,311","51,318","10,071,220"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,서대문구,"61,899","8,647,691","42,417","5,906,543","35,479","4,425,832","33,949","4,133,717","25,259","3,057,183","26,072","3,101,441","31,573","3,673,800","42,555","5,082,022","48,986","5,840,420","49,917","6,109,215","48,265","5,770,289","48,827","5,585,057"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,서초구,"50,054","12,852,992","38,343","9,974,020","29,924","7,915,893","29,264","6,705,943","18,624","4,213,122","28,679","4,897,810","40,330","5,382,633","49,020","8,152,754","81,204","8,815,034","68,392","7,924,110","58,728","6,954,029","50,977","7,312,766"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,성동구,"79,668","10,355,774","54,631","7,700,659","48,065","6,020,072","42,821","5,133,110","32,097","3,626,628","29,639","3,644,231","40,449","5,053,419","52,159","6,516,293","56,518","7,133,275","60,063","7,318,026","62,963","8,012,767","50,026","6,293,037"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,성북구,"63,135","13,716,672","43,802","9,539,849","34,970","7,221,675","29,874","5,632,072","21,933","3,571,513","22,229","4,040,346","28,345","4,907,467","40,847","7,741,615","47,788","9,151,364","49,761","9,450,133","53,599","9,991,214","47,456","8,832,023"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,송파구,"113,062","23,865,853","82,428","17,908,449","65,724","15,138,665","56,097","11,169,013","37,738","7,527,728","41,023","7,774,533","50,789","10,203,477","71,510","14,126,214","84,336","16,682,925","90,029","16,844,950","94,672","17,374,138","82,230","15,548,168"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,양천구,"75,296","11,585,059","50,293","7,482,238","43,254","5,799,440","34,727","4,667,200","25,937","3,648,363","29,390","3,752,083","36,280","4,638,336","47,136","6,210,000","56,594","6,802,278","60,261","6,840,379","61,396","7,217,787","54,919","6,599,083"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,영등포구,"55,292","13,830,088","43,648","10,494,322","35,462","8,542,892","29,159","6,675,591","22,725","5,194,592","23,218","4,909,595","26,618","5,992,539","39,439","9,461,627","47,304","11,084,632","48,627","11,325,076","47,549","11,157,814","43,132","9,756,989"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,용산구,"44,509","9,002,076","35,661","7,114,325","28,853","5,573,731","26,315","4,783,368","20,954","3,716,137","18,485","3,505,613","21,157","3,835,835","30,376","5,774,121","35,759","6,654,425","34,990","6,541,862","36,705","6,733,310","34,463","6,412,526"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,은평구,"98,267","17,075,009","119,328","14,450,855","89,069","10,354,634","72,559","8,550,346","50,936","6,337,846","61,116","6,101,308","68,163","7,092,816","97,101","10,846,174","119,524","12,548,055","124,330","12,738,126","128,860","14,478,911","101,479","12,103,718"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,종로구,"36,449","5,370,928","25,095","3,897,171","21,945","3,364,444","22,177","3,284,144","20,719","2,819,618","19,460","2,598,363","25,311","3,525,725","32,783","3,985,607","38,105","4,973,454","42,002","5,052,812","42,043","5,195,809","41,655","4,620,213"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,중구,"44,040","8,976,224","31,481","7,455,237","25,356","5,897,510","21,383","5,252,527","17,518","4,436,842","18,956","4,767,093","24,335","5,490,011","30,643","6,619,365","37,786","7,911,402","36,333","6,842,852","38,620","7,726,484","31,148","6,759,561"
R03C,ADRENERGICS FOR SYSTEMIC USE,서울,중랑구,"70,882","13,868,517","50,676","9,647,694","40,524","7,298,447","37,254","6,605,893","26,097","4,428,391","30,330","4,914,018","34,757","5,666,418","51,466","8,864,972","55,327","9,889,985","58,341","10,063,242","61,695","10,256,014","55,319","8,896,654"
