ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,서울,강남구,"366,918","156,467,670","305,710","139,516,309","299,846","134,512,712","305,028","138,094,483","266,510","120,381,937","243,143","108,664,008","284,120","125,838,934","340,496","157,859,982","384,872","177,474,971","373,477","169,516,651","340,646","151,009,453","316,530","139,788,302"
R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,서울,강동구,"480,386","147,610,546","406,601","131,012,388","417,002","130,808,733","385,268","123,330,909","373,465","109,675,799","336,560","97,510,671","404,377","121,005,516","410,662","134,663,670","439,211","145,199,763","463,263","147,560,115","427,987","133,741,229","404,569","126,814,591"
R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,서울,강북구,"146,002","55,517,627","123,153","48,869,578","114,116","45,388,849","104,099","42,453,511","84,919","32,582,912","85,933","33,330,672","102,126","39,813,839","127,405","51,666,436","144,063","60,817,719","150,344","61,554,201","161,422","62,945,610","144,921","59,102,825"
R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,서울,강서구,"286,051","95,140,970","221,484","78,481,874","199,671","71,306,788","178,655","65,369,227","149,171","53,961,373","148,452","55,735,887","174,836","66,067,258","223,863","88,191,388","249,239","99,879,322","256,679","100,150,163","261,220","96,013,054","235,786","89,211,753"
R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,서울,관악구,"218,636","83,921,835","180,718","72,583,075","158,971","64,818,659","145,083","59,190,467","117,220","45,274,291","110,720","43,495,594","134,733","53,408,065","180,903","75,063,046","211,267","87,734,880","208,022","84,921,149","209,564","81,550,870","186,255","74,332,913"
R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,서울,광진구,"248,639","89,650,371","208,181","78,901,184","183,440","68,593,387","166,886","60,353,075","139,250","48,954,640","145,288","53,317,923","165,154","62,243,464","223,296","85,150,817","238,076","94,944,151","233,930","89,804,231","230,021","83,112,249","208,131","77,126,435"
R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,서울,구로구,"266,810","94,544,224","235,737","87,116,909","236,753","89,884,513","199,252","77,333,364","190,406","73,959,582","181,590","68,034,134","208,753","81,042,281","231,338","93,382,097","262,575","101,246,533","259,168","99,255,896","250,847","92,600,199","228,507","87,063,034"
R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,서울,금천구,"89,882","28,778,560","70,809","23,701,905","67,565","21,614,015","62,406","20,132,998","54,183","16,077,293","44,856","13,799,815","51,892","16,969,454","68,122","22,977,875","74,941","24,931,182","76,609","24,316,683","80,155","24,057,846","71,886","23,176,571"
R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,서울,노원구,"367,553","128,668,161","331,323","120,916,453","313,136","114,923,663","312,525","117,141,587","275,402","95,726,662","267,626","93,773,439","304,518","109,743,480","355,256","136,456,236","383,904","149,278,436","382,497","140,321,879","370,041","134,124,977","364,280","132,405,533"
R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,서울,도봉구,"170,433","50,228,819","137,553","43,125,556","123,130","37,948,177","121,038","39,592,094","103,070","31,201,221","107,564","34,090,086","118,616","38,952,096","146,935","52,310,495","163,234","58,367,963","161,053","55,126,305","156,637","51,196,460","151,290","49,231,938"
R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,서울,동대문구,"312,354","105,416,785","280,338","97,862,524","258,582","90,677,639","251,829","88,052,315","223,117","74,478,045","218,795","70,550,485","248,571","82,219,288","272,330","95,815,498","285,497","101,819,170","309,218","104,474,775","270,171","87,702,538","268,894","89,214,676"
R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,서울,동작구,"316,200","109,808,296","279,751","101,634,732","271,489","100,480,246","262,650","96,698,681","250,174","89,582,078","227,670","82,916,587","264,445","95,869,825","311,066","116,717,193","305,284","114,732,944","328,041","121,046,676","300,661","107,247,144","288,390","105,971,019"
R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,서울,마포구,"173,247","62,486,321","139,970","55,415,602","135,003","54,322,329","132,714","56,603,023","105,190","42,423,632","103,708","40,589,638","122,573","49,574,480","159,293","64,329,897","178,232","76,188,339","177,840","73,440,131","164,487","62,429,042","153,013","59,211,724"
R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,서울,서대문구,"261,990","103,022,349","233,072","94,317,726","223,191","93,825,229","209,093","85,927,231","204,248","82,721,649","192,235","77,232,653","209,357","84,862,272","247,603","102,825,528","254,865","107,161,979","266,055","107,357,711","242,325","94,677,043","235,381","96,026,788"
R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,서울,서초구,"296,854","102,656,254","249,063","91,713,915","232,036","86,353,743","218,611","82,133,954","208,699","76,592,218","196,555","72,672,702","214,263","82,171,948","263,010","100,547,784","282,141","108,995,671","284,933","108,499,141","261,922","95,613,332","244,749","89,918,573"
