ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
R05D,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",서울,강남구,"1,117,540","96,279,600","779,531","59,061,294","642,778","50,369,988","609,993","44,275,481","474,984","35,522,906","551,154","38,903,462","639,940","45,692,288","850,469","56,558,896","1,047,468","65,067,480","1,007,465","63,089,811","1,124,540","70,041,296","935,830","55,516,223"
R05D,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",서울,강동구,"861,491","61,491,139","618,869","41,233,225","509,925","34,003,508","497,198","29,426,131","371,207","22,038,482","394,303","23,117,284","510,546","27,825,719","724,918","36,618,406","929,898","44,148,209","958,677","46,511,296","1,075,736","54,177,719","828,189","41,255,884"
R05D,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",서울,강북구,"403,164","30,983,122","240,310","17,811,221","188,360","14,132,261","196,861","12,158,837","143,688","8,347,983","156,885","8,965,681","195,476","11,055,520","284,974","15,365,118","348,046","19,278,455","401,842","21,443,439","483,326","24,678,715","421,235","19,667,625"
R05D,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",서울,강서구,"1,438,360","75,746,528","941,377","45,045,527","800,522","38,004,361","776,788","31,697,515","526,896","21,626,631","566,435","22,962,274","624,536","26,065,628","949,783","36,580,686","1,147,575","44,147,294","1,227,332","46,796,225","1,415,332","53,103,787","1,100,708","41,502,728"
R05D,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",서울,관악구,"921,058","58,634,109","661,694","37,617,615","537,053","31,414,693","539,443","26,097,264","427,805","19,297,457","398,285","18,440,473","452,464","21,360,252","672,233","29,882,793","848,458","37,303,178","915,013","40,466,482","1,005,168","47,041,202","739,443","35,774,861"
R05D,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",서울,광진구,"458,121","35,396,918","278,423","20,195,537","216,332","15,787,057","197,422","13,327,604","126,560","9,045,066","144,879","9,823,185","169,996","12,256,342","250,508","16,924,767","308,966","20,364,033","337,021","21,764,539","378,356","25,861,301","290,072","19,331,012"
R05D,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",서울,구로구,"827,088","61,216,100","587,025","40,663,807","509,449","34,617,580","455,532","28,279,935","366,211","23,948,832","360,530","25,578,423","453,947","26,796,675","643,106","35,470,604","887,403","41,342,415","933,818","42,349,129","1,006,938","48,243,064","781,935","38,126,948"
R05D,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",서울,금천구,"404,718","28,116,757","292,076","18,814,359","274,828","15,373,893","290,392","12,955,290","225,097","10,138,417","242,068","10,463,969","307,479","12,631,471","433,536","17,342,387","503,251","19,986,786","523,693","21,048,488","566,271","24,156,549","447,161","18,937,263"
R05D,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",서울,노원구,"1,545,424","81,274,696","995,059","48,425,905","817,625","40,041,743","747,530","34,681,537","520,740","23,779,860","583,854","26,635,802","780,186","31,801,907","1,201,029","44,089,053","1,439,322","51,783,902","1,485,777","53,168,706","1,502,420","56,099,615","1,226,721","45,794,111"
R05D,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",서울,도봉구,"569,723","41,551,860","350,314","24,030,912","273,187","19,177,585","273,032","17,040,036","195,234","11,919,817","186,547","11,860,631","227,154","14,635,899","330,602","19,467,912","412,085","24,299,552","479,798","26,349,992","513,971","29,311,935","475,735","25,272,900"
