ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
R05F,"COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS",서울,강남구,"2,844,725","119,357,738","1,583,740","68,263,919","1,230,624","55,839,764","1,665,225","48,328,426","1,326,738","37,295,432","1,478,857","36,800,673","2,760,512","47,108,945","4,109,419","58,659,565","5,358,649","65,267,558","5,345,097","64,732,441","6,363,448","76,276,295","5,585,182","62,054,421"
R05F,"COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS",서울,강동구,"2,120,315","81,743,755","1,301,405","49,517,456","1,086,639","41,288,880","1,514,444","34,646,316","1,240,900","28,105,841","1,198,332","26,604,613","1,921,986","33,726,014","2,743,438","43,656,838","3,353,916","50,113,183","5,212,714","52,860,581","6,043,663","63,513,268","4,906,084","51,257,226"
R05F,"COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS",서울,강북구,"2,075,408","63,186,109","1,382,206","36,914,365","1,195,101","29,202,414","1,519,017","23,943,708","1,189,853","18,071,819","1,256,977","18,337,720","1,855,302","22,697,826","2,650,992","30,833,078","3,058,978","35,665,827","3,344,827","38,570,105","4,077,292","46,564,383","3,183,830","36,531,233"
R05F,"COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS",서울,강서구,"2,334,704","98,452,380","1,488,847","58,314,513","1,201,383","47,915,761","1,749,065","37,275,406","1,470,058","28,278,664","1,534,843","28,703,264","2,446,301","35,007,511","3,716,785","47,415,313","4,315,652","53,726,922","4,506,065","54,106,698","5,530,626","63,801,279","4,432,867","50,418,201"
R05F,"COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS",서울,관악구,"1,682,573","69,276,337","1,004,771","39,757,346","852,118","32,618,649","1,076,908","26,333,137","938,064","21,842,392","1,040,750","20,430,405","1,726,493","25,152,940","2,630,733","35,080,720","3,135,351","41,363,878","3,373,660","44,620,370","4,395,927","52,610,268","3,329,202","38,786,705"
R05F,"COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS",서울,광진구,"2,196,523","56,848,066","1,390,190","34,314,816","1,170,462","27,639,898","1,412,403","23,925,621","1,049,306","17,212,946","1,099,494","17,916,739","1,730,059","21,768,481","2,622,713","30,874,971","3,085,810","36,242,804","3,150,633","36,957,994","3,943,678","45,466,839","3,024,430","34,424,176"
R05F,"COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS",서울,구로구,"2,523,965","89,452,441","1,516,723","52,337,946","1,218,876","41,847,125","1,468,962","33,298,611","1,279,554","25,783,799","1,353,099","24,234,315","2,094,038","30,014,579","3,145,831","39,756,342","3,603,308","43,724,235","3,817,559","46,072,643","4,679,277","55,794,162","3,689,481","43,166,381"
R05F,"COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS",서울,금천구,"1,502,130","47,307,776","890,247","27,811,014","692,473","21,671,786","958,604","18,062,271","797,776","13,941,266","799,090","13,464,227","1,227,204","16,716,918","1,851,356","23,790,951","2,143,750","27,316,563","2,301,314","28,793,673","3,167,404","36,900,002","2,435,188","28,451,232"
R05F,"COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS",서울,노원구,"2,865,940","103,666,331","1,602,088","59,881,837","1,268,260","46,061,588","1,478,595","38,091,525","1,147,765","28,246,155","1,442,903","30,696,760","2,432,978","38,858,337","3,877,240","52,414,512","4,595,500","60,191,017","4,709,863","61,089,917","6,387,685","73,352,364","5,190,450","58,043,622"
R05F,"COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS",서울,도봉구,"1,375,787","56,984,170","832,949","34,285,202","660,942","26,683,340","1,065,991","22,266,469","753,432","15,150,447","874,127","16,488,687","1,336,587","20,522,643","2,061,715","27,918,976","2,436,883","31,626,144","2,592,859","32,740,136","3,135,861","39,513,274","2,502,618","31,415,203"
R05F,"COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS",서울,동대문구,"2,636,555","76,012,732","1,915,893","49,307,480","1,609,165","39,977,232","1,788,074","34,731,184","1,535,313","28,013,522","1,631,605","29,439,323","2,485,320","35,999,822","3,426,113","45,395,116","3,928,155","50,924,559","4,483,317","57,001,190","5,125,202","64,346,884","4,771,280","52,468,956"
R05F,"COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS",서울,동작구,"1,878,995","65,285,945","1,209,651","38,515,429","987,264","30,171,513","1,313,427","25,560,681","1,072,645","19,999,710","1,354,275","20,375,223","1,997,970","25,505,455","2,872,594","34,421,352","3,199,297","39,315,033","3,397,125","41,106,566","3,956,293","47,183,993","3,110,075","36,315,173"
